Hour,Production_DC_W
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0636616011970809
8,18.106522392734565
9,54.94965999165403
10,95.41829986177542
11,139.41615842028165
12,147.28272793885245
13,167.62936925745544
14,144.16222895720782
15,150.05794360207037
16,150.48071724973497
17,123.59192023276856
18,78.22572527972976
19,36.25533371119661
20,10.814565904832197
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.056068796165098175
32,19.8122479011055
33,65.34149077025553
34,99.62121401399321
35,150.4482333369336
36,180.97876257206573
37,158.5396919623902
38,173.92743602810427
39,188.34786885303583
40,169.95173992106248
41,127.77014335692016
42,93.32820891418702
43,50.661363010916105
44,15.123374833152031
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.04591454155938204
56,22.345287033695236
57,78.3831360996707
58,136.13798369805764
59,180.04600872999998
60,189.54256640159912
61,198.03855984839868
62,221.98394418845845
63,172.07747536449747
64,192.02218320824167
65,141.16768032959146
66,91.72886378461894
67,57.82792739358169
68,18.42576451013919
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.028019717260391312
80,17.201616656350723
81,63.83277685313643
82,117.3978036998436
83,164.4137307805875
84,191.96389174172867
85,188.71649077956056
86,205.99437731983323
87,178.4832686265858
88,173.54155216559903
89,157.80199389809988
90,106.43410727504845
91,53.950837830436576
92,16.658574254183307
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.012779017141399463
104,11.687672647237445
105,42.348583238742286
106,101.31799260243075
107,147.96454078432822
108,176.71210957489305
109,179.3746950822348
110,166.41644267553042
111,158.87881078698962
112,134.02231476716642
113,120.52668522362359
114,71.1581547787162
115,44.70241961905941
116,13.958825234341209
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.010243462552225904
128,16.21083395564846
129,61.42785722665795
130,111.160529316349
131,145.33184601415945
132,177.64449766694568
133,191.31830599227504
134,181.66044756907272
135,194.5280167669002
136,169.8929618914181
137,126.31480719176582
138,82.35127178487714
139,52.24299436435546
140,14.289737072750437
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0051107830678798795
152,17.867765180694725
153,70.82909649042293
154,112.80341505239888
155,163.36515799277882
156,175.3721535478902
157,209.1223394909645
158,201.63777481252504
159,176.11033961503347
160,160.02543270853536
161,117.25082840901244
162,68.57984001008623
163,43.91826620201526
164,11.253441519322946
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,20.878328209188314
177,70.4013785703136
178,118.43542413338706
