Date,RSDS (W/m²),Année
2028-01-01 00:00:00-04:00,0.0,2028
2028-01-01 01:00:00-04:00,0.0,2028
2028-01-01 02:00:00-04:00,0.0,2028
2028-01-01 03:00:00-04:00,0.0,2028
2028-01-01 04:00:00-04:00,0.0,2028
2028-01-01 05:00:00-04:00,0.0,2028
2028-01-01 06:00:00-04:00,0.25,2028
2028-01-01 07:00:00-04:00,59.61,2028
2028-01-01 08:00:00-04:00,215.94,2028
2028-01-01 09:00:00-04:00,415.26,2028
2028-01-01 10:00:00-04:00,712.88,2028
2028-01-01 11:00:00-04:00,834.73,2028
2028-01-01 12:00:00-04:00,813.82,2028
2028-01-01 13:00:00-04:00,747.51,2028
2028-01-01 14:00:00-04:00,497.69,2028
2028-01-01 15:00:00-04:00,491.96,2028
2028-01-01 16:00:00-04:00,377.11,2028
2028-01-01 17:00:00-04:00,230.61,2028
2028-01-01 18:00:00-04:00,103.09,2028
2028-01-01 19:00:00-04:00,31.77,2028
2028-01-01 20:00:00-04:00,0.0,2028
2028-01-01 21:00:00-04:00,0.0,2028
2028-01-01 22:00:00-04:00,0.0,2028
2028-01-01 23:00:00-04:00,0.0,2028
2028-01-02 00:00:00-04:00,0.0,2028
2028-01-02 01:00:00-04:00,0.0,2028
2028-01-02 02:00:00-04:00,0.0,2028
2028-01-02 03:00:00-04:00,0.0,2028
2028-01-02 04:00:00-04:00,0.0,2028
2028-01-02 05:00:00-04:00,0.0,2028
2028-01-02 06:00:00-04:00,0.34,2028
2028-01-02 07:00:00-04:00,53.75,2028
2028-01-02 08:00:00-04:00,245.06,2028
2028-01-02 09:00:00-04:00,406.13,2028
2028-01-02 10:00:00-04:00,594.25,2028
2028-01-02 11:00:00-04:00,793.24,2028
2028-01-02 12:00:00-04:00,822.15,2028
2028-01-02 13:00:00-04:00,792.97,2028
2028-01-02 14:00:00-04:00,920.46,2028
2028-01-02 15:00:00-04:00,700.64,2028
2028-01-02 16:00:00-04:00,491.09,2028
2028-01-02 17:00:00-04:00,333.97,2028
2028-01-02 18:00:00-04:00,168.18,2028
2028-01-02 19:00:00-04:00,28.5,2028
2028-01-02 20:00:00-04:00,0.0,2028
2028-01-02 21:00:00-04:00,0.0,2028
2028-01-02 22:00:00-04:00,0.0,2028
2028-01-02 23:00:00-04:00,0.0,2028
2028-01-03 00:00:00-04:00,0.0,2028
