datetime,GHI,Année,zenith,DNI,DHI
2028-01-01 00:00:00-04:00,0.0,2028,138.42,0.0,0.0
2028-01-01 01:00:00-04:00,0.0,2028,137.71,0.0,0.0
2028-01-01 02:00:00-04:00,0.0,2028,132.29,0.0,0.0
2028-01-01 03:00:00-04:00,0.0,2028,123.49,0.0,0.0
2028-01-01 04:00:00-04:00,0.0,2028,112.63,0.0,0.0
2028-01-01 05:00:00-04:00,0.0,2028,100.56,0.0,0.0
2028-01-01 06:00:00-04:00,0.25,2028,87.76,0.0,0.25
2028-01-01 07:00:00-04:00,59.61,2028,74.5,0.0,59.61
2028-01-01 08:00:00-04:00,215.94,2028,60.97,36.91,198.03
2028-01-01 09:00:00-04:00,415.26,2028,47.26,123.92,331.15
2028-01-01 10:00:00-04:00,712.88,2028,33.46,390.45,387.14
2028-01-01 11:00:00-04:00,834.73,2028,19.73,488.42,374.99
2028-01-01 12:00:00-04:00,813.82,2028,7.02,326.91,489.37
2028-01-01 13:00:00-04:00,747.51,2028,10.12,269.14,482.56
2028-01-01 14:00:00-04:00,497.69,2028,23.41,77.67,426.42
2028-01-01 15:00:00-04:00,491.96,2028,37.19,121.71,395.0
2028-01-01 16:00:00-04:00,377.11,2028,50.97,99.26,314.6
2028-01-01 17:00:00-04:00,230.61,2028,64.65,87.37,193.2
2028-01-01 18:00:00-04:00,103.09,2028,78.12,0.0,103.09
2028-01-01 19:00:00-04:00,31.77,2028,91.28,0.0,31.77
2028-01-01 20:00:00-04:00,0.0,2028,103.93,0.0,0.0
2028-01-01 21:00:00-04:00,0.0,2028,115.74,0.0,0.0
2028-01-01 22:00:00-04:00,0.0,2028,126.16,0.0,0.0
2028-01-01 23:00:00-04:00,0.0,2028,134.21,0.0,0.0
2028-01-02 00:00:00-04:00,0.0,2028,138.49,0.0,0.0
2028-01-02 01:00:00-04:00,0.0,2028,137.82,0.0,0.0
2028-01-02 02:00:00-04:00,0.0,2028,132.42,0.0,0.0
2028-01-02 03:00:00-04:00,0.0,2028,123.62,0.0,0.0
2028-01-02 04:00:00-04:00,0.0,2028,112.76,0.0,0.0
2028-01-02 05:00:00-04:00,0.0,2028,100.69,0.0,0.0
2028-01-02 06:00:00-04:00,0.34,2028,87.89,0.0,0.34
2028-01-02 07:00:00-04:00,53.75,2028,74.63,0.0,53.75
2028-01-02 08:00:00-04:00,245.06,2028,61.09,70.79,210.84
2028-01-02 09:00:00-04:00,406.13,2028,47.37,105.48,334.69
2028-01-02 10:00:00-04:00,594.25,2028,33.57,214.08,415.88
2028-01-02 11:00:00-04:00,793.24,2028,19.83,378.85,436.84
2028-01-02 12:00:00-04:00,822.15,2028,7.04,345.37,479.39
2028-01-02 13:00:00-04:00,792.97,2028,9.98,309.51,488.15
2028-01-02 14:00:00-04:00,920.46,2028,23.3,615.24,355.38
2028-01-02 15:00:00-04:00,700.64,2028,37.08,483.7,314.74
2028-01-02 16:00:00-04:00,491.09,2028,50.87,333.97,280.33
2028-01-02 17:00:00-04:00,333.97,2028,64.56,382.37,169.7
2028-01-02 18:00:00-04:00,168.18,2028,78.04,36.29,160.66
2028-01-02 19:00:00-04:00,28.5,2028,91.21,0.0,28.5
2028-01-02 20:00:00-04:00,0.0,2028,103.87,0.0,0.0
2028-01-02 21:00:00-04:00,0.0,2028,115.7,0.0,0.0
2028-01-02 22:00:00-04:00,0.0,2028,126.15,0.0,0.0
2028-01-02 23:00:00-04:00,0.0,2028,134.24,0.0,0.0
2028-01-03 00:00:00-04:00,0.0,2028,138.56,0.0,0.0
2028-01-03 01:00:00-04:00,0.0,2028,137.93,0.0,0.0
2028-01-03 02:00:00-04:00,0.0,2028,132.55,0.0,0.0
2028-01-03 03:00:00-04:00,0.0,2028,123.76,0.0,0.0
2028-01-03 04:00:00-04:00,0.0,2028,112.9,0.0,0.0
2028-01-03 05:00:00-04:00,0.0,2028,100.83,0.0,0.0
2028-01-03 06:00:00-04:00,0.29,2028,88.02,0.0,0.29
2028-01-03 07:00:00-04:00,52.71,2028,74.76,0.0,52.71
2028-01-03 08:00:00-04:00,163.64,2028,61.21,2.17,162.6
2028-01-03 09:00:00-04:00,294.52,2028,47.48,24.11,278.23
2028-01-03 10:00:00-04:00,273.4,2028,33.67,3.16,270.77
2028-01-03 11:00:00-04:00,304.44,2028,19.91,4.77,299.96
2028-01-03 12:00:00-04:00,347.26,2028,7.06,19.8,327.61
2028-01-03 13:00:00-04:00,352.6,2028,9.84,23.5,329.44
2028-01-03 14:00:00-04:00,558.95,2028,23.18,133.75,436.0
2028-01-03 15:00:00-04:00,622.77,2028,36.97,289.0,391.88
2028-01-03 16:00:00-04:00,573.35,2028,50.77,564.53,216.35
2028-01-03 17:00:00-04:00,404.85,2028,64.47,663.63,118.82
2028-01-03 18:00:00-04:00,249.46,2028,77.96,258.21,195.62
2028-01-03 19:00:00-04:00,58.89,2028,91.14,0.0,58.89
2028-01-03 20:00:00-04:00,0.0,2028,103.82,0.0,0.0
2028-01-03 21:00:00-04:00,0.0,2028,115.67,0.0,0.0
2028-01-03 22:00:00-04:00,0.0,2028,126.15,0.0,0.0
2028-01-03 23:00:00-04:00,0.0,2028,134.28,0.0,0.0
2028-01-04 00:00:00-04:00,0.0,2028,138.64,0.0,0.0
2028-01-04 01:00:00-04:00,0.0,2028,138.05,0.0,0.0
2028-01-04 02:00:00-04:00,0.0,2028,132.69,0.0,0.0
2028-01-04 03:00:00-04:00,0.0,2028,123.91,0.0,0.0
2028-01-04 04:00:00-04:00,0.0,2028,113.05,0.0,0.0
2028-01-04 05:00:00-04:00,0.0,2028,100.96,0.0,0.0
2028-01-04 06:00:00-04:00,0.36,2028,88.15,0.0,0.36
2028-01-04 07:00:00-04:00,80.19,2028,74.88,0.0,80.19
2028-01-04 08:00:00-04:00,319.66,2028,61.33,212.26,217.82
2028-01-04 09:00:00-04:00,583.06,2028,47.6,472.25,264.6
2028-01-04 10:00:00-04:00,761.21,2028,33.78,540.74,311.75
2028-01-04 11:00:00-04:00,821.83,2028,20.0,453.25,395.92
2028-01-04 12:00:00-04:00,737.27,2028,7.08,245.09,494.05
2028-01-04 13:00:00-04:00,897.19,2028,9.71,507.57,396.89
2028-01-04 14:00:00-04:00,964.83,2028,23.06,763.27,262.56
2028-01-04 15:00:00-04:00,799.66,2028,36.87,687.37,249.75
2028-01-04 16:00:00-04:00,668.4,2028,50.68,864.08,120.87
2028-01-04 17:00:00-04:00,420.49,2028,64.38,715.66,111.07
2028-01-04 18:00:00-04:00,237.43,2028,77.89,216.65,191.98
2028-01-04 19:00:00-04:00,58.46,2028,91.08,0.0,58.46
2028-01-04 20:00:00-04:00,0.0,2028,103.77,0.0,0.0
2028-01-04 21:00:00-04:00,0.0,2028,115.65,0.0,0.0
2028-01-04 22:00:00-04:00,0.0,2028,126.15,0.0,0.0
2028-01-04 23:00:00-04:00,0.0,2028,134.32,0.0,0.0
2028-01-05 00:00:00-04:00,0.0,2028,138.73,0.0,0.0
2028-01-05 01:00:00-04:00,0.0,2028,138.18,0.0,0.0
2028-01-05 02:00:00-04:00,0.0,2028,132.83,0.0,0.0
2028-01-05 03:00:00-04:00,0.0,2028,124.06,0.0,0.0
2028-01-05 04:00:00-04:00,0.0,2028,113.19,0.0,0.0
2028-01-05 05:00:00-04:00,0.0,2028,101.1,0.0,0.0
2028-01-05 06:00:00-04:00,0.13,2028,88.28,0.0,0.13
2028-01-05 07:00:00-04:00,40.08,2028,75.01,0.0,40.08
2028-01-05 08:00:00-04:00,132.77,2028,61.45,0.0,132.77
2028-01-05 09:00:00-04:00,235.75,2028,47.71,7.0,231.04
2028-01-05 10:00:00-04:00,348.94,2028,33.88,16.39,335.34
2028-01-05 11:00:00-04:00,389.66,2028,20.09,27.06,364.24
2028-01-05 12:00:00-04:00,431.71,2028,7.1,30.54,401.4
2028-01-05 13:00:00-04:00,423.92,2028,9.56,29.62,394.71
2028-01-05 14:00:00-04:00,424.57,2028,22.95,30.26,396.71
2028-01-05 15:00:00-04:00,303.57,2028,36.77,11.72,294.18
2028-01-05 16:00:00-04:00,230.11,2028,50.59,7.66,225.25
2028-01-05 17:00:00-04:00,203.32,2028,64.3,36.08,187.67
2028-01-05 18:00:00-04:00,83.51,2028,77.82,0.0,83.51
2028-01-05 19:00:00-04:00,24.71,2028,91.02,0.0,24.71
2028-01-05 20:00:00-04:00,0.0,2028,103.73,0.0,0.0
2028-01-05 21:00:00-04:00,0.0,2028,115.63,0.0,0.0
2028-01-05 22:00:00-04:00,0.0,2028,126.16,0.0,0.0
2028-01-05 23:00:00-04:00,0.0,2028,134.37,0.0,0.0
2028-01-06 00:00:00-04:00,0.0,2028,138.83,0.0,0.0
2028-01-06 01:00:00-04:00,0.0,2028,138.31,0.0,0.0
2028-01-06 02:00:00-04:00,0.0,2028,132.98,0.0,0.0
2028-01-06 03:00:00-04:00,0.0,2028,124.21,0.0,0.0
2028-01-06 04:00:00-04:00,0.0,2028,113.34,0.0,0.0
2028-01-06 05:00:00-04:00,0.0,2028,101.25,0.0,0.0
2028-01-06 06:00:00-04:00,0.11,2028,88.42,0.0,0.11
2028-01-06 07:00:00-04:00,34.71,2028,75.14,0.0,34.71
2028-01-06 08:00:00-04:00,178.68,2028,61.57,8.17,174.79
2028-01-06 09:00:00-04:00,287.34,2028,47.82,22.31,272.36
2028-01-06 10:00:00-04:00,566.38,2028,33.98,198.03,402.16
2028-01-06 11:00:00-04:00,848.42,2028,20.17,517.54,362.63
2028-01-06 12:00:00-04:00,845.32,2028,7.11,373.27,474.92
2028-01-06 13:00:00-04:00,823.71,2028,9.42,352.33,476.13
