datetime,GHI,Année,zenith,DNI,DHI
2037-01-01 00:00:00-04:00,0.0,2037,138.48,0.0,0.0
2037-01-01 01:00:00-04:00,0.0,2037,137.8,0.0,0.0
2037-01-01 02:00:00-04:00,0.0,2037,132.39,0.0,0.0
2037-01-01 03:00:00-04:00,0.0,2037,123.59,0.0,0.0
2037-01-01 04:00:00-04:00,0.0,2037,112.73,0.0,0.0
2037-01-01 05:00:00-04:00,0.0,2037,100.66,0.0,0.0
2037-01-01 06:00:00-04:00,0.25,2037,87.86,0.0,0.25
2037-01-01 07:00:00-04:00,72.39,2037,74.6,0.0,72.39
2037-01-01 08:00:00-04:00,228.2,2037,61.06,34.82,211.35
2037-01-01 09:00:00-04:00,411.89,2037,47.34,120.86,330.0
2037-01-01 10:00:00-04:00,626.2,2037,33.54,262.52,407.4
2037-01-01 11:00:00-04:00,661.69,2037,19.8,201.2,472.39
2037-01-01 12:00:00-04:00,768.23,2037,7.03,281.97,488.38
2037-01-01 13:00:00-04:00,648.32,2037,10.01,151.56,499.07
2037-01-01 14:00:00-04:00,685.32,2037,23.32,266.08,440.99
2037-01-01 15:00:00-04:00,703.4,2037,37.11,476.91,323.06
2037-01-01 16:00:00-04:00,592.92,2037,50.9,632.19,194.18
2037-01-01 17:00:00-04:00,379.55,2037,64.58,508.25,161.39
2037-01-01 18:00:00-04:00,150.56,2037,78.07,13.48,147.77
2037-01-01 19:00:00-04:00,43.67,2037,91.23,0.0,43.67
2037-01-01 20:00:00-04:00,0.0,2037,103.89,0.0,0.0
2037-01-01 21:00:00-04:00,0.0,2037,115.72,0.0,0.0
2037-01-01 22:00:00-04:00,0.0,2037,126.16,0.0,0.0
2037-01-01 23:00:00-04:00,0.0,2037,134.24,0.0,0.0
2037-01-02 00:00:00-04:00,0.0,2037,138.55,0.0,0.0
2037-01-02 01:00:00-04:00,0.0,2037,137.91,0.0,0.0
2037-01-02 02:00:00-04:00,0.0,2037,132.52,0.0,0.0
2037-01-02 03:00:00-04:00,0.0,2037,123.73,0.0,0.0
2037-01-02 04:00:00-04:00,0.0,2037,112.87,0.0,0.0
2037-01-02 05:00:00-04:00,0.0,2037,100.8,0.0,0.0
2037-01-02 06:00:00-04:00,0.22,2037,87.99,0.0,0.22
2037-01-02 07:00:00-04:00,79.24,2037,74.73,0.0,79.24
2037-01-02 08:00:00-04:00,279.27,2037,61.18,109.77,226.36
2037-01-02 09:00:00-04:00,432.13,2037,47.46,136.54,339.81
2037-01-02 10:00:00-04:00,684.68,2037,33.65,343.22,398.96
2037-01-02 11:00:00-04:00,849.62,2037,19.89,516.33,364.09
2037-01-02 12:00:00-04:00,722.5,2037,7.05,225.95,498.26
2037-01-02 13:00:00-04:00,809.67,2037,9.88,335.16,479.48
2037-01-02 14:00:00-04:00,905.48,2037,23.21,575.91,376.17
2037-01-02 15:00:00-04:00,824.06,2037,37.0,804.02,181.94
2037-01-02 16:00:00-04:00,614.2,2037,50.8,672.69,189.03
2037-01-02 17:00:00-04:00,467.75,2037,64.49,709.39,162.26
2037-01-02 18:00:00-04:00,233.18,2037,77.99,204.02,190.72
2037-01-02 19:00:00-04:00,61.32,2037,91.16,0.0,61.32
2037-01-02 20:00:00-04:00,0.0,2037,103.83,0.0,0.0
2037-01-02 21:00:00-04:00,0.0,2037,115.69,0.0,0.0
2037-01-02 22:00:00-04:00,0.0,2037,126.16,0.0,0.0
2037-01-02 23:00:00-04:00,0.0,2037,134.28,0.0,0.0
2037-01-03 00:00:00-04:00,0.0,2037,138.63,0.0,0.0
2037-01-03 01:00:00-04:00,0.0,2037,138.03,0.0,0.0
2037-01-03 02:00:00-04:00,0.0,2037,132.66,0.0,0.0
2037-01-03 03:00:00-04:00,0.0,2037,123.88,0.0,0.0
2037-01-03 04:00:00-04:00,0.0,2037,113.02,0.0,0.0
2037-01-03 05:00:00-04:00,0.0,2037,100.93,0.0,0.0
2037-01-03 06:00:00-04:00,0.18,2037,88.12,0.0,0.18
2037-01-03 07:00:00-04:00,89.45,2037,74.85,0.0,89.45
2037-01-03 08:00:00-04:00,348.98,2037,61.3,264.96,221.73
2037-01-03 09:00:00-04:00,634.56,2037,47.57,611.29,222.11
2037-01-03 10:00:00-04:00,853.76,2037,33.75,738.26,239.92
2037-01-03 11:00:00-04:00,894.65,2037,19.98,574.47,354.76
2037-01-03 12:00:00-04:00,939.11,2037,7.07,536.99,406.21
2037-01-03 13:00:00-04:00,1090.1,2037,9.74,858.46,244.0
2037-01-03 14:00:00-04:00,805.67,2037,23.09,422.78,416.76
2037-01-03 15:00:00-04:00,945.52,2037,36.9,901.2,224.8
2037-01-03 16:00:00-04:00,700.64,2037,50.7,945.7,101.71
2037-01-03 17:00:00-04:00,466.15,2037,64.41,781.16,128.71
2037-01-03 18:00:00-04:00,284.34,2037,77.91,389.84,202.7
2037-01-03 19:00:00-04:00,74.82,2037,91.1,0.0,74.82
2037-01-03 20:00:00-04:00,0.0,2037,103.79,0.0,0.0
2037-01-03 21:00:00-04:00,0.0,2037,115.66,0.0,0.0
2037-01-03 22:00:00-04:00,0.0,2037,126.16,0.0,0.0
2037-01-03 23:00:00-04:00,0.0,2037,134.32,0.0,0.0
2037-01-04 00:00:00-04:00,0.0,2037,138.72,0.0,0.0
2037-01-04 01:00:00-04:00,0.0,2037,138.16,0.0,0.0
2037-01-04 02:00:00-04:00,0.0,2037,132.8,0.0,0.0
2037-01-04 03:00:00-04:00,0.0,2037,124.03,0.0,0.0
2037-01-04 04:00:00-04:00,0.0,2037,113.16,0.0,0.0
2037-01-04 05:00:00-04:00,0.0,2037,101.07,0.0,0.0
2037-01-04 06:00:00-04:00,0.11,2037,88.25,0.0,0.11
2037-01-04 07:00:00-04:00,68.81,2037,74.98,0.0,68.81
2037-01-04 08:00:00-04:00,273.2,2037,61.42,115.35,218.02
2037-01-04 09:00:00-04:00,524.77,2037,47.68,306.06,318.71
