Date,RSDS (W/m²),Année
2028-01-01 00:00:00-04:00,0.0,2028
2028-01-01 01:00:00-04:00,0.0,2028
2028-01-01 02:00:00-04:00,0.0,2028
2028-01-01 03:00:00-04:00,0.0,2028
2028-01-01 04:00:00-04:00,0.0,2028
2028-01-01 05:00:00-04:00,0.0,2028
2028-01-01 06:00:00-04:00,0.25,2028
2028-01-01 07:00:00-04:00,60.07,2028
2028-01-01 08:00:00-04:00,217.58,2028
2028-01-01 09:00:00-04:00,418.41,2028
2028-01-01 10:00:00-04:00,718.29,2028
2028-01-01 11:00:00-04:00,841.06,2028
2028-01-01 12:00:00-04:00,819.99,2028
2028-01-01 13:00:00-04:00,753.18,2028
2028-01-01 14:00:00-04:00,501.47,2028
2028-01-01 15:00:00-04:00,495.69,2028
2028-01-01 16:00:00-04:00,379.97,2028
2028-01-01 17:00:00-04:00,232.36,2028
2028-01-01 18:00:00-04:00,103.87,2028
2028-01-01 19:00:00-04:00,32.01,2028
2028-01-01 20:00:00-04:00,0.0,2028
2028-01-01 21:00:00-04:00,0.0,2028
2028-01-01 22:00:00-04:00,0.0,2028
2028-01-01 23:00:00-04:00,0.0,2028
2028-01-02 00:00:00-04:00,0.0,2028
2028-01-02 01:00:00-04:00,0.0,2028
2028-01-02 02:00:00-04:00,0.0,2028
2028-01-02 03:00:00-04:00,0.0,2028
2028-01-02 04:00:00-04:00,0.0,2028
2028-01-02 05:00:00-04:00,0.0,2028
2028-01-02 06:00:00-04:00,0.34,2028
2028-01-02 07:00:00-04:00,54.16,2028
2028-01-02 08:00:00-04:00,246.92,2028
2028-01-02 09:00:00-04:00,409.21,2028
2028-01-02 10:00:00-04:00,598.76,2028
2028-01-02 11:00:00-04:00,799.25,2028
2028-01-02 12:00:00-04:00,828.39,2028
2028-01-02 13:00:00-04:00,798.98,2028
2028-01-02 14:00:00-04:00,927.44,2028
2028-01-02 15:00:00-04:00,705.94,2028
2028-01-02 16:00:00-04:00,494.82,2028
2028-01-02 17:00:00-04:00,336.5,2028
2028-01-02 18:00:00-04:00,169.46,2028
2028-01-02 19:00:00-04:00,28.71,2028
2028-01-02 20:00:00-04:00,0.0,2028
2028-01-02 21:00:00-04:00,0.0,2028
2028-01-02 22:00:00-04:00,0.0,2028
2028-01-02 23:00:00-04:00,0.0,2028
2028-01-03 00:00:00-04:00,0.0,2028
