datetime,GHI,Année,zenith,DNI,DHI
2037-01-01 00:00:00-04:00,0.0,2037,138.48,0.0,0.0
2037-01-01 01:00:00-04:00,0.0,2037,137.8,0.0,0.0
2037-01-01 02:00:00-04:00,0.0,2037,132.39,0.0,0.0
2037-01-01 03:00:00-04:00,0.0,2037,123.59,0.0,0.0
2037-01-01 04:00:00-04:00,0.0,2037,112.73,0.0,0.0
2037-01-01 05:00:00-04:00,0.0,2037,100.66,0.0,0.0
2037-01-01 06:00:00-04:00,0.25,2037,87.86,0.0,0.25
2037-01-01 07:00:00-04:00,71.84,2037,74.6,0.0,71.84
2037-01-01 08:00:00-04:00,226.48,2037,61.06,33.52,210.26
2037-01-01 09:00:00-04:00,408.79,2037,47.34,117.2,329.37
2037-01-01 10:00:00-04:00,621.49,2037,33.54,254.96,408.99
2037-01-01 11:00:00-04:00,656.71,2037,19.8,195.19,473.06
2037-01-01 12:00:00-04:00,762.45,2037,7.03,273.66,490.85
2037-01-01 13:00:00-04:00,643.44,2037,10.01,146.99,498.69
2037-01-01 14:00:00-04:00,680.16,2037,23.32,258.26,443.0
2037-01-01 15:00:00-04:00,698.11,2037,37.11,461.02,330.43
2037-01-01 16:00:00-04:00,588.46,2037,50.9,650.45,178.21
2037-01-01 17:00:00-04:00,376.7,2037,64.58,495.17,164.15
2037-01-01 18:00:00-04:00,149.42,2037,78.07,11.75,146.99
2037-01-01 19:00:00-04:00,43.35,2037,91.23,0.0,43.35
2037-01-01 20:00:00-04:00,0.0,2037,103.89,0.0,0.0
2037-01-01 21:00:00-04:00,0.0,2037,115.72,0.0,0.0
2037-01-01 22:00:00-04:00,0.0,2037,126.16,0.0,0.0
2037-01-01 23:00:00-04:00,0.0,2037,134.24,0.0,0.0
2037-01-02 00:00:00-04:00,0.0,2037,138.55,0.0,0.0
2037-01-02 01:00:00-04:00,0.0,2037,137.91,0.0,0.0
2037-01-02 02:00:00-04:00,0.0,2037,132.52,0.0,0.0
2037-01-02 03:00:00-04:00,0.0,2037,123.73,0.0,0.0
2037-01-02 04:00:00-04:00,0.0,2037,112.87,0.0,0.0
2037-01-02 05:00:00-04:00,0.0,2037,100.8,0.0,0.0
2037-01-02 06:00:00-04:00,0.22,2037,87.99,0.0,0.22
2037-01-02 07:00:00-04:00,78.65,2037,74.73,0.0,78.65
2037-01-02 08:00:00-04:00,277.17,2037,61.18,106.37,225.89
2037-01-02 09:00:00-04:00,428.88,2037,47.46,132.49,339.3
2037-01-02 10:00:00-04:00,679.53,2037,33.65,333.65,401.78
2037-01-02 11:00:00-04:00,843.22,2037,19.89,505.24,368.12
2037-01-02 12:00:00-04:00,717.07,2037,7.05,219.21,499.52
2037-01-02 13:00:00-04:00,803.58,2037,9.88,325.47,482.93
2037-01-02 14:00:00-04:00,898.67,2037,23.21,641.79,308.81
2037-01-02 15:00:00-04:00,817.86,2037,37.0,782.86,192.64
2037-01-02 16:00:00-04:00,609.58,2037,50.8,657.17,194.22
2037-01-02 17:00:00-04:00,464.23,2037,64.49,708.14,159.28
2037-01-02 18:00:00-04:00,231.42,2037,77.99,198.37,190.13
2037-01-02 19:00:00-04:00,60.86,2037,91.16,0.0,60.86
2037-01-02 20:00:00-04:00,0.0,2037,103.83,0.0,0.0
2037-01-02 21:00:00-04:00,0.0,2037,115.69,0.0,0.0
2037-01-02 22:00:00-04:00,0.0,2037,126.16,0.0,0.0
2037-01-02 23:00:00-04:00,0.0,2037,134.28,0.0,0.0
2037-01-03 00:00:00-04:00,0.0,2037,138.63,0.0,0.0
2037-01-03 01:00:00-04:00,0.0,2037,138.03,0.0,0.0
2037-01-03 02:00:00-04:00,0.0,2037,132.66,0.0,0.0
2037-01-03 03:00:00-04:00,0.0,2037,123.88,0.0,0.0
2037-01-03 04:00:00-04:00,0.0,2037,113.02,0.0,0.0
2037-01-03 05:00:00-04:00,0.0,2037,100.93,0.0,0.0
2037-01-03 06:00:00-04:00,0.18,2037,88.12,0.0,0.18
2037-01-03 07:00:00-04:00,88.78,2037,74.85,0.0,88.78
2037-01-03 08:00:00-04:00,346.36,2037,61.3,257.93,222.49
2037-01-03 09:00:00-04:00,629.78,2037,47.57,597.31,226.77
2037-01-03 10:00:00-04:00,847.33,2037,33.75,717.47,250.78
2037-01-03 11:00:00-04:00,887.92,2037,19.98,564.42,357.46
2037-01-03 12:00:00-04:00,932.04,2037,7.07,529.41,406.66
2037-01-03 13:00:00-04:00,1081.89,2037,9.74,837.21,256.74
2037-01-03 14:00:00-04:00,799.61,2037,23.09,406.59,425.59
2037-01-03 15:00:00-04:00,938.41,2037,36.9,897.62,220.55
2037-01-03 16:00:00-04:00,695.37,2037,50.7,939.43,100.41
2037-01-03 17:00:00-04:00,462.64,2037,64.41,779.49,125.92
2037-01-03 18:00:00-04:00,282.2,2037,77.91,381.27,202.35
2037-01-03 19:00:00-04:00,74.26,2037,91.1,0.0,74.26
2037-01-03 20:00:00-04:00,0.0,2037,103.79,0.0,0.0
2037-01-03 21:00:00-04:00,0.0,2037,115.66,0.0,0.0
2037-01-03 22:00:00-04:00,0.0,2037,126.16,0.0,0.0
2037-01-03 23:00:00-04:00,0.0,2037,134.32,0.0,0.0
2037-01-04 00:00:00-04:00,0.0,2037,138.72,0.0,0.0
2037-01-04 01:00:00-04:00,0.0,2037,138.16,0.0,0.0
2037-01-04 02:00:00-04:00,0.0,2037,132.8,0.0,0.0
2037-01-04 03:00:00-04:00,0.0,2037,124.03,0.0,0.0
2037-01-04 04:00:00-04:00,0.0,2037,113.16,0.0,0.0
2037-01-04 05:00:00-04:00,0.0,2037,101.07,0.0,0.0
2037-01-04 06:00:00-04:00,0.11,2037,88.25,0.0,0.11
2037-01-04 07:00:00-04:00,68.29,2037,74.98,0.0,68.29
2037-01-04 08:00:00-04:00,271.14,2037,61.42,111.73,217.68
2037-01-04 09:00:00-04:00,520.82,2037,47.68,297.69,320.39
