Source;Location ID;City;State;Country;Latitude;Longitude;Time Zone;Elevation;Local Time Zone;Dew Point Units;DHI Units;DNI Units;GHI Units;Temperature Units;Pressure Units;Wind Direction Units;Wind Speed Units;Surface Albedo Units;Version
NSRDB;1298060;-;-;-;18.53;-72.34;-5;62;-4;c;w/m2;w/m2;w/m2;c;mbar;Degrees;m/s;N/A;3.2.0
Year;Month;Day;Hour;Minute;GHI;DHI;DNI;Temperature;Wind Speed;Pressure;;;;;;;;;
2006;1;1;0;30;0.0;0.0;0.0;16.28;0.5;1040;;;;;;;;;
2006;1;1;1;30;0.0;0.0;0.0;16.23;0.6000000000000001;1030;;;;;;;;;
2006;1;1;2;30;0.0;0.0;0.0;16.0;0.8;1030;;;;;;;;;
2006;1;1;3;30;0.0;0.0;0.0;15.89;1.2000000000000002;1030;;;;;;;;;
2006;1;1;4;30;0.0;0.0;0.0;15.48;1.5;1040;;;;;;;;;
2006;1;1;5;30;0.0;0.0;0.0;15.26;1.8;1040;;;;;;;;;
2006;1;1;6;30;0.25;0.25;0.0;15.94;2.1;1040;;;;;;;;;
2006;1;1;7;30;60.07;60.07;0.0;16.22;2.4000000000000004;1040;;;;;;;;;
2006;1;1;8;30;217.58;198.92;38.44;17.37;2.4000000000000004;1040;;;;;;;;;
2006;1;1;9;30;418.41;331.69;127.77;18.92;2.2;1040;;;;;;;;;
2006;1;1;10;30;718.29;376.37;409.85;20.47;1.9000000000000001;1040;;;;;;;;;
2006;1;1;11;30;841.06;368.89;501.64;21.42;1.5;1040;;;;;;;;;
2006;1;1;12;30;819.99;485.87;336.64;22.11;1;1030;;;;;;;;;
2006;1;1;13;30;753.18;480.16;277.33;22.94;0.6000000000000001;1030;;;;;;;;;
2006;1;1;14;30;501.47;428.07;79.99;23.18;0.4;1030;;;;;;;;;
2006;1;1;15;30;495.69;395.72;125.48;23.13;0.5;1030;;;;;;;;;
2006;1;1;16;30;379.97;315.51;102.37;22.49;0.4;1030;;;;;;;;;
2006;1;1;17;30;232.36;193.69;90.32;22.0;0.30000000000000004;1030;;;;;;;;;
2006;1;1;18;30;103.87;103.87;0.0;20.73;0.6000000000000001;1040;;;;;;;;;
2006;1;1;19;30;32.01;32.01;0.0;19.53;0.9;1040;;;;;;;;;
2006;1;1;20;30;0.0;0.0;0.0;19.09;1;1040;;;;;;;;;
2006;1;1;21;30;0.0;0.0;0.0;18.82;1.2000000000000002;1040;;;;;;;;;
2006;1;1;22;30;0.0;0.0;0.0;17.71;1.3;1040;;;;;;;;;
2006;1;1;23;30;0.0;0.0;0.0;17.23;1.3;1040;;;;;;;;;
2006;1;2;0;30;0.0;0.0;0.0;16.8;1.3;1040;;;;;;;;;
2006;1;2;1;30;0.0;0.0;0.0;16.4;1.4000000000000001;1040;;;;;;;;;
2006;1;2;2;30;0.0;0.0;0.0;16.05;1.7000000000000002;1040;;;;;;;;;
2006;1;2;3;30;0.0;0.0;0.0;15.8;2;1040;;;;;;;;;
2006;1;2;4;30;0.0;0.0;0.0;15.4;2.3000000000000003;1040;;;;;;;;;
2006;1;2;5;30;0.0;0.0;0.0;15.21;2.6;1040;;;;;;;;;
2006;1;2;6;30;0.34;0.34;0.0;15.74;3.2;1040;;;;;;;;;
2006;1;2;7;30;54.16;54.16;0.0;16.14;3.7;1040;;;;;;;;;
2006;1;2;8;30;246.92;212.98;70.19;17.63;3.5;1040;;;;;;;;;
2006;1;2;9;30;409.21;335.54;108.78;19.08;2.9000000000000004;1040;;;;;;;;;
2006;1;2;10;30;598.76;415.01;220.53;20.59;2.3000000000000003;1040;;;;;;;;;
2006;1;2;11;30;799.25;432.47;389.88;22.01;1.8;1040;;;;;;;;;
2006;1;2;12;30;828.39;475.44;355.63;22.84;1.4000000000000001;1040;;;;;;;;;
2006;1;2;13;30;798.98;485.04;318.76;23.71;1;1030;;;;;;;;;
2006;1;2;14;30;927.44;344.66;634.51;23.87;0.6000000000000001;1030;;;;;;;;;
2006;1;2;15;30;705.94;307.37;499.58;23.55;0.4;1030;;;;;;;;;
2006;1;2;16;30;494.82;278.23;343.21;22.96;0.4;1040;;;;;;;;;
2006;1;2;17;30;336.5;168.08;392.03;22.19;0.4;1040;;;;;;;;;
2006;1;2;18;30;169.46;161.51;38.35;21.21;0.30000000000000004;1040;;;;;;;;;
2006;1;2;19;30;28.71;28.71;0.0;19.92;0.1;1040;;;;;;;;;
2006;1;2;20;30;0.0;0.0;0.0;19.61;0.2;1040;;;;;;;;;
2006;1;2;21;30;0.0;0.0;0.0;19.14;0.7000000000000001;1040;;;;;;;;;
2006;1;2;22;30;0.0;0.0;0.0;17.89;1.1;1040;;;;;;;;;
2006;1;2;23;30;0.0;0.0;0.0;17.29;1.3;1040;;;;;;;;;
2006;1;3;0;30;0.0;0.0;0.0;16.75;1.3;1040;;;;;;;;;
2006;1;3;1;30;0.0;0.0;0.0;16.29;1.2000000000000002;1040;;;;;;;;;
2006;1;3;2;30;0.0;0.0;0.0;15.88;1;1040;;;;;;;;;
2006;1;3;3;30;0.0;0.0;0.0;15.25;1.1;1040;;;;;;;;;
2006;1;3;4;30;0.0;0.0;0.0;15.28;1.2000000000000002;1040;;;;;;;;;
2006;1;3;5;30;0.0;0.0;0.0;15.05;1.4000000000000001;1040;;;;;;;;;
2006;1;3;6;30;0.29;0.29;0.0;15.53;1.8;1040;;;;;;;;;
2006;1;3;7;30;53.11;53.11;0.0;16.03;2.1;1040;;;;;;;;;
2006;1;3;8;30;164.88;163.65;2.55;17.48;2;1040;;;;;;;;;
2006;1;3;9;30;296.75;279.92;24.91;18.83;1.8;1040;;;;;;;;;
2006;1;3;10;30;275.47;272.79;3.22;20.05;1.2000000000000002;1040;;;;;;;;;
2006;1;3;11;30;306.75;302.22;4.82;21.5;0.6000000000000001;1040;;;;;;;;;
2006;1;3;12;30;349.89;330.03;20.01;22.28;0.6000000000000001;1030;;;;;;;;;
2006;1;3;13;30;355.27;331.84;23.78;23.04;1.2000000000000002;1030;;;;;;;;;
2006;1;3;14;30;563.19;436.43;137.89;23.56;2;1030;;;;;;;;;
2006;1;3;15;30;627.49;389.91;297.37;23.43;2.7;1030;;;;;;;;;
2006;1;3;16;30;577.69;211.73;578.7;22.93;3.1;1030;;;;;;;;;
2006;1;3;17;30;407.92;116.64;675.81;21.81;3.2;1030;;;;;;;;;
2006;1;3;18;30;251.35;196.12;264.89;21.07;2.9000000000000004;1040;;;;;;;;;
2006;1;3;19;30;59.34;59.34;0.0;19.86;2.4000000000000004;1040;;;;;;;;;
2006;1;3;20;30;0.0;0.0;0.0;19.38;1.9000000000000001;1040;;;;;;;;;
2006;1;3;21;30;0.0;0.0;0.0;18.95;1.4000000000000001;1040;;;;;;;;;
2006;1;3;22;30;0.0;0.0;0.0;17.59;1;1040;;;;;;;;;
