Date,RSDS (W/m²)
2015-01,160.91
2015-02,195.04
2015-03,221.22
2015-04,195.04
2015-05,205.41
2015-06,173.6
2015-07,188.34
2015-08,219.92
2015-09,248.45
2015-10,283.89
2015-11,315.66
2015-12,302.6
2016-01,305.26
2016-02,206.78
2016-03,225.39
2016-04,208.15
2016-05,192.57
2016-06,174.17
2016-07,177.1
2016-08,235.46
2016-09,256.2
2016-10,240.7
2016-11,318.43
2016-12,252.18
2017-01,270.33
2017-02,217.86
2017-03,208.72
2017-04,169.16
2017-05,198.39
2017-06,190.18
2017-07,187.8
2017-08,225.49
2017-09,253.98
2017-10,283.19
2017-11,265.63
2017-12,290.79
2018-01,255.39
2018-02,243.55
2018-03,215.06
2018-04,235.49
2018-05,167.27
2018-06,175.59
2018-07,192.59
2018-08,205.5
2018-09,224.3
2018-10,239.65
2018-11,282.63
2018-12,266.33
2019-01,288.76
2019-02,273.71
2019-03,239.95
2019-04,158.15
2019-05,176.82
2019-06,176.01
2019-07,169.45
2019-08,229.9
2019-09,271.06
2019-10,232.78
2019-11,295.13
2019-12,292.07
2020-01,253.17
2020-02,242.78
2020-03,227.64
2020-04,202.83
2020-05,171.92
2020-06,164.62
2020-07,180.91
2020-08,237.94
2020-09,266.01
2020-10,259.26
2020-11,319.9
2020-12,310.63
2021-01,249.8
2021-02,199.76
2021-03,209.09
2021-04,202.43
2021-05,149.22
2021-06,168.56
2021-07,198.19
2021-08,241.17
2021-09,263.36
2021-10,315.82
2021-11,286.36
2021-12,296.14
2022-01,227.91
2022-02,198.67
2022-03,181.49
2022-04,200.73
2022-05,201.07
2022-06,193.49
2022-07,191.16
2022-08,228.99
2022-09,222.23
2022-10,285.37
2022-11,317.95
2022-12,311.88
2023-01,270.21
2023-02,229.88
2023-03,201.31
2023-04,199.4
2023-05,172.88
2023-06,187.56
2023-07,198.6
2023-08,229.98
2023-09,217.42
2023-10,262.13
2023-11,286.51
2023-12,247.86
2024-01,237.86
2024-02,253.88
2024-03,247.09
2024-04,244.19
2024-05,207.83
2024-06,208.7
2024-07,203.89
2024-08,209.88
2024-09,230.74
2024-10,262.56
2024-11,319.53
2024-12,266.32
2025-01,343.69
2025-02,266.89
2025-03,259.76
2025-04,219.61
2025-05,176.68
2025-06,181.2
2025-07,194.73
2025-08,231.71
2025-09,245.02
2025-10,283.67
2025-11,300.11
2025-12,309.6
2026-01,296.67
2026-02,286.71
2026-03,241.62
2026-04,218.67
2026-05,176.87
2026-06,166.8
2026-07,170.84
2026-08,202.51
2026-09,256.67
2026-10,275.39
2026-11,299.28
2026-12,308.45
2027-01,283.19
2027-02,204.01
2027-03,222.24
2027-04,194.36
2027-05,161.64
2027-06,170.0
2027-07,203.52
2027-08,235.11
2027-09,255.59
2027-10,298.75
2027-11,259.94
2027-12,225.85
2028-01,258.82
2028-02,277.77
2028-03,250.32
2028-04,214.86
2028-05,171.86
2028-06,197.32
2028-07,186.52
2028-08,203.63
2028-09,243.01
2028-10,300.4
2028-11,278.62
2028-12,276.38
2029-01,287.6
2029-02,257.56
2029-03,241.73
2029-04,217.3
2029-05,183.82
2029-06,192.49
2029-07,204.32
2029-08,246.38
2029-09,196.42
2029-10,284.44
2029-11,315.56
2029-12,325.86
2030-01,214.82
2030-02,265.18
2030-03,264.06
2030-04,224.67
2030-05,173.38
2030-06,184.82
2030-07,178.8
2030-08,207.46
2030-09,281.76
2030-10,243.69
2030-11,273.14
2030-12,335.61
2031-01,303.12
2031-02,187.93
2031-03,204.17
2031-04,201.98
2031-05,173.06
2031-06,187.23
2031-07,193.68
2031-08,247.18
2031-09,259.23
2031-10,280.27
2031-11,290.73
2031-12,268.36
2032-01,257.19
2032-02,248.44
2032-03,244.57
2032-04,206.06
2032-05,206.1
2032-06,179.74
2032-07,194.29
2032-08,216.05
2032-09,228.29
2032-10,280.37
2032-11,305.37
2032-12,270.6
2033-01,264.64
2033-02,239.65
2033-03,200.8
2033-04,197.15
2033-05,164.13
2033-06,208.38
2033-07,214.86
2033-08,240.12
2033-09,239.97
2033-10,252.91
2033-11,291.35
2033-12,289.03
2034-01,244.99
2034-02,239.05
2034-03,222.66
2034-04,202.6
2034-05,184.2
2034-06,169.73
2034-07,194.49
2034-08,222.67
2034-09,257.06
2034-10,293.08
2034-11,289.05
2034-12,289.48
2035-01,274.9
2035-02,225.7
2035-03,228.36
2035-04,222.85
2035-05,202.07
2035-06,181.84
2035-07,191.19
2035-08,219.48
2035-09,229.09
2035-10,302.14
2035-11,286.73
2035-12,269.33
2036-01,226.26
2036-02,273.29
2036-03,230.8
2036-04,195.91
2036-05,179.32
2036-06,159.99
2036-07,185.46
2036-08,224.22
2036-09,249.6
2036-10,286.44
2036-11,292.44
2036-12,260.5
2037-01,302.33
2037-02,256.77
2037-03,251.78
2037-04,207.47
2037-05,164.01
2037-06,174.98
2037-07,186.68
2037-08,232.97
2037-09,261.69
2037-10,280.17
2037-11,291.56
2037-12,283.79
2038-01,241.32
2038-02,251.93
2038-03,279.91
2038-04,184.61
2038-05,198.49
2038-06,198.62
2038-07,210.51
2038-08,226.79
2038-09,269.25
2038-10,275.02
2038-11,294.85
2038-12,225.99
2039-01,279.46
2039-02,225.71
2039-03,200.82
2039-04,206.04
2039-05,176.53
2039-06,193.32
2039-07,203.21
2039-08,218.86
2039-09,257.55
2039-10,242.83
2039-11,334.8
2039-12,302.2
2040-01,241.96
2040-02,196.45
2040-03,222.4
2040-04,179.08
2040-05,166.63
2040-06,188.18
2040-07,203.96
2040-08,242.59
2040-09,278.04
2040-10,286.34
2040-11,287.89
2040-12,293.16
2041-01,247.78
2041-02,225.19
2041-03,261.67
2041-04,214.37
2041-05,176.68
2041-06,163.57
2041-07,218.44
2041-08,210.35
2041-09,262.14
2041-10,271.55
2041-11,263.68
2041-12,248.78
2042-01,270.86
2042-02,283.35
2042-03,241.75
2042-04,194.03
2042-05,173.89
2042-06,185.17
2042-07,199.7
2042-08,188.16
2042-09,263.88
2042-10,250.37
2042-11,302.95
2042-12,255.38
2043-01,266.89
2043-02,225.08
2043-03,261.61
2043-04,209.93
2043-05,200.65
2043-06,200.33
2043-07,217.76
2043-08,192.97
2043-09,225.32
2043-10,267.41
2043-11,290.91
2043-12,303.98
2044-01,273.22
2044-02,224.5
2044-03,205.08
2044-04,211.62
2044-05,207.67
2044-06,159.58
2044-07,215.1
2044-08,240.08
2044-09,266.01
2044-10,289.55
2044-11,303.15
2044-12,283.17
2045-01,240.61
2045-02,232.12
2045-03,232.2
2045-04,238.37
2045-05,200.03
2045-06,178.23
2045-07,213.25
2045-08,226.53
2045-09,213.81
2045-10,271.92
2045-11,268.95
2045-12,303.06
2046-01,289.66
2046-02,248.49
2046-03,202.96
2046-04,225.44
2046-05,197.0
2046-06,202.3
2046-07,201.73
2046-08,212.79
2046-09,259.33
2046-10,300.5
2046-11,319.76
2046-12,340.57
2047-01,273.19
2047-02,220.63
2047-03,231.14
2047-04,207.19
2047-05,181.02
2047-06,193.53
2047-07,211.68
2047-08,257.94
2047-09,255.24
2047-10,245.44
2047-11,305.36
2047-12,302.48
2048-01,234.57
2048-02,287.53
2048-03,208.49
2048-04,198.48
2048-05,171.81
2048-06,184.79
2048-07,207.93
2048-08,227.69
2048-09,283.52
2048-10,269.62
2048-11,306.54
2048-12,298.13
2049-01,241.92
2049-02,247.11
2049-03,259.46
2049-04,197.86
2049-05,167.89
2049-06,194.68
2049-07,195.35
2049-08,216.01
2049-09,219.64
2049-10,286.56
2049-11,292.2
2049-12,314.8
2050-01,270.07
2050-02,270.72
2050-03,199.59
2050-04,208.19
2050-05,189.6
2050-06,182.82
2050-07,207.45
2050-08,221.14
2050-09,248.25
2050-10,324.12
2050-11,283.68
2050-12,288.35
2051-01,256.73
2051-02,280.13
2051-03,248.52
2051-04,174.39
2051-05,166.92
2051-06,169.05
2051-07,193.95
2051-08,224.28
2051-09,261.69
2051-10,286.55
2051-11,319.31
2051-12,258.35
2052-01,288.52
2052-02,252.91
2052-03,243.0
2052-04,203.51
2052-05,169.81
2052-06,155.98
2052-07,195.2
2052-08,242.55
2052-09,248.56
2052-10,203.15
2052-11,287.16
2052-12,329.03
2053-01,278.66
2053-02,234.0
2053-03,223.8
2053-04,189.43
2053-05,191.67
2053-06,183.31
2053-07,205.19
2053-08,235.51
2053-09,267.1
2053-10,229.11
2053-11,324.88
2053-12,320.02
2054-01,220.57
2054-02,240.99
2054-03,238.28
2054-04,175.89
2054-05,168.4
2054-06,180.2
2054-07,189.59
2054-08,236.21
2054-09,261.43
2054-10,267.8
2054-11,286.82
2054-12,299.37
2055-01,242.74
2055-02,263.99
2055-03,291.14
2055-04,213.69
2055-05,192.93
2055-06,191.21
2055-07,204.72
2055-08,246.16
2055-09,244.8
2055-10,268.31
2055-11,262.43
2055-12,314.5
2056-01,227.83
2056-02,222.78
2056-03,224.31
2056-04,201.99
2056-05,172.07
2056-06,188.12
2056-07,203.57
2056-08,231.55
2056-09,238.44
2056-10,291.84
2056-11,285.86
2056-12,304.4
2057-01,305.43
2057-02,283.56
2057-03,270.24
2057-04,224.56
2057-05,199.29
2057-06,172.78
2057-07,199.7
2057-08,224.67
2057-09,253.84
2057-10,281.4
2057-11,291.09
2057-12,304.81
2058-01,257.5
2058-02,236.2
2058-03,221.35
2058-04,212.4
2058-05,165.48
2058-06,192.63
2058-07,175.66
2058-08,190.71
2058-09,228.89
2058-10,286.84
2058-11,287.94
2058-12,262.12
2059-01,273.77
2059-02,201.18
2059-03,194.13
2059-04,180.64
2059-05,182.32
2059-06,167.45
2059-07,188.74
2059-08,246.54
2059-09,269.42
2059-10,279.52
2059-11,298.84
2059-12,307.7
2060-01,281.64
2060-02,265.01
2060-03,171.5
2060-04,208.71
2060-05,189.59
2060-06,206.77
2060-07,191.77
2060-08,258.24
2060-09,261.99
2060-10,272.06
2060-11,286.38
2060-12,307.12
2061-01,242.46
2061-02,200.87
2061-03,257.12
2061-04,210.61
2061-05,188.04
2061-06,171.78
2061-07,201.61
2061-08,218.43
2061-09,269.04
2061-10,262.74
2061-11,335.51
2061-12,256.19
2062-01,204.27
2062-02,191.51
2062-03,196.36
2062-04,193.6
2062-05,193.53
2062-06,175.89
2062-07,198.83
2062-08,227.46
2062-09,264.56
2062-10,278.02
2062-11,334.45
2062-12,284.76
2063-01,250.84
2063-02,257.86
2063-03,235.89
2063-04,190.91
2063-05,199.94
2063-06,183.6
2063-07,201.07
2063-08,219.3
2063-09,237.35
2063-10,242.43
2063-11,313.95
2063-12,298.17
2064-01,264.41
2064-02,251.48
2064-03,212.61
2064-04,184.15
2064-05,200.65
2064-06,197.09
2064-07,219.72
2064-08,191.62
2064-09,258.15
2064-10,284.46
2064-11,332.73
2064-12,258.42
2065-01,262.5
2065-02,151.81
2065-03,231.66
2065-04,202.11
2065-05,174.83
2065-06,192.63
2065-07,175.25
2065-08,227.18
2065-09,248.77
2065-10,302.42
2065-11,295.83
2065-12,271.67
2066-01,281.15
2066-02,208.33
2066-03,240.67
2066-04,187.2
2066-05,195.16
2066-06,190.45
2066-07,209.8
2066-08,211.12
2066-09,279.25
2066-10,264.58
2066-11,284.1
2066-12,224.58
2067-01,230.09
2067-02,272.59
2067-03,227.96
2067-04,223.89
2067-05,189.56
2067-06,167.62
2067-07,200.01
2067-08,222.85
2067-09,254.63
2067-10,290.26
2067-11,286.51
2067-12,273.52
2068-01,267.98
2068-02,268.43
2068-03,252.82
2068-04,203.93
2068-05,180.19
2068-06,182.39
2068-07,182.34
2068-08,211.04
2068-09,253.91
2068-10,294.55
2068-11,269.26
2068-12,302.35
2069-01,280.15
2069-02,301.67
2069-03,269.48
2069-04,208.84
2069-05,151.52
2069-06,186.15
2069-07,196.26
2069-08,233.73
2069-09,261.27
2069-10,278.87
2069-11,291.29
2069-12,298.23
2070-01,248.22
2070-02,207.19
2070-03,231.67
2070-04,207.36
2070-05,177.66
2070-06,200.9
2070-07,208.64
2070-08,249.41
2070-09,286.1
2070-10,288.55
2070-11,307.52
2070-12,310.31
2071-01,218.49
2071-02,268.06
2071-03,198.32
2071-04,213.17
2071-05,158.92
2071-06,176.5
2071-07,166.07
2071-08,243.62
2071-09,262.32
2071-10,289.52
2071-11,274.84
2071-12,252.23
2072-01,270.63
2072-02,282.94
2072-03,224.5
2072-04,200.79
2072-05,185.6
2072-06,174.0
2072-07,202.32
2072-08,236.72
2072-09,247.93
2072-10,294.74
2072-11,287.93
2072-12,240.23
2073-01,261.41
2073-02,303.35
2073-03,271.54
2073-04,213.49
2073-05,181.7
2073-06,183.56
2073-07,211.4
2073-08,236.73
2073-09,277.53
2073-10,273.17
2073-11,267.55
2073-12,293.65
2074-01,259.54
2074-02,215.01
2074-03,275.41
2074-04,179.04
2074-05,184.22
2074-06,178.42
2074-07,201.95
2074-08,235.84
2074-09,243.87
2074-10,236.6
2074-11,337.1
2074-12,268.2
2075-01,307.55
2075-02,259.65
2075-03,232.9
2075-04,196.61
2075-05,187.16
2075-06,190.33
2075-07,196.59
2075-08,242.76
2075-09,256.78
2075-10,294.78
2075-11,320.18
2075-12,272.71
2076-01,212.98
2076-02,310.7
2076-03,187.91
2076-04,219.71
2076-05,176.55
2076-06,183.19
2076-07,189.08
2076-08,234.34
2076-09,267.84
2076-10,289.84
2076-11,326.85
2076-12,318.3
2077-01,300.08
2077-02,259.06
2077-03,223.71
2077-04,213.6
2077-05,200.21
2077-06,204.73
2077-07,193.54
2077-08,179.98
2077-09,223.95
2077-10,253.33
2077-11,312.82
2077-12,296.99
2078-01,265.57
2078-02,251.64
2078-03,204.35
2078-04,175.45
2078-05,181.7
2078-06,177.71
2078-07,215.52
2078-08,239.05
2078-09,254.56
2078-10,304.75
2078-11,289.17
2078-12,297.66
2079-01,322.61
2079-02,261.83
2079-03,188.0
2079-04,244.11
2079-05,188.63
2079-06,178.19
2079-07,191.09
2079-08,216.84
2079-09,253.74
2079-10,263.09
2079-11,310.08
2079-12,268.26
2080-01,273.97
2080-02,223.76
2080-03,223.96
2080-04,214.35
2080-05,183.1
2080-06,181.17
2080-07,197.29
2080-08,225.05
2080-09,266.81
2080-10,308.07
2080-11,315.14
2080-12,296.83
2081-01,261.03
2081-02,272.34
2081-03,207.51
2081-04,187.13
2081-05,190.56
2081-06,202.95
2081-07,204.13
2081-08,224.94
2081-09,219.74
2081-10,276.14
2081-11,286.64
2081-12,265.38
2082-01,241.48
2082-02,231.05
2082-03,215.31
2082-04,215.66
2082-05,180.27
2082-06,195.89
2082-07,196.65
2082-08,220.78
2082-09,276.25
2082-10,261.7
2082-11,306.98
2082-12,320.26
2083-01,292.4
2083-02,220.11
2083-03,189.31
2083-04,228.32
2083-05,207.41
2083-06,178.69
2083-07,191.47
2083-08,234.64
2083-09,264.65
2083-10,260.87
2083-11,294.36
2083-12,312.79
2084-01,263.74
2084-02,243.32
2084-03,221.37
2084-04,214.43
2084-05,183.83
2084-06,199.07
2084-07,217.23
2084-08,225.67
2084-09,244.39
2084-10,270.55
2084-11,251.54
2084-12,341.36
2085-01,248.09
2085-02,229.46
2085-03,250.61
2085-04,188.44
2085-05,203.49
2085-06,189.82
2085-07,217.53
2085-08,235.66
2085-09,258.95
2085-10,252.23
2085-11,282.47
2085-12,274.42
2086-01,310.62
2086-02,252.84
2086-03,273.04
2086-04,231.41
2086-05,232.58
2086-06,198.53
2086-07,204.35
2086-08,164.94
2086-09,268.93
2086-10,270.77
2086-11,314.29
2086-12,290.85
2087-01,263.52
2087-02,186.87
2087-03,195.53
2087-04,197.62
2087-05,187.47
2087-06,168.96
2087-07,198.46
2087-08,234.35
2087-09,226.36
2087-10,276.37
2087-11,318.91
2087-12,259.84
2088-01,297.02
2088-02,242.03
2088-03,212.49
2088-04,207.86
2088-05,190.38
2088-06,186.76
2088-07,207.41
2088-08,211.21
2088-09,232.95
2088-10,300.53
2088-11,301.4
2088-12,265.89
2089-01,201.86
2089-02,231.69
2089-03,223.86
2089-04,211.23
2089-05,177.0
2089-06,194.59
2089-07,199.19
2089-08,251.98
2089-09,234.9
2089-10,281.37
2089-11,310.44
2089-12,342.11
2090-01,228.22
2090-02,260.98
2090-03,239.92
2090-04,185.29
2090-05,176.24
2090-06,192.18
2090-07,193.4
2090-08,224.56
2090-09,256.15
2090-10,244.4
2090-11,322.38
2090-12,291.12
2091-01,238.01
2091-02,241.33
2091-03,234.15
2091-04,206.86
2091-05,175.46
2091-06,189.36
2091-07,207.34
2091-08,199.57
2091-09,243.79
2091-10,292.11
2091-11,322.18
2091-12,317.06
2092-01,242.89
2092-02,253.14
2092-03,159.74
2092-04,167.48
2092-05,182.7
2092-06,171.32
2092-07,208.88
2092-08,221.06
2092-09,251.24
2092-10,296.77
2092-11,320.57
2092-12,321.87
2093-01,260.37
2093-02,263.16
2093-03,242.16
2093-04,196.23
2093-05,197.28
2093-06,205.73
2093-07,202.37
2093-08,250.34
2093-09,282.25
2093-10,307.77
2093-11,291.87
2093-12,272.82
2094-01,268.58
2094-02,300.88
2094-03,263.39
2094-04,206.34
2094-05,169.51
2094-06,189.02
2094-07,206.66
2094-08,202.53
2094-09,234.83
2094-10,315.72
2094-11,325.21
2094-12,269.27
2095-01,231.97
2095-02,242.48
2095-03,215.99
2095-04,209.91
2095-05,181.91
2095-06,167.94
2095-07,203.11
2095-08,241.11
2095-09,259.52
2095-10,295.02
2095-11,315.19
2095-12,335.62
2096-01,265.2
2096-02,278.42
2096-03,203.52
2096-04,186.03
2096-05,177.46
2096-06,172.23
2096-07,208.66
2096-08,238.54
2096-09,235.97
2096-10,245.62
2096-11,267.01
2096-12,325.11
2097-01,272.73
2097-02,269.4
2097-03,210.15
2097-04,204.07
2097-05,173.22
2097-06,200.39
2097-07,191.31
2097-08,240.07
2097-09,254.93
2097-10,283.82
2097-11,316.1
2097-12,306.28
2098-01,247.51
2098-02,226.43
2098-03,234.28
2098-04,177.22
2098-05,180.62
2098-06,171.65
2098-07,205.24
2098-08,204.27
2098-09,249.65
2098-10,290.71
2098-11,265.85
2098-12,299.83
2099-01,240.04
2099-02,255.5
2099-03,246.98
2099-04,211.34
2099-05,180.09
2099-06,197.0
2099-07,172.69
2099-08,233.52
2099-09,240.35
2099-10,283.04
2099-11,276.16
2099-12,332.82
2100-01,268.47
2100-02,248.69
2100-03,236.97
2100-04,226.58
2100-05,183.82
2100-06,188.28
2100-07,209.12
2100-08,247.2
2100-09,245.68
2100-10,259.21
2100-11,300.46
2100-12,317.42
2101-01,291.79
2101-02,243.7
2101-03,214.33
2101-04,206.5
2101-05,208.71
2101-06,207.03
2101-07,189.26
2101-08,232.45
2101-09,201.17
2101-10,323.59
2101-11,305.24
2101-12,325.38
2102-01,272.92
2102-02,230.8
2102-03,235.29
2102-04,215.92
2102-05,176.59
2102-06,173.16
2102-07,194.42
2102-08,190.52
2102-09,248.0
2102-10,259.14
2102-11,304.8
2102-12,294.18
2103-01,322.25
2103-02,234.22
2103-03,242.37
2103-04,215.07
2103-05,171.2
2103-06,170.18
2103-07,210.52
2103-08,241.46
2103-09,274.19
2103-10,270.78
2103-11,285.09
2103-12,281.6
2104-01,305.97
2104-02,264.22
2104-03,224.26
2104-04,203.84
2104-05,193.28
2104-06,175.43
2104-07,196.88
2104-08,228.32
2104-09,285.91
2104-10,279.97
2104-11,267.05
2104-12,269.46
2105-01,233.01
2105-02,295.23
2105-03,252.55
2105-04,199.46
2105-05,196.21
2105-06,186.94
2105-07,208.09
2105-08,204.52
2105-09,260.31
2105-10,272.23
2105-11,288.87
2105-12,325.65
2106-01,246.06
2106-02,229.07
2106-03,190.87
2106-04,193.65
2106-05,167.89
2106-06,194.97
2106-07,183.91
2106-08,241.79
2106-09,253.98
2106-10,219.93
2106-11,287.04
2106-12,262.61
2107-01,250.55
2107-02,198.41
2107-03,239.77
2107-04,182.28
2107-05,186.74
2107-06,190.42
2107-07,202.62
2107-08,239.9
2107-09,263.95
2107-10,277.99
2107-11,331.0
2107-12,298.05
2108-01,189.87
2108-02,241.15
2108-03,199.45
2108-04,214.39
2108-05,199.82
2108-06,193.89
2108-07,216.13
2108-08,228.88
2108-09,217.64
2108-10,302.73
2108-11,298.26
2108-12,328.11
2109-01,301.44
2109-02,260.11
2109-03,282.73
2109-04,231.65
2109-05,223.68
2109-06,198.42
2109-07,203.65
2109-08,247.22
2109-09,259.46
2109-10,286.95
2109-11,297.1
2109-12,260.95
2110-01,178.76
2110-02,212.79
2110-03,228.32
2110-04,197.26
2110-05,184.38
2110-06,160.38
2110-07,207.17
2110-08,217.15
2110-09,280.09
2110-10,276.43
2110-11,288.02
2110-12,312.26
2111-01,303.86
2111-02,278.59
2111-03,227.58
2111-04,205.91
2111-05,195.12
2111-06,187.83
2111-07,203.1
2111-08,221.52
2111-09,278.85
2111-10,281.64
2111-11,282.05
2111-12,272.73
2112-01,255.68
2112-02,237.51
2112-03,254.39
2112-04,178.96
2112-05,190.27
2112-06,183.4
2112-07,195.21
2112-08,251.47
2112-09,280.69
2112-10,304.73
2112-11,305.36
2112-12,272.71
2113-01,245.62
2113-02,244.22
2113-03,241.88
2113-04,205.48
2113-05,173.82
2113-06,152.22
2113-07,196.86
2113-08,234.0
2113-09,248.5
2113-10,260.75
2113-11,273.86
2113-12,266.89
2114-01,259.96
2114-02,274.06
2114-03,224.2
2114-04,199.82
2114-05,149.91
2114-06,164.21
2114-07,192.36
