Date,RSDS (W/m²)
2015-01,182.63
2015-02,124.41
2015-03,169.35
2015-04,124.76
2015-05,136.96
2015-06,172.41
2015-07,178.23
2015-08,201.37
2015-09,220.93
2015-10,217.62
2015-11,222.35
2015-12,212.49
2016-01,245.68
2016-02,255.02
2016-03,110.85
2016-04,133.85
2016-05,157.99
2016-06,161.11
2016-07,217.02
2016-08,190.43
2016-09,198.55
2016-10,243.08
2016-11,226.07
2016-12,233.1
2017-01,227.44
2017-02,157.86
2017-03,175.02
2017-04,126.04
2017-05,146.11
2017-06,194.1
2017-07,154.96
2017-08,225.88
2017-09,197.25
2017-10,198.46
2017-11,234.0
2017-12,217.67
2018-01,148.84
2018-02,136.4
2018-03,142.75
2018-04,157.26
2018-05,180.57
2018-06,170.38
2018-07,156.38
2018-08,168.85
2018-09,194.55
2018-10,217.1
2018-11,217.45
2018-12,223.05
2019-01,225.14
2019-02,180.02
2019-03,154.31
2019-04,197.84
2019-05,182.01
2019-06,178.59
2019-07,168.66
2019-08,207.53
2019-09,249.16
2019-10,247.36
2019-11,214.06
2019-12,219.87
2020-01,168.85
2020-02,148.37
2020-03,138.12
2020-04,146.84
2020-05,163.41
2020-06,132.58
2020-07,193.38
2020-08,201.54
2020-09,243.42
2020-10,259.51
2020-11,231.75
2020-12,204.29
2021-01,254.64
2021-02,189.94
2021-03,196.11
2021-04,175.49
2021-05,137.42
2021-06,172.36
2021-07,192.14
2021-08,196.55
2021-09,238.29
2021-10,249.34
2021-11,214.75
2021-12,210.36
2022-01,210.13
2022-02,187.68
2022-03,158.1
2022-04,101.34
2022-05,189.16
2022-06,173.53
2022-07,182.18
2022-08,201.45
2022-09,210.06
2022-10,253.15
2022-11,214.47
2022-12,235.18
2023-01,165.75
2023-02,215.68
2023-03,174.77
2023-04,155.46
2023-05,191.78
2023-06,197.1
2023-07,159.46
2023-08,189.14
2023-09,231.77
2023-10,230.08
2023-11,220.5
2023-12,230.83
2024-01,222.25
2024-02,199.35
2024-03,82.03
2024-04,114.89
2024-05,144.26
2024-06,188.37
2024-07,168.62
2024-08,179.42
2024-09,216.18
2024-10,230.15
2024-11,225.48
2024-12,181.57
2025-01,176.75
2025-02,234.72
2025-03,179.01
2025-04,126.95
2025-05,140.57
2025-06,171.51
2025-07,190.43
2025-08,142.29
2025-09,235.47
2025-10,242.09
2025-11,204.56
2025-12,185.15
2026-01,215.84
2026-02,163.64
2026-03,179.05
2026-04,137.18
2026-05,183.32
2026-06,141.64
2026-07,191.98
2026-08,196.2
2026-09,227.36
2026-10,216.97
2026-11,259.94
2026-12,251.46
2027-01,169.67
2027-02,147.72
2027-03,166.97
2027-04,159.39
2027-05,154.43
2027-06,140.54
2027-07,177.15
2027-08,163.4
2027-09,237.55
2027-10,245.23
2027-11,229.2
2027-12,181.93
2028-01,206.51
2028-02,197.74
2028-03,135.27
2028-04,166.06
2028-05,194.1
2028-06,144.75
2028-07,185.12
2028-08,174.08
2028-09,252.06
2028-10,243.81
2028-11,190.94
2028-12,235.83
2029-01,240.85
2029-02,203.31
2029-03,197.43
2029-04,141.09
2029-05,135.45
2029-06,188.71
2029-07,165.02
2029-08,204.54
2029-09,211.8
2029-10,242.45
2029-11,218.62
2029-12,213.02
2030-01,223.54
2030-02,170.94
2030-03,154.57
2030-04,169.77
2030-05,123.49
2030-06,173.35
2030-07,168.3
2030-08,162.67
2030-09,268.6
2030-10,226.43
2030-11,260.33
2030-12,230.86
2031-01,222.1
2031-02,222.88
2031-03,149.11
2031-04,172.11
2031-05,165.55
2031-06,159.34
2031-07,182.77
2031-08,182.23
2031-09,229.13
2031-10,267.9
2031-11,272.15
2031-12,265.42
2032-01,202.66
2032-02,260.35
2032-03,139.17
2032-04,156.27
2032-05,169.04
2032-06,138.98
2032-07,180.0
2032-08,143.19
2032-09,229.75
2032-10,234.64
2032-11,226.52
2032-12,187.07
2033-01,197.16
2033-02,211.76
2033-03,130.71
2033-04,161.59
2033-05,95.77
2033-06,132.46
2033-07,133.85
2033-08,143.57
2033-09,190.36
2033-10,193.86
2033-11,203.09
2033-12,213.88
2034-01,154.64
2034-02,130.13
2034-03,166.1
2034-04,169.4
2034-05,177.28
2034-06,174.19
2034-07,199.32
2034-08,181.75
2034-09,179.83
2034-10,218.38
2034-11,223.03
2034-12,258.26
2035-01,189.72
2035-02,250.3
2035-03,125.56
2035-04,184.79
2035-05,170.46
2035-06,163.6
2035-07,226.27
2035-08,180.17
2035-09,209.49
2035-10,261.67
2035-11,221.66
2035-12,247.97
2036-01,187.25
2036-02,212.95
2036-03,168.18
2036-04,137.03
2036-05,145.14
2036-06,151.24
2036-07,194.1
2036-08,232.13
2036-09,227.32
2036-10,210.99
2036-11,202.24
2036-12,232.41
2037-01,198.3
2037-02,167.89
2037-03,155.71
2037-04,123.61
2037-05,169.03
2037-06,165.28
2037-07,176.71
2037-08,186.68
