Date,RSDS (W/m²)
2015-01,219.96
2015-02,326.88
2015-03,230.4
2015-04,205.07
2015-05,206.26
2015-06,193.81
2015-07,198.41
2015-08,253.74
2015-09,268.58
2015-10,310.82
2015-11,281.29
2015-12,245.07
2016-01,291.93
2016-02,238.0
2016-03,248.81
2016-04,213.14
2016-05,221.42
2016-06,200.26
2016-07,198.73
2016-08,236.31
2016-09,235.33
2016-10,249.15
2016-11,292.26
2016-12,232.72
2017-01,233.19
2017-02,212.81
2017-03,249.14
2017-04,233.64
2017-05,212.66
2017-06,205.25
2017-07,181.18
2017-08,218.37
2017-09,215.07
2017-10,252.95
2017-11,198.37
2017-12,289.6
2018-01,233.9
2018-02,286.01
2018-03,203.25
2018-04,223.35
2018-05,208.93
2018-06,193.79
2018-07,206.46
2018-08,238.04
2018-09,229.39
2018-10,272.21
2018-11,253.65
2018-12,285.03
2019-01,257.72
2019-02,283.97
2019-03,224.2
2019-04,235.93
2019-05,220.16
2019-06,206.52
2019-07,231.88
2019-08,237.94
2019-09,270.2
2019-10,262.91
2019-11,249.46
2019-12,287.78
2020-01,239.56
2020-02,257.46
2020-03,241.35
2020-04,226.16
2020-05,220.92
2020-06,202.36
2020-07,193.88
2020-08,187.99
2020-09,238.38
2020-10,275.97
2020-11,275.65
2020-12,302.82
2021-01,229.79
2021-02,271.34
2021-03,190.53
2021-04,228.53
2021-05,221.93
2021-06,197.29
2021-07,206.35
2021-08,200.56
2021-09,237.28
2021-10,236.53
2021-11,245.03
2021-12,265.67
2022-01,253.62
2022-02,182.76
2022-03,170.77
2022-04,202.7
2022-05,213.63
2022-06,193.68
2022-07,198.87
2022-08,244.87
2022-09,273.06
2022-10,267.46
2022-11,230.21
2022-12,219.76
2023-01,176.91
2023-02,200.67
2023-03,218.52
2023-04,212.98
2023-05,192.66
2023-06,195.83
2023-07,199.33
2023-08,233.14
2023-09,279.64
2023-10,296.14
2023-11,286.93
2023-12,284.31
2024-01,263.4
2024-02,233.52
2024-03,230.87
2024-04,198.15
2024-05,202.56
2024-06,217.57
2024-07,199.35
2024-08,243.08
2024-09,253.29
2024-10,266.99
2024-11,253.35
2024-12,275.44
2025-01,289.02
2025-02,255.26
2025-03,248.34
2025-04,216.22
2025-05,209.03
2025-06,184.65
2025-07,210.75
2025-08,224.7
2025-09,245.85
2025-10,287.81
2025-11,320.33
2025-12,290.39
2026-01,300.55
2026-02,266.73
2026-03,219.74
2026-04,202.2
2026-05,195.74
2026-06,191.24
2026-07,200.29
2026-08,237.52
2026-09,230.04
2026-10,266.5
2026-11,260.52
2026-12,192.93
2027-01,229.41
2027-02,272.05
2027-03,200.6
2027-04,214.16
2027-05,203.16
2027-06,209.22
2027-07,189.69
2027-08,224.77
2027-09,246.96
2027-10,271.9
2027-11,275.49
2027-12,229.96
2028-01,289.75
2028-02,206.38
2028-03,251.85
2028-04,244.31
2028-05,202.45
2028-06,195.85
2028-07,205.3
2028-08,264.09
2028-09,259.27
2028-10,302.72
2028-11,313.53
2028-12,288.75
2029-01,258.68
2029-02,259.47
2029-03,269.56
2029-04,220.49
2029-05,229.61
2029-06,220.33
2029-07,214.57
2029-08,220.75
2029-09,277.78
2029-10,289.85
2029-11,301.42
2029-12,200.73
2030-01,253.8
2030-02,245.19
2030-03,239.92
2030-04,231.37
2030-05,221.98
2030-06,182.29
2030-07,210.79
2030-08,247.12
2030-09,275.39
2030-10,287.46
2030-11,269.27
2030-12,300.03
2031-01,248.02
2031-02,266.98
2031-03,243.35
2031-04,235.6
2031-05,205.58
2031-06,224.73
2031-07,209.7
2031-08,216.52
2031-09,242.94
2031-10,255.0
2031-11,305.61
2031-12,249.04
2032-01,263.81
2032-02,206.74
2032-03,252.03
2032-04,247.71
2032-05,207.99
2032-06,192.61
2032-07,215.6
2032-08,233.23
2032-09,247.96
2032-10,251.82
2032-11,287.57
2032-12,253.09
2033-01,283.76
2033-02,277.4
2033-03,246.09
2033-04,247.6
2033-05,224.31
2033-06,211.38
2033-07,213.41
2033-08,228.31
2033-09,300.1
2033-10,272.35
2033-11,278.1
2033-12,292.24
2034-01,265.03
2034-02,230.78
2034-03,246.08
2034-04,219.17
2034-05,232.21
2034-06,209.79
2034-07,206.51
2034-08,245.59
2034-09,259.12
2034-10,261.36
2034-11,300.76
2034-12,261.4
2035-01,291.65
2035-02,284.91
2035-03,170.63
2035-04,208.72
2035-05,224.18
2035-06,194.11
2035-07,211.14
2035-08,241.1
2035-09,261.72
2035-10,284.22
2035-11,280.92
2035-12,252.05
2036-01,232.93
2036-02,208.5
2036-03,222.75
2036-04,211.79
2036-05,213.3
2036-06,218.42
2036-07,210.64
2036-08,245.43
2036-09,263.55
2036-10,290.08
2036-11,310.82
2036-12,256.7
2037-01,304.08
2037-02,257.89
2037-03,188.57
2037-04,226.12
2037-05,220.15
2037-06,200.83
2037-07,195.23
2037-08,235.22
2037-09,255.63
2037-10,278.28
2037-11,260.09
2037-12,247.14
2038-01,256.38
2038-02,233.71
2038-03,252.19
2038-04,234.65
2038-05,206.09
2038-06,199.52
2038-07,204.39
2038-08,224.95
2038-09,261.69
2038-10,288.44
2038-11,263.85
2038-12,244.63
2039-01,286.34
2039-02,273.26
2039-03,173.91
2039-04,265.96
2039-05,223.43
2039-06,214.82
2039-07,210.49
2039-08,253.63
2039-09,262.89
2039-10,243.31
2039-11,300.93
2039-12,289.59
2040-01,269.58
2040-02,281.98
2040-03,238.58
2040-04,226.11
2040-05,204.6
2040-06,210.76
2040-07,206.66
2040-08,219.49
2040-09,254.8
2040-10,262.97
2040-11,265.29
2040-12,266.75
2041-01,283.82
2041-02,229.79
2041-03,187.13
2041-04,218.15
2041-05,204.45
2041-06,203.83
2041-07,226.85
2041-08,245.4
2041-09,258.26
2041-10,272.28
2041-11,296.17
2041-12,256.15
2042-01,265.63
2042-02,287.33
2042-03,253.08
2042-04,219.55
2042-05,214.47
2042-06,209.69
2042-07,207.54
2042-08,249.41
2042-09,262.1
2042-10,281.99
2042-11,287.74
2042-12,295.1
2043-01,283.15
2043-02,269.13
2043-03,234.62
2043-04,220.13
2043-05,220.39
2043-06,219.94
2043-07,211.79
2043-08,214.5
2043-09,265.35
2043-10,265.27
2043-11,264.81
2043-12,221.28
2044-01,261.49
2044-02,269.35
2044-03,243.45
2044-04,211.81
2044-05,210.36
2044-06,209.8
2044-07,206.18
2044-08,233.09
2044-09,276.79
2044-10,280.58
2044-11,279.32
2044-12,255.49
2045-01,253.74
2045-02,245.79
2045-03,227.71
2045-04,204.07
2045-05,227.29
2045-06,207.97
2045-07,217.1
2045-08,238.15
2045-09,285.6
2045-10,302.93
2045-11,281.1
2045-12,258.45
2046-01,256.66
2046-02,249.16
2046-03,254.04
2046-04,220.95
2046-05,222.34
2046-06,204.87
2046-07,210.5
2046-08,238.36
2046-09,256.27
2046-10,285.51
2046-11,280.87
2046-12,266.4
2047-01,249.9
2047-02,248.51
2047-03,237.05
2047-04,208.77
2047-05,217.01
2047-06,215.78
2047-07,209.57
2047-08,234.25
2047-09,274.99
2047-10,303.29
2047-11,296.77
2047-12,287.66
2048-01,291.49
2048-02,257.4
2048-03,273.07
2048-04,280.2
2048-05,231.63
2048-06,213.82
2048-07,219.01
2048-08,238.22
2048-09,277.15
2048-10,273.06
2048-11,271.39
2048-12,285.52
2049-01,213.71
2049-02,287.39
2049-03,281.75
2049-04,237.94
2049-05,215.59
2049-06,201.03
2049-07,218.33
2049-08,225.3
2049-09,222.46
2049-10,290.76
2049-11,253.3
2049-12,296.47
2050-01,213.62
2050-02,293.31
2050-03,251.18
2050-04,225.1
2050-05,214.8
2050-06,208.47
2050-07,194.48
2050-08,248.96
2050-09,271.41
2050-10,291.38
2050-11,342.52
2050-12,294.7
2051-01,236.04
2051-02,207.41
2051-03,244.88
2051-04,215.8
2051-05,211.79
2051-06,211.19
2051-07,192.41
2051-08,231.68
2051-09,244.18
2051-10,283.44
2051-11,278.48
2051-12,237.73
2052-01,255.77
2052-02,287.72
2052-03,243.54
2052-04,210.78
2052-05,195.51
2052-06,195.35
2052-07,220.61
2052-08,226.42
2052-09,245.96
2052-10,296.9
2052-11,296.85
2052-12,291.12
2053-01,215.52
2053-02,253.14
2053-03,234.07
2053-04,212.31
2053-05,230.24
2053-06,195.38
2053-07,201.48
2053-08,213.02
2053-09,269.5
2053-10,250.28
2053-11,259.22
2053-12,236.05
2054-01,265.19
2054-02,296.69
2054-03,235.14
2054-04,228.0
2054-05,205.23
2054-06,210.96
2054-07,207.71
2054-08,214.81
2054-09,254.58
2054-10,272.36
2054-11,295.29
2054-12,249.59
2055-01,253.15
2055-02,229.06
2055-03,222.65
2055-04,221.63
2055-05,211.5
2055-06,191.09
2055-07,211.52
2055-08,244.91
2055-09,270.22
2055-10,278.76
2055-11,271.42
2055-12,280.94
2056-01,297.98
2056-02,245.48
2056-03,239.85
2056-04,252.13
2056-05,229.77
2056-06,209.48
2056-07,209.7
2056-08,209.21
2056-09,265.82
2056-10,294.47
2056-11,248.1
2056-12,221.25
2057-01,313.12
2057-02,203.57
2057-03,265.47
2057-04,224.38
2057-05,216.1
2057-06,207.48
2057-07,197.69
2057-08,233.27
2057-09,245.47
2057-10,275.76
2057-11,282.57
2057-12,271.78
2058-01,241.4
2058-02,244.92
2058-03,255.29
2058-04,248.49
2058-05,205.5
2058-06,229.98
2058-07,206.24
2058-08,252.61
2058-09,266.28
2058-10,279.08
2058-11,272.13
2058-12,260.58
2059-01,241.75
2059-02,177.71
2059-03,243.07
2059-04,225.51
2059-05,218.27
2059-06,198.96
2059-07,212.24
2059-08,217.92
2059-09,251.76
2059-10,280.64
2059-11,277.63
2059-12,258.9
2060-01,230.29
2060-02,202.23
2060-03,242.66
2060-04,218.73
2060-05,217.23
2060-06,207.69
2060-07,192.93
2060-08,246.95
2060-09,281.97
2060-10,269.18
