Date,RSDS (W/m²)
2015-01,238.87
2015-02,232.37
2015-03,209.98
2015-04,192.58
2015-05,174.95
2015-06,155.39
2015-07,168.11
2015-08,172.44
2015-09,183.91
2015-10,233.84
2015-11,237.73
2015-12,241.54
2016-01,205.69
2016-02,226.31
2016-03,215.8
2016-04,189.38
2016-05,183.78
2016-06,161.52
2016-07,185.19
2016-08,167.29
2016-09,191.84
2016-10,212.84
2016-11,258.73
2016-12,224.86
2017-01,220.55
2017-02,241.2
2017-03,240.83
2017-04,195.8
2017-05,160.89
2017-06,148.43
2017-07,170.23
2017-08,168.46
2017-09,197.91
2017-10,237.58
2017-11,261.07
2017-12,223.92
2018-01,266.8
2018-02,224.2
2018-03,203.34
2018-04,194.71
2018-05,162.42
2018-06,153.69
2018-07,164.19
2018-08,186.77
2018-09,236.31
2018-10,211.82
2018-11,257.01
2018-12,254.92
2019-01,236.81
2019-02,229.05
2019-03,209.58
2019-04,186.16
2019-05,158.33
2019-06,171.62
2019-07,172.47
2019-08,187.49
2019-09,212.02
2019-10,216.43
2019-11,230.61
2019-12,240.77
2020-01,268.61
2020-02,218.86
2020-03,211.69
2020-04,202.09
2020-05,185.36
2020-06,167.1
2020-07,170.08
2020-08,189.04
2020-09,215.2
2020-10,211.08
2020-11,252.69
2020-12,277.47
2021-01,236.69
2021-02,245.38
2021-03,225.32
2021-04,174.57
2021-05,159.74
2021-06,150.58
2021-07,162.67
2021-08,186.96
2021-09,211.5
2021-10,200.04
2021-11,242.12
2021-12,231.85
2022-01,250.83
2022-02,243.41
2022-03,230.37
2022-04,198.78
2022-05,183.58
2022-06,141.73
2022-07,170.74
2022-08,202.57
2022-09,197.69
2022-10,213.75
2022-11,237.96
2022-12,238.48
2023-01,224.25
2023-02,245.31
2023-03,219.08
2023-04,177.56
2023-05,184.76
2023-06,163.32
2023-07,174.17
2023-08,191.92
2023-09,214.32
2023-10,206.69
2023-11,226.17
2023-12,250.88
2024-01,244.31
2024-02,236.26
2024-03,230.48
2024-04,188.85
2024-05,187.45
2024-06,157.9
2024-07,170.11
2024-08,166.52
2024-09,200.08
2024-10,254.01
2024-11,245.33
2024-12,250.97
2025-01,231.1
2025-02,242.83
2025-03,213.02
2025-04,190.16
2025-05,164.26
2025-06,171.86
2025-07,159.43
2025-08,178.48
2025-09,210.0
2025-10,224.33
2025-11,262.21
2025-12,251.54
2026-01,261.97
2026-02,241.86
2026-03,213.38
2026-04,205.4
2026-05,168.77
2026-06,156.9
2026-07,179.18
2026-08,189.2
2026-09,200.53
2026-10,249.01
2026-11,257.4
2026-12,240.87
2027-01,258.04
2027-02,224.61
2027-03,239.0
2027-04,183.03
2027-05,174.32
2027-06,161.05
2027-07,160.67
2027-08,188.18
2027-09,205.99
2027-10,219.27
2027-11,232.91
2027-12,234.43
2028-01,231.82
2028-02,211.9
2028-03,224.11
2028-04,181.56
2028-05,163.82
2028-06,170.52
2028-07,153.81
2028-08,189.18
2028-09,200.2
2028-10,210.19
2028-11,230.44
2028-12,266.52
2029-01,238.81
2029-02,208.97
2029-03,214.07
2029-04,199.11
2029-05,161.36
2029-06,172.52
2029-07,158.73
2029-08,181.4
2029-09,201.76
2029-10,221.85
2029-11,233.12
2029-12,268.98
2030-01,252.97
2030-02,237.89
2030-03,222.52
2030-04,203.18
2030-05,162.22
2030-06,175.74
2030-07,179.97
2030-08,203.15
2030-09,205.7
2030-10,249.29
2030-11,241.76
2030-12,234.15
2031-01,287.06
2031-02,257.75
2031-03,214.69
2031-04,186.33
2031-05,159.56
2031-06,174.01
2031-07,164.33
2031-08,196.38
2031-09,178.34
2031-10,216.38
2031-11,226.39
2031-12,209.1
2032-01,241.63
2032-02,228.65
2032-03,240.21
2032-04,201.35
2032-05,165.72
2032-06,153.99
2032-07,167.43
2032-08,203.79
2032-09,200.32
