Date,RSDS (W/m²)
2015-01,149.06
2015-02,203.39
2015-03,191.08
2015-04,183.73
2015-05,185.77
2015-06,209.48
2015-07,196.19
2015-08,229.55
2015-09,226.89
2015-10,230.85
2015-11,206.91
2015-12,198.7
2016-01,203.25
2016-02,260.58
2016-03,216.43
2016-04,179.6
2016-05,154.67
2016-06,198.24
2016-07,176.09
2016-08,222.54
2016-09,217.68
2016-10,264.02
2016-11,254.14
2016-12,219.47
2017-01,214.82
2017-02,206.49
2017-03,167.18
2017-04,194.91
2017-05,206.75
2017-06,195.94
2017-07,188.13
2017-08,236.34
2017-09,226.21
2017-10,254.93
2017-11,241.83
2017-12,189.2
2018-01,258.21
2018-02,235.19
2018-03,243.93
2018-04,206.64
2018-05,174.9
2018-06,179.52
2018-07,188.13
2018-08,210.05
2018-09,226.34
2018-10,236.16
2018-11,216.44
2018-12,198.9
2019-01,247.76
2019-02,220.4
2019-03,202.4
2019-04,214.22
2019-05,181.17
2019-06,174.84
2019-07,182.34
2019-08,215.74
2019-09,214.39
2019-10,275.19
2019-11,228.73
2019-12,243.79
2020-01,232.53
2020-02,208.1
2020-03,212.56
2020-04,159.95
2020-05,183.32
2020-06,210.81
2020-07,189.92
2020-08,242.11
2020-09,253.36
2020-10,233.76
2020-11,238.55
2020-12,221.54
2021-01,214.65
2021-02,201.71
2021-03,190.0
2021-04,185.54
2021-05,196.86
2021-06,195.61
2021-07,218.71
2021-08,243.92
2021-09,245.01
2021-10,273.19
2021-11,231.37
2021-12,249.87
2022-01,205.5
2022-02,214.76
2022-03,184.56
2022-04,202.01
2022-05,195.88
2022-06,203.4
2022-07,184.85
2022-08,233.34
2022-09,244.3
2022-10,233.62
2022-11,240.35
2022-12,205.9
2023-01,219.37
2023-02,229.92
2023-03,222.82
2023-04,186.59
2023-05,215.94
2023-06,197.07
2023-07,193.88
2023-08,208.94
2023-09,229.25
2023-10,225.08
2023-11,218.07
2023-12,203.57
2024-01,233.06
2024-02,274.51
2024-03,239.41
2024-04,197.81
2024-05,158.38
2024-06,195.32
2024-07,185.51
2024-08,211.41
2024-09,274.03
2024-10,253.38
2024-11,235.35
2024-12,199.2
2025-01,240.34
2025-02,193.12
2025-03,220.11
2025-04,145.35
2025-05,164.38
2025-06,194.17
2025-07,190.07
2025-08,181.59
2025-09,188.12
2025-10,243.67
2025-11,226.27
2025-12,211.21
2026-01,245.23
2026-02,263.08
2026-03,211.68
2026-04,180.6
2026-05,212.25
2026-06,188.72
2026-07,193.91
2026-08,236.52
2026-09,229.91
2026-10,223.25
2026-11,242.26
2026-12,226.43
2027-01,204.7
2027-02,227.59
2027-03,205.83
2027-04,164.37
2027-05,149.64
2027-06,181.01
2027-07,179.05
2027-08,233.71
2027-09,237.48
2027-10,196.26
2027-11,234.63
2027-12,219.15
2028-01,238.73
2028-02,201.77
2028-03,259.82
2028-04,217.96
2028-05,214.61
2028-06,203.99
2028-07,203.82
2028-08,258.18
2028-09,246.59
2028-10,228.84
2028-11,245.95
2028-12,267.75
2029-01,255.99
2029-02,225.45
2029-03,195.07
2029-04,198.67
2029-05,201.02
2029-06,206.23
2029-07,214.97
2029-08,237.12
2029-09,230.7
2029-10,219.92
2029-11,231.33
2029-12,214.96
2030-01,234.53
2030-02,210.35
2030-03,205.19
2030-04,218.31
2030-05,172.52
2030-06,189.06
2030-07,206.24
2030-08,252.21
2030-09,193.87
2030-10,224.59
2030-11,266.49
2030-12,216.99
2031-01,213.92
2031-02,247.2
2031-03,213.59
2031-04,195.37
2031-05,196.81
2031-06,203.35
2031-07,216.94
2031-08,226.35
2031-09,207.87
2031-10,225.17
2031-11,237.11
2031-12,204.8
2032-01,235.88
2032-02,205.33
2032-03,166.32
2032-04,188.64
2032-05,189.7
2032-06,188.29
2032-07,207.87
2032-08,235.08
2032-09,218.81
2032-10,256.43
2032-11,224.99
2032-12,227.41
2033-01,217.77
2033-02,219.27
2033-03,201.4
2033-04,200.24
2033-05,208.66
2033-06,187.79
2033-07,206.45
2033-08,243.32
2033-09,232.15
2033-10,243.45
2033-11,302.06
2033-12,210.88
2034-01,260.89
2034-02,232.58
2034-03,201.71
2034-04,218.4
2034-05,192.08
2034-06,211.98
2034-07,216.56
2034-08,234.41
2034-09,218.35
2034-10,227.78
2034-11,213.08
2034-12,223.99
2035-01,205.6
2035-02,245.59
2035-03,230.05
2035-04,196.48
2035-05,187.01
2035-06,207.26
2035-07,216.72
2035-08,217.16
2035-09,215.19
2035-10,242.82
2035-11,248.49
2035-12,194.7
2036-01,218.64
2036-02,226.54
2036-03,201.49
2036-04,171.98
2036-05,178.98
2036-06,201.21
2036-07,184.92
2036-08,242.23
2036-09,248.97
2036-10,243.82
2036-11,235.6
2036-12,226.19
2037-01,238.55
2037-02,214.21
2037-03,245.8
2037-04,168.38
2037-05,201.95
2037-06,191.59
2037-07,219.81
2037-08,251.76
2037-09,211.22
2037-10,232.22
2037-11,233.72
2037-12,213.43
2038-01,245.54
2038-02,270.1
2038-03,187.07
2038-04,181.22
2038-05,188.47
2038-06,201.35
2038-07,211.98
2038-08,220.76
2038-09,253.26
2038-10,199.87
2038-11,245.54
2038-12,260.45
2039-01,214.83
2039-02,245.39
2039-03,223.08
2039-04,225.98
2039-05,195.79
2039-06,177.45
2039-07,201.16
2039-08,203.79
2039-09,231.99
2039-10,231.47
2039-11,270.29
2039-12,223.94
2040-01,260.28
2040-02,245.46
2040-03,202.93
2040-04,216.93
2040-05,191.86
2040-06,183.54
2040-07,201.25
2040-08,253.28
2040-09,253.02
2040-10,256.18
2040-11,200.94
2040-12,227.43
2041-01,243.3
2041-02,203.37
2041-03,189.47
2041-04,180.72
2041-05,188.53
2041-06,194.25
2041-07,227.95
2041-08,218.31
2041-09,248.15
2041-10,245.86
2041-11,198.85
2041-12,241.01
2042-01,254.13
2042-02,215.97
2042-03,202.14
2042-04,170.36
2042-05,156.31
2042-06,214.48
2042-07,217.69
2042-08,231.8
2042-09,266.08
2042-10,248.9
2042-11,244.93
2042-12,216.78
2043-01,239.55
2043-02,215.21
2043-03,274.6
2043-04,219.72
2043-05,201.3
2043-06,201.34
2043-07,205.8
2043-08,234.1
2043-09,253.03
2043-10,252.18
2043-11,271.55
2043-12,274.42
2044-01,228.8
2044-02,230.36
2044-03,218.73
2044-04,168.72
2044-05,209.68
2044-06,198.58
2044-07,199.06
2044-08,221.42
2044-09,220.72
2044-10,228.1
2044-11,210.45
2044-12,211.42
2045-01,201.32
2045-02,225.98
2045-03,219.13
2045-04,230.85
2045-05,220.71
2045-06,185.61
2045-07,183.05
2045-08,247.61
2045-09,230.46
2045-10,251.08
2045-11,265.27
2045-12,228.77
2046-01,216.66
2046-02,215.36
2046-03,203.81
2046-04,207.28
2046-05,193.5
2046-06,185.61
2046-07,200.99
2046-08,245.74
2046-09,241.99
2046-10,234.56
2046-11,238.41
2046-12,224.11
2047-01,229.74
2047-02,225.38
2047-03,202.83
2047-04,189.26
2047-05,175.32
2047-06,187.25
2047-07,221.01
2047-08,240.99
2047-09,243.26
2047-10,278.08
2047-11,246.53
2047-12,254.12
2048-01,250.78
2048-02,231.72
2048-03,208.14
2048-04,192.3
2048-05,197.92
2048-06,211.11
2048-07,205.27
2048-08,243.19
2048-09,250.31
2048-10,238.61
2048-11,231.39
2048-12,207.35
2049-01,209.13
2049-02,300.28
2049-03,257.87
2049-04,209.3
2049-05,190.71
2049-06,197.66
2049-07,194.51
2049-08,237.05
2049-09,257.27
2049-10,179.88
2049-11,242.13
2049-12,208.09
2050-01,221.64
2050-02,256.98
2050-03,233.22
2050-04,185.95
2050-05,194.56
2050-06,196.19
2050-07,197.35
2050-08,238.99
2050-09,209.06
2050-10,255.8
2050-11,282.43
2050-12,189.8
2051-01,218.1
2051-02,198.95
2051-03,184.11
2051-04,175.29
2051-05,197.21
2051-06,197.2
2051-07,183.39
2051-08,199.8
2051-09,205.01
2051-10,231.34
2051-11,216.25
2051-12,258.03
2052-01,223.27
2052-02,257.34
2052-03,187.23
2052-04,217.25
2052-05,193.22
2052-06,192.99
2052-07,210.6
2052-08,203.48
2052-09,202.09
2052-10,285.31
2052-11,258.7
2052-12,211.31
2053-01,222.83
2053-02,247.49
2053-03,233.88
2053-04,201.26
2053-05,167.12
2053-06,187.01
2053-07,200.78
2053-08,228.85
2053-09,250.56
2053-10,236.85
2053-11,261.52
2053-12,249.89
2054-01,227.97
2054-02,255.41
2054-03,271.43
2054-04,231.82
2054-05,205.36
2054-06,198.16
2054-07,212.35
2054-08,227.99
2054-09,249.59
2054-10,261.72
2054-11,254.55
2054-12,285.78
2055-01,203.35
2055-02,252.02
2055-03,250.93
2055-04,205.26
2055-05,195.0
2055-06,190.32
2055-07,205.88
2055-08,236.67
2055-09,251.77
2055-10,228.57
2055-11,284.86
2055-12,204.32
2056-01,232.53
2056-02,260.73
2056-03,238.11
