Date,RSDS (W/m²)
2015-01,214.73
2015-02,224.0
2015-03,190.8
2015-04,201.24
2015-05,184.37
2015-06,192.04
2015-07,199.9
2015-08,230.06
2015-09,233.79
2015-10,243.91
2015-11,229.11
2015-12,244.18
2018-01,196.77
2018-02,223.99
2018-03,223.45
2018-04,183.26
2018-05,155.67
2018-06,188.08
2018-07,188.96
2018-08,212.57
2018-09,236.14
2018-10,252.26
2018-11,251.39
2018-12,231.45
2020-01,211.78
2020-02,223.35
2020-03,188.06
2020-04,190.79
2020-05,186.38
2020-06,174.19
2020-07,186.7
2020-08,208.55
2020-09,222.28
2020-10,235.77
2020-11,235.61
2020-12,232.0
2021-01,253.13
2021-02,205.21
2021-03,220.21
2021-04,179.75
2021-05,167.0
2021-06,177.45
2021-07,192.28
2021-08,210.95
2021-09,229.43
2021-10,267.04
2021-11,239.58
2021-12,232.87
2022-01,238.25
2022-02,210.11
2022-03,215.35
2022-04,174.14
2022-05,162.69
2022-06,187.11
2022-07,194.49
2022-08,204.79
2022-09,224.23
2022-10,242.75
2022-11,230.48
2022-12,225.95
2023-01,222.33
2023-02,228.92
2023-03,184.72
2023-04,179.12
2023-05,161.76
2023-06,174.65
2023-07,175.05
2023-08,203.27
2023-09,234.68
2023-10,238.74
2023-11,215.02
2023-12,230.18
2024-01,256.41
2024-02,219.6
2024-03,208.21
2024-04,186.22
2024-05,177.75
2024-06,189.12
2024-07,202.88
2024-08,211.2
2024-09,234.72
2024-10,229.89
2024-11,239.15
2024-12,214.71
2026-01,217.23
2026-02,222.42
2026-03,227.41
2026-04,187.24
2026-05,164.01
2026-06,176.61
2026-07,187.19
2026-08,210.13
2026-09,228.93
2026-10,255.95
2026-11,222.95
2026-12,214.85
2028-01,210.45
2028-02,212.47
2028-03,207.42
2028-04,191.06
2028-05,179.1
2028-06,195.73
2028-07,191.67
2028-08,216.39
2028-09,207.91
2028-10,271.09
2028-11,245.0
2028-12,232.47
2029-01,231.68
2029-02,210.26
2029-03,225.12
2029-04,199.85
2029-05,192.96
2029-06,165.36
2029-07,185.68
2029-08,221.24
2029-09,225.14
2029-10,245.83
2029-11,218.65
2029-12,211.65
2031-01,248.97
2031-02,218.09
2031-03,218.66
2031-04,200.63
2031-05,175.91
2031-06,172.91
2031-07,205.24
2031-08,220.5
2031-09,227.6
2031-10,244.51
2031-11,261.1
2031-12,230.62
2033-01,216.58
2033-02,204.18
2033-03,215.45
2033-04,196.14
2033-05,185.41
2033-06,172.74
2033-07,187.9
2033-08,209.38
2033-09,237.93
2033-10,227.32
2033-11,223.96
2033-12,213.91
2041-01,226.76
2041-02,231.99
2041-03,205.06
2041-04,199.29
2041-05,148.36
2041-06,169.8
2041-07,178.39
2041-08,195.49
2041-09,220.69
2041-10,238.27
2041-11,230.3
2041-12,221.06
2043-01,251.47
2043-02,239.78
2043-03,194.63
2043-04,210.1
2043-05,173.47
2043-06,183.81
2043-07,188.82
2043-08,217.68
2043-09,252.54
2043-10,269.72
2043-11,259.84
2043-12,223.13
2044-01,218.52
2044-02,235.89
2044-03,206.11
2044-04,190.64
2044-05,182.19
2044-06,180.85
2044-07,174.31
2044-08,216.85
2044-09,229.09
2044-10,232.31
2044-11,258.86
2044-12,217.48
2046-01,230.99
2046-02,180.01
2046-03,214.62
2046-04,198.78
2046-05,173.23
2046-06,182.58
2046-07,197.62
2046-08,204.11
2046-09,240.8
2046-10,262.81
2046-11,255.36
2046-12,242.71
2051-01,226.7
2051-02,205.09
2051-03,202.95
2051-04,190.05
2051-05,174.65
2051-06,176.94
2051-07,191.91
2051-08,207.92
2051-09,248.88
2051-10,255.33
2051-11,249.6
2051-12,253.6
2052-01,242.88
2052-02,231.01
2052-03,222.44
2052-04,202.97
2052-05,176.74
2052-06,178.53
2052-07,178.08
2052-08,212.34
2052-09,239.54
2052-10,257.21
2052-11,240.06
2052-12,245.2
2054-01,198.54
2054-02,221.11
2054-03,231.49
2054-04,198.16
2054-05,174.79
2054-06,169.71
2054-07,181.85
2054-08,193.32
2054-09,214.93
2054-10,270.8
2054-11,231.57
2054-12,239.74
2057-01,227.7
2057-02,227.67
2057-03,194.39
2057-04,204.5
2057-05,183.57
2057-06,186.23
2057-07,186.44
2057-08,219.35
2057-09,230.56
2057-10,258.3
2057-11,226.1
2057-12,226.87
2060-01,235.66
2060-02,219.86
2060-03,218.72
2060-04,202.14
2060-05,182.93
2060-06,177.78
2060-07,199.08
2060-08,206.85
2060-09,243.18
2060-10,238.55
2060-11,232.62
2060-12,239.34
2061-01,222.36
2061-02,230.75
2061-03,215.8
2061-04,217.47
2061-05,169.62
2061-06,176.91
2061-07,186.49
2061-08,222.5
2061-09,244.0
2061-10,251.82
2061-11,257.11
2061-12,204.59
2065-01,225.06
2065-02,204.83
