Date,RSDS (W/m²)
2015-01,225.04
2015-02,165.76
2015-03,179.24
2015-04,213.58
2015-05,177.93
2015-06,191.21
2015-07,196.04
2015-08,187.1
2015-09,240.3
2015-10,275.47
2015-11,276.55
2015-12,289.64
2016-01,224.13
2016-02,151.19
2016-03,235.66
2016-04,224.08
2016-05,214.43
2016-06,214.0
2016-07,209.2
2016-08,214.87
2016-09,211.96
2016-10,272.92
2016-11,281.97
2016-12,286.49
2017-01,254.51
2017-02,226.12
2017-03,232.42
2017-04,229.56
2017-05,208.79
2017-06,192.39
2017-07,223.05
2017-08,254.38
2017-09,259.84
2017-10,229.43
2017-11,248.78
2017-12,196.33
2018-01,263.75
2018-02,127.1
2018-03,190.28
2018-04,232.57
2018-05,192.48
2018-06,203.12
2018-07,218.83
2018-08,244.72
2018-09,251.65
2018-10,265.95
2018-11,280.58
2018-12,203.19
2019-01,234.11
2019-02,139.85
2019-03,248.08
2019-04,195.89
2019-05,202.87
2019-06,198.5
2019-07,175.84
2019-08,230.16
2019-09,193.3
2019-10,282.27
2019-11,234.82
2019-12,237.38
2020-01,177.54
2020-02,152.33
2020-03,246.86
2020-04,205.28
2020-05,187.01
2020-06,201.52
2020-07,182.35
2020-08,262.05
2020-09,253.54
2020-10,239.98
2020-11,222.08
2020-12,234.44
2021-01,223.0
2021-02,237.64
2021-03,250.27
2021-04,236.2
2021-05,207.75
2021-06,185.69
2021-07,212.17
2021-08,251.01
2021-09,247.38
2021-10,275.88
2021-11,275.32
2021-12,243.42
2022-01,236.47
2022-02,157.97
2022-03,185.48
2022-04,214.77
2022-05,214.65
2022-06,201.35
2022-07,205.48
2022-08,254.19
2022-09,258.65
2022-10,264.86
2022-11,275.62
2022-12,264.3
2023-01,236.19
2023-02,146.51
2023-03,217.54
2023-04,215.58
2023-05,192.21
2023-06,187.19
2023-07,226.0
2023-08,238.89
2023-09,252.84
2023-10,258.4
2023-11,291.2
2023-12,239.75
2024-01,241.31
2024-02,221.78
2024-03,179.05
2024-04,203.83
2024-05,175.63
2024-06,194.63
2024-07,220.8
2024-08,250.43
2024-09,281.46
2024-10,224.51
2024-11,253.51
2024-12,289.72
2025-01,267.24
2025-02,224.36
2025-03,177.75
2025-04,221.11
2025-05,179.76
2025-06,208.14
2025-07,215.2
2025-08,238.35
2025-09,243.39
2025-10,288.06
2025-11,260.04
2025-12,238.21
2026-01,273.31
2026-02,143.72
2026-03,147.61
2026-04,191.63
2026-05,193.85
2026-06,177.89
2026-07,198.35
2026-08,237.92
2026-09,173.46
2026-10,281.06
2026-11,298.0
2026-12,200.18
2027-01,221.71
2027-02,190.3
2027-03,204.24
2027-04,205.72
2027-05,217.6
2027-06,203.27
2027-07,198.7
2027-08,210.36
2027-09,227.63
2027-10,237.79
2027-11,280.91
2027-12,292.62
2028-01,238.34
2028-02,259.98
2028-03,260.37
2028-04,236.71
2028-05,199.36
2028-06,209.6
2028-07,201.62
2028-08,223.65
2028-09,273.88
2028-10,269.94
2028-11,275.56
2028-12,273.93
2029-01,220.32
2029-02,205.09
2029-03,247.52
2029-04,223.93
2029-05,191.07
2029-06,208.91
2029-07,199.14
2029-08,248.81
2029-09,240.0
2029-10,286.8
2029-11,278.91
2029-12,296.66
2030-01,245.7
2030-02,273.32
2030-03,220.27
2030-04,206.14
2030-05,199.04
2030-06,203.18
2030-07,206.53
2030-08,243.99
2030-09,258.04
2030-10,297.99
2030-11,303.86
2030-12,237.27
2031-01,225.93
2031-02,190.91
2031-03,166.76
2031-04,221.03
2031-05,178.45
2031-06,186.49
2031-07,216.32
2031-08,243.56
2031-09,264.19
2031-10,271.55
2031-11,244.62
2031-12,226.21
2032-01,176.6
2032-02,120.84
2032-03,123.6
2032-04,226.69
2032-05,177.47
2032-06,200.76
2032-07,206.47
2032-08,223.97
2032-09,252.93
2032-10,262.85
2032-11,250.87
2032-12,297.69
2033-01,183.29
2033-02,150.65
2033-03,169.48
2033-04,218.84
2033-05,185.6
2033-06,194.0
2033-07,219.32
2033-08,259.04
2033-09,222.71
2033-10,227.11
2033-11,285.15
2033-12,238.05
2034-01,202.14
2034-02,217.62
2034-03,236.42
2034-04,187.73
2034-05,220.67
2034-06,164.7
2034-07,210.45
2034-08,231.55
2034-09,232.68
2034-10,262.48
2034-11,256.68
2034-12,187.58
2035-01,137.64
2035-02,139.93
2035-03,191.27
2035-04,160.3
2035-05,209.37
2035-06,174.75
2035-07,199.44
2035-08,245.03
2035-09,233.1
2035-10,233.85
2035-11,254.44
2035-12,271.07
2036-01,266.52
2036-02,185.02
2036-03,191.56
2036-04,208.23
2036-05,167.49
2036-06,182.84
2036-07,207.14
2036-08,243.42
2036-09,267.87
2036-10,248.49
2036-11,264.06
2036-12,255.06
2037-01,293.08
2037-02,157.43
2037-03,196.14
2037-04,211.19
2037-05,192.86
2037-06,200.47
2037-07,204.26
2037-08,255.59
