Date,RSDS (W/m²)
2015-01,255.92
2015-02,259.85
2015-03,248.03
2015-04,234.1
2015-05,212.13
2015-06,202.69
2015-07,220.36
2015-08,227.31
2015-09,230.55
2015-10,268.99
2015-11,308.59
2015-12,286.37
2016-01,283.25
2016-02,243.67
2016-03,238.36
2016-04,180.9
2016-05,203.99
2016-06,199.77
2016-07,211.66
2016-08,218.29
2016-09,249.46
2016-10,244.45
2016-11,277.79
2016-12,266.62
2017-01,255.47
2017-02,262.59
2017-03,222.86
2017-04,215.69
2017-05,203.98
2017-06,199.03
2017-07,202.6
2017-08,213.18
2017-09,243.83
2017-10,228.07
2017-11,258.53
2017-12,279.35
2018-01,261.21
2018-02,242.34
2018-03,229.72
2018-04,213.71
2018-05,207.61
2018-06,205.42
2018-07,203.18
2018-08,220.01
2018-09,230.44
2018-10,264.58
2018-11,272.38
2018-12,276.75
2019-01,256.29
2019-02,249.53
2019-03,238.29
2019-04,239.31
2019-05,226.0
2019-06,207.52
2019-07,199.31
2019-08,209.63
2019-09,257.41
2019-10,231.52
2019-11,282.41
2019-12,262.63
2020-01,263.7
2020-02,259.28
2020-03,248.49
2020-04,225.74
2020-05,196.03
2020-06,205.31
2020-07,188.12
2020-08,226.4
2020-09,236.29
2020-10,268.83
2020-11,286.06
2020-12,269.8
2021-01,228.33
2021-02,253.34
2021-03,240.76
2021-04,231.92
2021-05,199.25
2021-06,201.8
2021-07,216.86
2021-08,233.53
2021-09,206.12
2021-10,256.9
2021-11,263.94
2021-12,272.47
2022-01,261.27
2022-02,253.55
2022-03,234.39
2022-04,231.14
2022-05,222.78
2022-06,202.24
2022-07,204.8
2022-08,207.74
2022-09,252.73
2022-10,240.01
2022-11,264.14
2022-12,251.65
2023-01,245.57
2023-02,282.29
2023-03,229.03
2023-04,207.73
2023-05,209.82
2023-06,199.42
2023-07,185.52
2023-08,210.01
2023-09,235.09
2023-10,229.62
2023-11,271.8
2023-12,275.18
2024-01,246.46
2024-02,249.72
2024-03,246.13
2024-04,207.24
2024-05,202.43
2024-06,204.09
2024-07,215.95
2024-08,201.68
2024-09,227.18
2024-10,272.38
2024-11,284.35
2024-12,265.12
2025-01,280.61
2025-02,290.71
2025-03,236.44
2025-04,225.14
2025-05,204.33
2025-06,203.49
2025-07,201.55
2025-08,220.49
2025-09,232.71
2025-10,258.6
2025-11,285.81
2025-12,266.44
2026-01,278.83
2026-02,254.1
2026-03,272.71
2026-04,211.73
2026-05,201.36
2026-06,189.32
2026-07,212.08
2026-08,219.54
2026-09,239.84
2026-10,267.72
2026-11,247.6
2026-12,289.89
2027-01,252.22
2027-02,251.9
2027-03,243.01
2027-04,223.46
2027-05,198.87
2027-06,193.76
2027-07,193.15
2027-08,207.04
2027-09,215.16
2027-10,244.43
2027-11,262.81
2027-12,259.01
2028-01,283.89
2028-02,266.38
2028-03,234.36
2028-04,237.0
2028-05,208.82
2028-06,186.04
2028-07,198.56
2028-08,219.6
2028-09,244.12
2028-10,266.73
2028-11,286.2
2028-12,258.76
2029-01,254.51
2029-02,248.31
2029-03,228.11
2029-04,204.16
2029-05,184.79
2029-06,206.44
2029-07,216.6
2029-08,222.58
2029-09,249.84
2029-10,260.07
2029-11,266.25
2029-12,277.62
2030-01,254.76
2030-02,272.11
2030-03,224.06
2030-04,207.87
2030-05,216.29
2030-06,211.23
2030-07,194.99
2030-08,227.93
2030-09,231.28
2030-10,252.68
2030-11,270.39
2030-12,241.89
2031-01,291.32
2031-02,244.34
2031-03,234.7
2031-04,231.17
2031-05,221.38
2031-06,203.87
2031-07,199.79
2031-08,213.76
2031-09,248.72
2031-10,275.62
2031-11,297.02
2031-12,246.81
2032-01,265.27
2032-02,242.56
2032-03,260.81
2032-04,200.82
2032-05,219.76
2032-06,203.31
2032-07,203.59
2032-08,222.53
2032-09,216.69
2032-10,268.26
2032-11,269.01
2032-12,259.52
2033-01,239.58
2033-02,247.6
2033-03,255.15
2033-04,220.94
