Date,RSDS (W/m²)
2015-01,219.01
2015-02,215.41
2015-03,239.48
2015-04,182.32
2015-05,193.97
2015-06,186.61
2015-07,192.25
2015-08,230.02
2015-09,199.66
2015-10,222.64
2015-11,213.92
2015-12,213.23
2016-01,210.39
2016-02,211.23
2016-03,215.43
2016-04,165.93
2016-05,168.07
2016-06,194.47
2016-07,204.4
2016-08,203.87
2016-09,196.94
2016-10,217.54
2016-11,228.93
2016-12,253.66
2017-01,239.39
2017-02,234.87
2017-03,219.43
2017-04,177.07
2017-05,209.91
2017-06,177.94
2017-07,213.45
2017-08,196.44
2017-09,180.87
2017-10,244.64
2017-11,194.95
2017-12,202.61
2018-01,230.61
2018-02,217.75
2018-03,222.24
2018-04,206.52
2018-05,191.44
2018-06,171.39
2018-07,192.49
2018-08,221.67
2018-09,216.8
2018-10,214.12
2018-11,198.34
2018-12,220.25
2019-01,232.23
2019-02,244.41
2019-03,222.55
2019-04,212.43
2019-05,170.66
2019-06,204.48
2019-07,206.41
2019-08,204.71
2019-09,218.16
2019-10,246.09
2019-11,264.19
2019-12,238.11
2020-01,258.22
2020-02,218.2
2020-03,208.3
2020-04,191.71
2020-05,187.29
2020-06,153.22
2020-07,221.06
2020-08,215.81
2020-09,228.83
2020-10,237.25
2020-11,263.82
2020-12,252.22
2021-01,253.06
2021-02,249.43
2021-03,222.02
2021-04,165.5
2021-05,178.44
2021-06,160.03
2021-07,161.54
2021-08,219.96
2021-09,226.7
2021-10,217.98
2021-11,222.7
2021-12,222.96
2022-01,250.52
2022-02,231.58
2022-03,226.33
2022-04,191.91
2022-05,154.78
2022-06,183.71
2022-07,212.4
2022-08,202.09
2022-09,211.3
2022-10,242.02
2022-11,210.46
2022-12,196.34
2023-01,254.03
2023-02,247.76
2023-03,209.41
2023-04,223.53
2023-05,195.5
2023-06,191.47
2023-07,195.91
2023-08,209.9
2023-09,157.4
2023-10,213.5
2023-11,243.45
2023-12,208.4
2024-01,224.1
2024-02,225.64
2024-03,221.18
2024-04,218.21
2024-05,162.46
2024-06,171.6
2024-07,200.05
2024-08,202.78
2024-09,246.33
2024-10,231.38
2024-11,227.05
2024-12,215.22
2025-01,231.01
2025-02,230.18
2025-03,235.96
2025-04,180.0
2025-05,190.22
2025-06,182.48
2025-07,193.66
2025-08,197.59
2025-09,217.98
2025-10,267.04
2025-11,259.38
2025-12,219.42
2026-01,242.7
2026-02,232.39
2026-03,225.86
2026-04,193.48
2026-05,207.2
2026-06,181.12
2026-07,196.06
2026-08,185.5
2026-09,228.65
2026-10,236.23
2026-11,241.07
2026-12,234.78
2027-01,236.44
2027-02,260.6
2027-03,228.17
2027-04,226.7
2027-05,198.75
2027-06,191.26
2027-07,189.67
2027-08,202.71
2027-09,209.7
2027-10,235.4
2027-11,195.45
2027-12,270.71
2028-01,214.84
2028-02,216.01
2028-03,204.36
2028-04,201.91
2028-05,187.78
2028-06,171.94
2028-07,200.71
2028-08,233.12
2028-09,218.45
2028-10,234.34
2028-11,234.23
2028-12,229.23
2029-01,192.32
2029-02,252.19
2029-03,183.03
2029-04,180.38
2029-05,171.45
2029-06,185.63
2029-07,216.41
2029-08,213.16
2029-09,207.14
2029-10,247.32
2029-11,248.32
2029-12,261.66
2030-01,247.07
2030-02,243.84
2030-03,203.76
2030-04,213.88
2030-05,176.99
2030-06,174.88
2030-07,201.04
2030-08,208.37
2030-09,222.88
2030-10,203.7
2030-11,252.24
2030-12,234.12
2031-01,270.26
2031-02,244.07
2031-03,216.26
2031-04,221.35
2031-05,181.41
2031-06,201.39
2031-07,215.97
2031-08,230.75
2031-09,204.82
2031-10,206.87
2031-11,232.22
2031-12,184.82
2032-01,275.0
2032-02,197.68
2032-03,227.26
2032-04,199.33
2032-05,193.52
2032-06,184.1
2032-07,198.89
2032-08,212.27
2032-09,220.46
2032-10,219.11
2032-11,214.82
2032-12,241.72
2033-01,250.33
2033-02,251.94
2033-03,185.31
2033-04,224.88
2033-05,182.78
2033-06,192.55
2033-07,205.03
2033-08,215.8
2033-09,204.51
2033-10,219.5
2033-11,199.41
2033-12,218.06
2034-01,244.28
2034-02,197.22
2034-03,227.98
2034-04,174.58
2034-05,160.99
2034-06,154.92
2034-07,203.31
2034-08,230.47
2034-09,244.59
2034-10,240.72
2034-11,250.71
2034-12,258.29
2035-01,247.46
2035-02,265.38
2035-03,235.78
2035-04,226.61
2035-05,190.84
2035-06,185.31
2035-07,195.51
2035-08,224.89
2035-09,217.34
2035-10,214.99
2035-11,277.33
2035-12,255.51
2036-01,204.26
2036-02,252.58
2036-03,200.58
2036-04,203.34
2036-05,173.5
2036-06,199.9
2036-07,189.29
2036-08,215.4
2036-09,211.65
2036-10,229.09
2036-11,210.13
2036-12,246.98
2037-01,256.81
2037-02,237.16
2037-03,234.8
2037-04,220.07
2037-05,212.91
2037-06,188.77
2037-07,195.71
2037-08,202.45
2037-09,222.7
2037-10,247.56
2037-11,227.93
2037-12,270.97
2038-01,244.49
2038-02,246.33
2038-03,228.94
2038-04,213.95
2038-05,178.75
2038-06,206.82
2038-07,211.63
2038-08,208.31
2038-09,229.36
2038-10,210.83
2038-11,233.35
2038-12,241.34
2039-01,238.04
2039-02,198.15
2039-03,227.05
2039-04,191.59
2039-05,175.42
2039-06,184.64
2039-07,189.11
2039-08,227.85
2039-09,180.33
2039-10,263.77
2039-11,262.96
2039-12,217.77
2040-01,237.28
2040-02,268.49
2040-03,230.54
2040-04,172.54
2040-05,186.9
2040-06,140.71
2040-07,170.49
2040-08,234.35
2040-09,175.71
2040-10,232.82
2040-11,243.68
2040-12,217.5
2041-01,235.15
2041-02,219.22
2041-03,210.75
2041-04,208.69
2041-05,172.59
2041-06,179.79
2041-07,221.89
2041-08,222.77
2041-09,219.18
2041-10,218.55
2041-11,257.48
2041-12,244.09
2042-01,223.31
2042-02,228.34
2042-03,224.76
2042-04,195.62
2042-05,211.26
2042-06,185.91
2042-07,188.68
2042-08,219.81
2042-09,174.84
2042-10,221.32
2042-11,196.35
2042-12,179.68
2043-01,276.09
2043-02,223.44
2043-03,198.84
2043-04,206.71
2043-05,191.02
2043-06,199.59
2043-07,203.77
2043-08,201.88
2043-09,201.21
2043-10,234.96
2043-11,216.37
2043-12,233.29
2044-01,261.26
2044-02,223.45
2044-03,216.67
2044-04,182.58
2044-05,195.49
2044-06,193.6
2044-07,225.07
2044-08,203.18
2044-09,210.38
2044-10,206.98
2044-11,258.18
2044-12,232.32
2045-01,293.2
2045-02,220.23
2045-03,248.9
2045-04,216.72
2045-05,154.01
2045-06,174.56
2045-07,193.07
2045-08,179.4
2045-09,235.56
2045-10,243.48
2045-11,225.95
2045-12,202.04
2046-01,261.61
2046-02,246.49
2046-03,211.66
2046-04,181.09
2046-05,201.64
2046-06,196.28
2046-07,207.15
2046-08,210.17
2046-09,228.81
2046-10,229.25
2046-11,194.87
2046-12,246.86
2047-01,239.16
2047-02,223.66
2047-03,216.53
2047-04,182.96
2047-05,159.18
2047-06,198.78
2047-07,212.99
2047-08,256.41
2047-09,207.4
2047-10,228.34
2047-11,214.81
2047-12,243.35
2048-01,249.02
2048-02,241.71
2048-03,233.96
2048-04,203.64
2048-05,221.58
2048-06,200.86
2048-07,199.77
2048-08,215.72
2048-09,186.97
2048-10,224.61
2048-11,195.73
2048-12,230.8
2049-01,284.49
2049-02,298.54
2049-03,203.14
2049-04,204.94
2049-05,180.95
2049-06,185.21
2049-07,190.01
2049-08,235.49
2049-09,203.48
2049-10,271.06
2049-11,261.87
2049-12,243.15
2050-01,227.74
2050-02,253.68
2050-03,226.5
2050-04,199.82
2050-05,183.58
2050-06,202.84
2050-07,164.47
2050-08,221.16
2050-09,232.31
