Date,RSDS (W/m²)
2015-01,283.59
2015-02,230.74
2015-03,226.91
2015-04,237.8
2015-05,192.14
2015-06,193.61
2015-07,198.62
2015-08,245.67
2015-09,253.2
2015-10,264.93
2015-11,236.6
2015-12,249.55
2016-01,252.06
2016-02,228.27
2016-03,181.07
2016-04,214.31
2016-05,178.05
2016-06,188.66
2016-07,229.15
2016-08,221.73
2016-09,270.74
2016-10,282.44
2016-11,234.74
2016-12,229.58
2017-01,252.67
2017-02,213.65
2017-03,214.02
2017-04,224.55
2017-05,186.71
2017-06,202.45
2017-07,205.35
2017-08,185.2
2017-09,272.93
2017-10,252.38
2017-11,264.01
2017-12,245.96
2018-01,255.6
2018-02,191.28
2018-03,247.47
2018-04,201.39
2018-05,225.67
2018-06,211.2
2018-07,217.2
2018-08,237.12
2018-09,244.87
2018-10,281.04
2018-11,298.01
2018-12,255.91
2019-01,233.99
2019-02,259.66
2019-03,229.47
2019-04,213.43
2019-05,199.9
2019-06,209.41
2019-07,193.02
2019-08,205.67
2019-09,281.05
2019-10,303.0
2019-11,294.35
2019-12,302.4
2020-01,274.93
2020-02,237.62
2020-03,238.99
2020-04,216.46
2020-05,211.7
2020-06,203.93
2020-07,214.69
2020-08,222.22
2020-09,240.12
2020-10,276.92
2020-11,284.76
2020-12,264.11
2021-01,259.84
2021-02,158.47
2021-03,224.83
2021-04,180.8
2021-05,190.71
2021-06,200.2
2021-07,217.28
2021-08,244.02
2021-09,235.88
2021-10,302.58
2021-11,282.13
2021-12,266.33
2022-01,257.98
2022-02,205.66
2022-03,211.55
2022-04,221.49
2022-05,207.46
2022-06,215.47
2022-07,210.86
2022-08,248.42
2022-09,244.88
2022-10,286.59
2022-11,278.64
2022-12,268.04
2023-01,227.87
2023-02,215.84
2023-03,207.89
2023-04,243.77
2023-05,221.37
2023-06,204.54
2023-07,194.35
2023-08,243.42
2023-09,251.74
2023-10,253.83
2023-11,285.05
2023-12,252.35
2024-01,261.62
2024-02,228.88
2024-03,217.59
2024-04,224.63
2024-05,220.98
2024-06,210.53
2024-07,204.54
2024-08,223.05
2024-09,277.31
2024-10,285.63
2024-11,228.79
2024-12,232.84
2025-01,264.03
2025-02,248.25
2025-03,233.07
2025-04,216.6
2025-05,205.87
2025-06,183.45
2025-07,203.65
2025-08,244.88
2025-09,255.0
2025-10,284.08
2025-11,293.99
2025-12,252.15
2026-01,281.24
2026-02,188.2
2026-03,215.38
2026-04,238.52
2026-05,226.92
2026-06,204.53
2026-07,218.47
2026-08,208.64
2026-09,290.36
2026-10,277.01
2026-11,262.02
2026-12,281.62
2027-01,258.75
2027-02,246.84
2027-03,222.36
2027-04,229.77
2027-05,204.69
2027-06,199.01
2027-07,213.84
2027-08,233.06
2027-09,273.52
2027-10,293.66
2027-11,275.12
2027-12,304.0
2028-01,281.15
2028-02,253.32
2028-03,225.27
2028-04,208.14
2028-05,186.62
2028-06,204.97
2028-07,199.04
2028-08,232.99
2028-09,265.04
2028-10,255.45
2028-11,288.87
2028-12,257.39
2029-01,284.86
2029-02,269.55
2029-03,243.48
2029-04,234.76
2029-05,202.64
2029-06,202.37
2029-07,232.31
2029-08,241.31
2029-09,256.92
2029-10,302.8
2029-11,295.85
2029-12,283.2
2030-01,270.41
2030-02,247.53
2030-03,258.37
2030-04,190.9
2030-05,239.86
2030-06,210.5
2030-07,212.33
2030-08,221.71
2030-09,255.76
2030-10,288.86
2030-11,247.07
2030-12,267.41
2031-01,249.4
2031-02,229.3
2031-03,252.97
2031-04,235.32
2031-05,230.08
2031-06,195.76
2031-07,227.42
2031-08,228.42
2031-09,256.0
2031-10,277.72
2031-11,280.6
2031-12,264.8
2032-01,271.35
2032-02,197.63
2032-03,219.01
2032-04,191.99
2032-05,227.39
2032-06,194.95
2032-07,209.22
2032-08,243.41
2032-09,264.52
2032-10,291.24
2032-11,308.13
2032-12,265.35
2033-01,274.05
2033-02,238.92
2033-03,227.41
2033-04,192.78
2033-05,225.58
2033-06,192.87
2033-07,213.85
2033-08,224.71
2033-09,255.93
2033-10,270.09
2033-11,265.29
2033-12,270.76
2034-01,277.76
2034-02,257.22
2034-03,219.01
2034-04,212.71
2034-05,223.5
2034-06,216.57
2034-07,210.62
2034-08,220.44
2034-09,243.0
2034-10,278.47
2034-11,294.91
2034-12,284.06
2035-01,263.9
2035-02,195.14
2035-03,229.47
2035-04,231.3
2035-05,221.91
2035-06,225.32
2035-07,229.3
2035-08,225.81
2035-09,243.76
2035-10,333.15
2035-11,279.62
2035-12,267.97
2036-01,220.7
2036-02,248.61
2036-03,221.54
2036-04,233.16
2036-05,189.01
2036-06,185.5
2036-07,200.39
2036-08,220.59
2036-09,250.58
2036-10,270.04
2036-11,267.71
2036-12,228.46
2037-01,260.14
2037-02,216.96
2037-03,199.59
2037-04,208.6
2037-05,210.3
2037-06,211.71
2037-07,232.7
2037-08,235.28
2037-09,279.13
2037-10,282.88
2037-11,288.89
2037-12,268.04
2038-01,283.58
2038-02,224.61
2038-03,229.4
2038-04,192.13
2038-05,218.58
2038-06,208.63
2038-07,206.33
2038-08,242.36
2038-09,246.12
2038-10,281.08
2038-11,262.83
2038-12,293.79
2039-01,267.36
2039-02,250.3
2039-03,250.55
2039-04,214.96
2039-05,214.48
2039-06,188.34
2039-07,199.38
2039-08,221.1
2039-09,260.67
2039-10,263.0
2039-11,271.29
2039-12,248.99
2040-01,238.1
2040-02,203.22
2040-03,247.27
2040-04,220.75
2040-05,190.84
2040-06,207.23
2040-07,198.04
2040-08,236.93
2040-09,262.77
2040-10,259.4
2040-11,275.86
2040-12,245.51
2041-01,244.7
2041-02,244.83
2041-03,218.07
2041-04,215.92
2041-05,228.51
2041-06,228.82
2041-07,187.19
2041-08,207.13
2041-09,288.98
2041-10,261.59
2041-11,257.29
2041-12,250.61
2042-01,223.05
2042-02,260.32
2042-03,248.97
2042-04,214.92
2042-05,191.48
2042-06,194.24
2042-07,213.75
2042-08,228.17
2042-09,250.9
2042-10,275.74
2042-11,273.47
2042-12,270.76
2043-01,241.38
2043-02,263.96
2043-03,191.61
2043-04,187.69
2043-05,195.59
2043-06,211.23
2043-07,198.43
2043-08,217.3
2043-09,233.8
2043-10,268.81
2043-11,287.26
2043-12,251.53
2044-01,303.01
2044-02,257.07
2044-03,206.82
2044-04,219.8
2044-05,200.54
2044-06,205.25
2044-07,211.45
2044-08,222.84
2044-09,262.76
2044-10,239.58
2044-11,276.35
2044-12,240.61
2045-01,255.64
2045-02,275.86
2045-03,236.78
2045-04,229.3
2045-05,194.88
2045-06,203.08
2045-07,211.93
2045-08,215.76
2045-09,229.43
2045-10,278.61
2045-11,311.93
2045-12,254.05
2046-01,236.44
2046-02,251.56
2046-03,220.02
2046-04,225.44
2046-05,232.63
2046-06,197.83
2046-07,205.22
2046-08,225.48
2046-09,238.0
2046-10,285.48
2046-11,248.28
2046-12,265.52
2047-01,227.29
2047-02,198.3
2047-03,256.79
2047-04,199.13
2047-05,214.15
2047-06,214.42
2047-07,195.97
2047-08,217.64
2047-09,275.97
2047-10,301.96
2047-11,257.96
2047-12,249.26
2048-01,273.4
2048-02,260.06
2048-03,219.71
2048-04,226.61
2048-05,224.56
2048-06,179.2
2048-07,213.25
2048-08,247.19
2048-09,270.81
2048-10,300.82
2048-11,289.73
2048-12,289.68
2049-01,262.43
2049-02,281.53
2049-03,240.97
2049-04,224.29
2049-05,222.77
2049-06,214.09
2049-07,218.52
2049-08,222.53
2049-09,267.99
2049-10,278.34
2049-11,283.2
2049-12,250.76
2050-01,261.8
2050-02,206.5
2050-03,238.96
2050-04,208.78
2050-05,210.18
2050-06,203.81
2050-07,218.15
2050-08,247.46
2050-09,259.99
2050-10,258.22
2050-11,299.0
2050-12,255.17
2051-01,196.27
2051-02,227.25
2051-03,217.41
2051-04,213.28
2051-05,228.31
2051-06,203.12
2051-07,213.03
2051-08,227.64
2051-09,270.61
2051-10,310.71
2051-11,235.71
2051-12,270.95
2052-01,237.53
2052-02,259.11
2052-03,195.25
2052-04,238.32
2052-05,189.83
2052-06,173.63
2052-07,223.92
2052-08,206.77
2052-09,251.83
2052-10,272.13
2052-11,309.09
2052-12,292.88
2053-01,238.28
2053-02,239.53
2053-03,254.87
2053-04,201.57
2053-05,193.51
2053-06,218.77
2053-07,216.92
2053-08,222.58
2053-09,253.5
2053-10,289.15
2053-11,282.03
2053-12,255.35
2054-01,251.36
2054-02,241.35
2054-03,220.64
2054-04,228.14
2054-05,205.57
2054-06,215.11
2054-07,208.88
2054-08,246.75
2054-09,276.27
2054-10,258.13
2054-11,278.29
2054-12,281.14
2055-01,279.04
2055-02,232.91
2055-03,254.45
2055-04,229.72
2055-05,211.92
2055-06,217.23
2055-07,211.63
2055-08,226.25
2055-09,264.92
2055-10,263.29
2055-11,291.23
2055-12,259.32
2056-01,276.83
2056-02,266.49
2056-03,248.99
2056-04,174.44
2056-05,190.53
2056-06,174.34
2056-07,216.38
2056-08,220.4
2056-09,253.38
2056-10,275.53
2056-11,255.74
2056-12,245.61
2057-01,250.39
2057-02,248.41
2057-03,230.08
2057-04,213.89
2057-05,218.23
2057-06,208.11
2057-07,221.34
2057-08,241.66
2057-09,267.79
2057-10,289.95
2057-11,279.63
2057-12,286.6
2058-01,246.06
2058-02,218.24
2058-03,224.97
2058-04,231.31
2058-05,215.36
2058-06,198.31
2058-07,212.19
2058-08,235.12
2058-09,226.58
2058-10,266.13
2058-11,282.84
2058-12,266.82
2059-01,264.5
2059-02,218.97
2059-03,225.64
2059-04,217.19
2059-05,215.24
2059-06,199.71
2059-07,196.48
2059-08,232.31
2059-09,266.72
2059-10,275.42
2059-11,282.24
2059-12,292.73
2060-01,248.86
2060-02,220.93
2060-03,235.25
2060-04,199.91
2060-05,212.51
2060-06,225.43
2060-07,192.27
2060-08,243.87
2060-09,271.64
2060-10,267.01
2060-11,268.38
2060-12,289.68
2061-01,302.2
2061-02,261.49
2061-03,220.41
2061-04,247.02
2061-05,207.65
2061-06,206.7
2061-07,206.37
2061-08,220.19
2061-09,256.53
2061-10,284.24
2061-11,306.48
2061-12,285.81
2062-01,279.0
2062-02,223.78
2062-03,262.56
2062-04,229.07
2062-05,205.71
2062-06,186.42
2062-07,221.55
2062-08,248.11
2062-09,270.93
2062-10,282.58
2062-11,261.89
2062-12,268.91
2063-01,258.28
2063-02,244.8
2063-03,218.96
2063-04,206.89
2063-05,197.11
2063-06,203.99
2063-07,208.65
2063-08,218.42
2063-09,227.21
2063-10,270.26
2063-11,300.73
2063-12,281.03
2064-01,265.94
2064-02,215.46
2064-03,251.37
2064-04,202.27
2064-05,218.29
2064-06,222.0
2064-07,211.53
2064-08,239.07
2064-09,240.39
2064-10,299.28
2064-11,311.81
2064-12,283.76
2065-01,254.51
2065-02,211.11
2065-03,216.64
2065-04,250.77
2065-05,214.16
2065-06,204.63
2065-07,234.32
2065-08,237.37
2065-09,226.08
2065-10,238.3
2065-11,298.29
2065-12,291.19
2066-01,242.9
2066-02,237.7
2066-03,253.66
2066-04,216.57
2066-05,204.29
2066-06,207.39
2066-07,198.27
2066-08,243.33
2066-09,233.72
2066-10,305.78
2066-11,296.71
2066-12,296.25
2067-01,237.29
2067-02,207.73
2067-03,232.06
2067-04,222.41
2067-05,189.53
2067-06,201.52
2067-07,191.78
2067-08,238.32
2067-09,262.81
2067-10,255.47
2067-11,285.44
2067-12,267.31
2068-01,259.9
2068-02,262.79
2068-03,208.11
2068-04,220.65
2068-05,208.29
2068-06,187.76
2068-07,211.52
2068-08,226.78
2068-09,270.06
2068-10,239.36
2068-11,294.39
2068-12,256.98
2069-01,237.52
2069-02,255.04
2069-03,200.27
2069-04,227.12
2069-05,199.09
2069-06,214.33
2069-07,219.13
2069-08,232.4
2069-09,255.91
2069-10,277.09
2069-11,302.74
2069-12,298.68
2070-01,256.52
2070-02,234.6
2070-03,232.39
2070-04,190.23
2070-05,228.39
2070-06,190.91
2070-07,185.95
2070-08,245.15
2070-09,251.79
2070-10,287.91
2070-11,275.02
2070-12,287.82
2071-01,277.08
2071-02,255.04
2071-03,254.71
2071-04,211.45
2071-05,207.75
2071-06,190.43
2071-07,209.87
2071-08,222.42
2071-09,275.93
2071-10,258.66
2071-11,291.95
2071-12,304.27
2072-01,252.64
2072-02,244.01
2072-03,218.76
2072-04,233.18
2072-05,210.9
2072-06,177.67
2072-07,211.53
2072-08,206.75
2072-09,264.23
2072-10,266.23
2072-11,307.35
2072-12,291.12
2073-01,257.92
2073-02,207.22
2073-03,228.12
2073-04,185.74
2073-05,212.62
2073-06,187.85
2073-07,212.92
2073-08,250.03
2073-09,249.86
2073-10,310.94
2073-11,267.59
2073-12,260.14
2074-01,267.87
2074-02,227.51
2074-03,222.85
2074-04,216.04
2074-05,203.21
2074-06,194.09
2074-07,211.1
2074-08,230.66
2074-09,234.47
2074-10,251.04
2074-11,267.09
2074-12,262.56
2075-01,257.23
2075-02,189.04
2075-03,244.08
2075-04,218.2
2075-05,215.28
2075-06,196.73
2075-07,228.36
2075-08,232.42
2075-09,247.91
2075-10,294.5
2075-11,302.74
2075-12,277.88
2076-01,256.85
2076-02,230.46
2076-03,235.02
2076-04,222.78
2076-05,202.75
2076-06,188.0
2076-07,213.65
2076-08,226.67
2076-09,286.93
2076-10,267.33
2076-11,298.28
2076-12,290.38
2077-01,277.66
2077-02,248.22
2077-03,241.36
2077-04,211.79
2077-05,191.78
