Date,RSDS (W/m²)
2015-01,259.37
2015-02,230.89
2015-03,233.75
2015-04,181.2
2015-05,191.93
2015-06,173.17
2015-07,171.02
2015-08,215.57
2015-09,248.56
2015-10,214.42
2015-11,219.98
2015-12,240.22
2016-01,258.87
2016-02,223.01
2016-03,195.99
2016-04,191.03
2016-05,145.75
2016-06,177.87
2016-07,192.51
2016-08,187.27
2016-09,206.83
2016-10,213.06
2016-11,227.4
2016-12,250.52
2017-01,240.91
2017-02,242.53
2017-03,206.95
2017-04,198.86
2017-05,154.01
2017-06,157.46
2017-07,207.67
2017-08,213.64
2017-09,230.5
2017-10,215.2
2017-11,201.3
2017-12,266.9
2018-01,232.99
2018-02,245.47
2018-03,227.76
2018-04,198.36
2018-05,182.64
2018-06,166.86
2018-07,183.08
2018-08,208.53
2018-09,214.53
2018-10,220.27
2018-11,235.2
2018-12,209.07
2019-01,218.53
2019-02,226.34
2019-03,237.53
2019-04,221.73
2019-05,160.38
2019-06,151.43
2019-07,194.06
2019-08,186.08
2019-09,261.37
2019-10,195.73
2019-11,205.8
2019-12,244.9
2020-01,232.81
2020-02,259.01
2020-03,209.37
2020-04,192.1
2020-05,134.3
2020-06,147.07
2020-07,173.19
2020-08,197.72
2020-09,212.49
2020-10,244.09
2020-11,214.83
2020-12,203.83
2021-01,226.84
2021-02,263.7
2021-03,224.82
2021-04,183.26
2021-05,197.82
2021-06,133.25
2021-07,185.3
2021-08,201.07
2021-09,220.1
2021-10,197.4
2021-11,227.25
2021-12,276.72
2022-01,291.27
2022-02,235.91
2022-03,233.01
2022-04,175.07
2022-05,199.88
2022-06,183.09
2022-07,200.98
2022-08,244.0
2022-09,239.08
2022-10,245.9
2022-11,252.88
2022-12,243.77
2023-01,224.12
2023-02,252.86
2023-03,216.03
2023-04,200.31
2023-05,137.36
2023-06,156.35
2023-07,179.79
2023-08,185.34
2023-09,222.76
2023-10,250.33
2023-11,217.72
2023-12,198.83
2024-01,230.59
2024-02,256.91
2024-03,224.73
2024-04,208.67
2024-05,158.99
2024-06,165.67
2024-07,184.12
2024-08,204.63
2024-09,231.86
2024-10,231.83
2024-11,189.72
2024-12,237.55
2025-01,280.0
2025-02,272.55
2025-03,215.21
2025-04,215.33
2025-05,179.69
2025-06,169.12
2025-07,183.32
2025-08,189.85
2025-09,225.73
2025-10,190.79
2025-11,220.77
2025-12,226.78
2026-01,262.55
2026-02,266.82
2026-03,204.76
2026-04,209.52
2026-05,166.07
2026-06,151.06
2026-07,190.51
2026-08,230.37
2026-09,222.93
2026-10,226.72
2026-11,198.48
2026-12,254.46
2027-01,287.68
2027-02,225.07
2027-03,205.17
2027-04,162.57
2027-05,153.98
2027-06,176.33
2027-07,177.16
2027-08,221.34
2027-09,238.15
2027-10,239.5
2027-11,227.64
2027-12,216.31
2028-01,253.75
2028-02,278.71
2028-03,252.25
2028-04,184.06
2028-05,179.72
2028-06,192.13
2028-07,219.68
2028-08,213.92
2028-09,219.61
2028-10,220.64
2028-11,226.01
2028-12,251.16
2029-01,270.83
2029-02,217.29
2029-03,222.59
2029-04,163.04
2029-05,143.73
2029-06,171.57
2029-07,212.23
2029-08,222.06
2029-09,254.6
2029-10,208.64
2029-11,219.36
2029-12,230.67
2030-01,279.32
2030-02,241.52
2030-03,207.61
2030-04,152.43
2030-05,145.74
2030-06,143.53
2030-07,164.09
2030-08,190.55
2030-09,228.36
2030-10,260.42
2030-11,233.17
2030-12,225.73
2031-01,195.89
2031-02,227.43
2031-03,205.68
2031-04,136.47
2031-05,178.44
2031-06,156.06
2031-07,185.93
2031-08,195.97
2031-09,239.23
2031-10,198.96
2031-11,209.72
2031-12,231.13
2032-01,277.16
2032-02,267.57
2032-03,262.04
2032-04,165.63
2032-05,166.47
2032-06,189.91
2032-07,177.61
2032-08,216.79
2032-09,212.91
2032-10,249.59
2032-11,246.04
2032-12,238.99
2033-01,258.35
2033-02,248.81
2033-03,244.53
2033-04,211.23
2033-05,142.29
2033-06,159.52
2033-07,193.18
2033-08,237.36
2033-09,237.8
2033-10,238.67
2033-11,210.64
2033-12,180.08
2034-01,241.91
2034-02,219.54
2034-03,198.77
2034-04,177.25
2034-05,158.03
2034-06,189.89
2034-07,156.12
2034-08,190.04
2034-09,239.93
2034-10,212.05
2034-11,230.67
2034-12,243.26
2035-01,245.23
2035-02,218.14
2035-03,183.74
2035-04,190.04
2035-05,174.56
2035-06,172.4
2035-07,191.11
2035-08,239.11
2035-09,251.75
2035-10,251.85
2035-11,235.33
2035-12,255.35
2036-01,244.91
2036-02,240.29
2036-03,202.78
2036-04,174.35
2036-05,174.45
2036-06,194.79
2036-07,204.58
2036-08,217.42
2036-09,203.0
2036-10,252.68
2036-11,213.27
2036-12,184.15
2037-01,270.5
2037-02,247.51
2037-03,185.66
2037-04,200.22
2037-05,179.8
2037-06,166.53
2037-07,172.77
2037-08,212.9
2037-09,180.9
2037-10,245.63
2037-11,209.29
2037-12,199.28
2038-01,212.55
2038-02,189.86
2038-03,161.35
2038-04,153.6
2038-05,152.08
2038-06,169.78
