Date,RSDS (W/m²)
2015-01,220.0
2015-02,230.34
2015-03,219.3
2015-04,199.92
2015-05,201.28
2015-06,190.73
2015-07,213.98
2015-08,183.69
2015-09,252.56
2015-10,220.98
2015-11,206.23
2015-12,252.66
2016-01,284.4
2016-02,262.08
2016-03,237.76
2016-04,173.26
2016-05,194.59
2016-06,202.52
2016-07,207.0
2016-08,239.12
2016-09,260.9
2016-10,232.67
2016-11,266.44
2016-12,293.72
2017-01,272.67
2017-02,276.5
2017-03,206.33
2017-04,214.32
2017-05,198.51
2017-06,178.49
2017-07,203.06
2017-08,194.27
2017-09,262.6
2017-10,236.28
2017-11,232.68
2017-12,215.35
2018-01,275.29
2018-02,245.09
2018-03,182.83
2018-04,165.24
2018-05,205.8
2018-06,170.85
2018-07,191.84
2018-08,192.89
2018-09,249.67
2018-10,219.92
2018-11,251.95
2018-12,255.99
2019-01,229.17
2019-02,236.06
2019-03,255.16
2019-04,202.65
2019-05,180.6
2019-06,153.19
2019-07,170.45
2019-08,232.43
2019-09,214.86
2019-10,227.0
2019-11,226.2
2019-12,284.28
2020-01,272.48
2020-02,240.97
2020-03,197.96
2020-04,211.76
2020-05,204.49
2020-06,204.87
2020-07,212.59
2020-08,225.36
2020-09,237.24
2020-10,256.31
2020-11,239.09
2020-12,256.22
2021-01,243.9
2021-02,288.14
2021-03,266.59
2021-04,197.23
2021-05,164.26
2021-06,172.1
2021-07,158.78
2021-08,193.89
2021-09,224.88
2021-10,257.58
2021-11,225.13
2021-12,242.82
2022-01,252.8
2022-02,269.38
2022-03,223.19
2022-04,220.26
2022-05,195.61
2022-06,201.27
2022-07,212.47
2022-08,230.98
2022-09,261.12
2022-10,221.75
2022-11,224.93
2022-12,268.14
2023-01,236.13
2023-02,259.47
2023-03,211.12
2023-04,178.84
2023-05,191.6
2023-06,182.82
2023-07,166.32
2023-08,216.29
2023-09,254.67
2023-10,233.58
2023-11,242.54
2023-12,266.67
2024-01,247.16
