Date,RSDS (W/m²)
2015-01,199.1
2015-02,163.27
2015-03,135.49
2015-04,155.47
2015-05,181.65
2015-06,196.83
2015-07,204.12
2015-08,197.71
2015-09,255.03
2015-10,215.34
2015-11,188.09
2015-12,203.17
2016-01,157.33
2016-02,162.64
2016-03,149.53
2016-04,165.22
2016-05,177.97
2016-06,163.45
2016-07,206.72
2016-08,232.12
2016-09,229.09
2016-10,191.05
2016-11,161.35
2016-12,196.41
2017-01,193.22
2017-02,165.4
2017-03,154.51
2017-04,141.88
2017-05,176.1
2017-06,181.53
2017-07,204.98
2017-08,176.2
2017-09,223.0
2017-10,174.67
2017-11,214.66
2017-12,140.55
2018-01,152.8
2018-02,200.05
2018-03,170.12
2018-04,147.5
2018-05,169.43
2018-06,198.71
2018-07,201.67
2018-08,233.18
2018-09,181.57
2018-10,217.19
2018-11,233.89
2018-12,153.92
2019-01,179.49
2019-02,142.37
2019-03,131.46
2019-04,163.24
2019-05,149.03
2019-06,170.62
2019-07,179.81
2019-08,199.73
2019-09,203.21
2019-10,171.77
2019-11,220.96
2019-12,163.3
2020-01,157.67
2020-02,134.37
2020-03,180.27
2020-04,134.7
2020-05,190.64
2020-06,173.83
2020-07,191.31
2020-08,216.72
2020-09,206.09
2020-10,181.39
2020-11,195.17
2020-12,194.06
2021-01,174.64
2021-02,159.97
2021-03,124.15
2021-04,142.04
2021-05,149.87
2021-06,202.61
2021-07,190.5
2021-08,203.0
2021-09,176.66
2021-10,178.83
2021-11,139.69
2021-12,145.27
2022-01,194.97
2022-02,169.52
2022-03,143.95
2022-04,133.8
2022-05,171.5
2022-06,200.14
2022-07,195.13
2022-08,177.08
2022-09,213.87
2022-10,199.09
2022-11,200.05
2022-12,133.39
2023-01,153.21
2023-02,151.93
2023-03,148.31
2023-04,181.91
2023-05,151.44
2023-06,189.66
2023-07,210.43
2023-08,208.93
2023-09,216.28
2023-10,195.39
2023-11,190.37
2023-12,187.42
2024-01,204.59
2024-02,164.32
2024-03,149.97
2024-04,200.91
2024-05,214.12
2024-06,200.3
2024-07,194.1
2024-08,214.71
2024-09,246.59
2024-10,230.43
2024-11,161.95
2024-12,163.97
2025-01,172.43
2025-02,154.11
2025-03,177.81
2025-04,196.25
2025-05,140.08
2025-06,200.13
2025-07,191.48
2025-08,198.29
2025-09,208.29
2025-10,181.53
2025-11,183.09
2025-12,189.57
2026-01,193.61
2026-02,204.62
2026-03,158.64
2026-04,121.6
2026-05,158.32
2026-06,198.07
2026-07,191.56
2026-08,209.78
2026-09,229.93
2026-10,216.73
2026-11,178.16
2026-12,194.08
2027-01,225.43
2027-02,169.18
2027-03,153.49
2027-04,131.08
2027-05,135.04
2027-06,192.12
2027-07,189.5
2027-08,200.74
2027-09,211.95
2027-10,221.46
2027-11,185.75
2027-12,146.81
2028-01,168.46
2028-02,161.98
2028-03,146.71
2028-04,154.9
2028-05,188.24
2028-06,191.12
2028-07,199.35
2028-08,208.08
2028-09,222.44
2028-10,151.33
2028-11,174.2
2028-12,141.23
2029-01,148.68
2029-02,167.38
2029-03,170.21
2029-04,158.07
2029-05,162.72
2029-06,189.53
2029-07,199.54
2029-08,201.33
2029-09,221.79
2029-10,197.6
2029-11,174.22
2029-12,173.48
2030-01,191.0
2030-02,156.81
2030-03,140.29
2030-04,188.28
2030-05,157.76
2030-06,190.08
2030-07,214.16
2030-08,179.98
2030-09,176.09
2030-10,222.52
2030-11,179.5
2030-12,233.49
2031-01,168.4
2031-02,164.08
2031-03,183.02
2031-04,158.75
2031-05,159.94
2031-06,201.69
2031-07,197.42
2031-08,220.73
2031-09,216.19
2031-10,218.21
2031-11,168.23
2031-12,149.81
2032-01,206.37
2032-02,213.59
2032-03,144.85
2032-04,130.47
2032-05,184.29
2032-06,182.81
2032-07,209.19
2032-08,200.23
2032-09,222.77
2032-10,181.78
2032-11,218.8
2032-12,168.82
2033-01,228.72
2033-02,170.89
2033-03,197.8
2033-04,157.81
2033-05,155.12
2033-06,201.53
2033-07,225.76
2033-08,220.07
2033-09,210.19
2033-10,223.93
2033-11,199.56
2033-12,194.12
2034-01,146.19
2034-02,177.37
2034-03,150.89
2034-04,146.6
2034-05,153.42
2034-06,198.86
2034-07,204.22
2034-08,226.02
2034-09,213.53
2034-10,176.91
2034-11,169.5
2034-12,205.17
2035-01,182.82
2035-02,123.88
2035-03,178.5
2035-04,152.29
2035-05,186.72
2035-06,157.4
2035-07,191.6
2035-08,216.19
2035-09,192.59
2035-10,186.87
2035-11,208.69
2035-12,190.85
2036-01,146.97
2036-02,159.22
2036-03,171.63
2036-04,157.79
2036-05,163.55
2036-06,175.2
2036-07,206.4
2036-08,218.5
2036-09,204.19
2036-10,272.45
2036-11,188.26
2036-12,179.26
2037-01,159.66
2037-02,142.36
2037-03,177.24
2037-04,147.61
2037-05,167.39
2037-06,187.45
2037-07,187.96
2037-08,170.82
2037-09,212.7
2037-10,220.28
2037-11,205.91
2037-12,165.38
2038-01,175.35
2038-02,194.9
2038-03,140.11
2038-04,154.15
2038-05,172.05
2038-06,189.11
2038-07,198.81
2038-08,218.86
2038-09,221.94
2038-10,233.01
2038-11,234.04
2038-12,214.6
2039-01,166.31
2039-02,161.48
2039-03,157.39
2039-04,135.61
2039-05,168.11
2039-06,200.89
2039-07,211.55
2039-08,194.65
2039-09,212.92
2039-10,210.37
2039-11,206.92
2039-12,181.45
2040-01,166.48
2040-02,145.38
2040-03,143.59
2040-04,144.44
2040-05,186.29
2040-06,207.76
2040-07,199.36
2040-08,212.54
2040-09,230.04
2040-10,185.14
2040-11,233.26
2040-12,200.26
2041-01,164.93
2041-02,165.45
2041-03,177.64
2041-04,145.58
2041-05,182.94
2041-06,179.27
2041-07,218.89
2041-08,186.3
2041-09,245.19
2041-10,259.3
2041-11,209.69
2041-12,175.98
2042-01,164.93
2042-02,182.17
2042-03,201.23
2042-04,148.09
2042-05,173.9
2042-06,182.08
2042-07,203.71
2042-08,226.03
2042-09,173.83
2042-10,209.54
2042-11,178.6
2042-12,156.5
2043-01,186.84
2043-02,145.5
2043-03,154.88
2043-04,129.51
2043-05,186.65
2043-06,183.86
2043-07,208.84
2043-08,241.09
2043-09,189.18
2043-10,167.04
2043-11,212.2
2043-12,186.46
2044-01,149.92
2044-02,169.08
2044-03,172.57
2044-04,153.47
2044-05,180.36
2044-06,181.21
