;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
0;978,92;1081,41;1148,85;1220,54;1284,22;1276,69;1450,22;1539,49;1605,86;1802,36;1787,83;1794,15;2742,77;2043,46;2039,29;2154,02;2336,52;2322,38;2413,96;2626,52
1;903,77;991,76;1024,78;1017,25;1150,52;1148,98;1263,53;1352,04;1418,04;1551,79;1560,60;1517,38;1955,20;1811,31;1780,81;1837,16;2051,71;2021,12;2144,41;2293,32
2;1001,47;991,09;1061,08;1122,15;1168,14;1277,87;1327,26;1381,76;1471,93;1538,75;1575,44;1683,25;1949,18;1819,07;1842,08;2066,47;2109,68;2067,25;2173,40;2297,84
3;983,65;1021,61;1044,82;1033,91;1127,43;1246,66;1274,41;1388,95;1399,70;1451,97;1549,36;1655,16;1878,97;1751,92;1884,01;2033,55;1948,25;2148,24;2084,43;2246,71
4;996,59;983,97;1031,40;1123,28;1126,89;1293,06;1326,11;1526,95;1472,88;1615,57;1607,61;1638,50;1886,64;1843,29;1994,41;2063,13;2064,79;2229,41;2124,50;2253,45
5;1168,85;1147,75;1264,56;1414,08;1395,48;1544,55;1655,62;1726,07;1750,57;2041,01;2018,85;2044,58;2243,68;2403,58;2502,08;5714,50;2802,75;2823,96;2866,86;2994,14
6;1397,42;3029,43;1919,71;1965,83;2218,71;2405,40;2815,38;2663,76;2843,93;3115,09;4029,83;3964,17;3693,01;3561,55;3789,67;10762,05;4319,24;4913,93;4423,95;4711,12
7;2564,66;2759,41;1961,60;1966,67;2271,23;2162,53;3843,77;2578,13;2569,65;4592,83;3715,57;3761,75;3609,45;3495,65;3655,92;5967,22;4176,38;5375,05;5800,78;4369,38
8;1206,24;1294,31;1313,71;2249,94;3042,58;1612,29;2415,78;1613,52;1695,31;3167,23;3532,42;1840,41;3225,28;2120,39;2136,32;2334,41;3734,50;2665,36;2426,76;2794,03
9;1405,76;1834,52;1529,76;2770,82;2857,72;1895,35;2579,37;1569,41;2067,46;3699,78;5337,86;2706,92;2692,91;1955,91;2029,01;2824,69;3151,87;3199,70;2537,56;3174,31
10;1601,02;1392,09;1456,38;1863,59;3072,30;6387,36;3089,63;1573,00;2180,17;9381,80;8260,26;2196,42;3224,49;2410,82;2637,91;3646,68;7064,60;8761,19;3573,31;3037,43
11;1474,33;1374,87;1539,85;4415,27;4173,15;7980,87;4597,75;1843,41;2015,81;4194,95;3686,22;2363,88;6445,86;2409,79;2503,94;4603,97;9975,08;9517,56;4567,21;3104,57
12;5567,45;1755,30;1769,61;3651,66;3973,92;3625,50;7522,93;1868,78;2399,61;3293,88;4234,20;3647,06;6195,07;2396,06;2567,28;4516,53;5020,35;4983,82;5068,50;3508,61
13;3763,61;2823,06;2026,83;3750,86;7519,99;5493,10;6229,58;1875,22;2748,68;3988,99;2744,37;3067,14;4290,32;2482,53;2798,09;3546,33;4377,72;4201,84;4431,85;4227,87
14;1802,79;3056,59;2043,83;8822,61;3400,69;4032,03;2712,76;1969,76;2926,60;5126,52;3083,66;3857,96;4575,86;2831,99;2994,28;3713,73;4143,21;4703,71;4335,80;4445,35
15;3417,03;7837,79;2275,27;4780,58;7718,66;3921,79;3605,34;2504,44;3251,68;5867,79;5119,61;3562,46;4759,94;3652,29;3623,21;6203,94;7957,20;7310,12;4787,91;5630,96
16;5938,79;6881,94;3295,03;3594,78;4301,52;4073,52;4598,50;3584,53;4587,03;7280,50;5260,01;6512,00;8299,97;5186,27;5549,35;9243,59;8371,97;10939,18;10689,34;6992,60
17;4319,35;3955,42;4481,39;5048,74;4800,60;6970,49;6480,20;5684,58;6133,38;9985,15;6901,28;12956,31;15560,10;8068,66;8284,76;9085,61;9965,42;13697,26;13139,01;10798,09
18;4903,69;6751,04;5102,00;8553,46;5849,76;6377,82;7885,61;6897,51;7854,77;11303,98;9560,40;13105,12;12425,24;10113,37;11533,79;11423,96;11527,18;12819,40;15260,62;13887,91
19;3782,76;4382,77;5022,87;7200,81;7463,38;7329,50;7604,28;6901,92;7779,50;9165,81;8459,76;10356,14;10772,90;9893,66;11547,03;11566,06;11962,76;12735,93;13829,66;13920,15
20;3062,31;3488,54;4086,43;4204,03;4989,75;5224,03;7337,87;5850,93;6473,53;6997,33;6557,83;7278,81;8602,62;8382,55;8554,65;9807,89;9844,52;10534,21;10018,56;11486,19
21;2149,47;2762,58;3112,80;3096,46;3444,91;3941,66;4135,58;4107,78;4787,65;5119,88;4523,29;5298,64;6143,20;5726,90;6315,60;6356,61;7415,83;7585,01;7384,00;8140,66
22;1690,65;1910,53;2372,74;2182,34;2366,06;2640,49;2765,02;3044,40;3602,19;3887,42;3650,90;3784,49;4351,66;4261,30;4459,57;4445,45;5272,76;4730,47;5324,79;5427,85
23;1153,95;1288,44;1610,25;1548,31;1493,00;1637,94;1873,24;2006,30;2355,49;2598,12;2241,49;2576,97;3011,47;2914,15;2950,69;2883,24;3234,28;3027,79;3325,98;3568,08
24;1018,42;1055,00;1212,97;1261,81;1282,10;1378,09;1501,15;1551,29;1689,72;1863,78;1707,71;1867,49;2044,88;2155,73;2143,15;2315,42;2273,07;2482,09;2508,49;2579,55
25;835,23;962,93;1065,41;1229,63;1108,81;1215,56;1228,45;1418,24;1382,86;1507,78;1564,02;1701,08;1752,97;1878,94;1853,78;1968,86;1890,80;2077,65;2220,41;2198,60
26;877,13;917,01;1079,70;1214,77;1133,49;1211,82;1290,49;1428,41;1405,93;1540,72;1688,36;1724,85;1789,26;1908,26;2075,02;1934,41;1957,08;2236,23;2357,81;2272,11
27;910,53;938,10;1107,08;1185,72;1230,76;1283,10;1302,30;1330,63;1417,21;1511,15;1605,65;1636,95;1622,72;1868,69;1891,15;1912,00;1948,28;2028,32;2235,92;2183,85
28;862,24;1089,06;1081,39;1171,61;1200,82;1350,77;1282,15;1330,41;1474,00;1575,18;1692,02;1666,00;1750,77;1839,50;1929,79;1909,47;2008,18;2107,01;2170,43;2291,54
29;1668,18;1217,42;1243,87;1384,86;1477,60;4633,30;1584,43;1723,79;1863,25;1938,59;2006,69;2167,27;2137,48;2120,48;2592,12;2361,74;2606,67;2738,22;2778,84;4891,74
30;4927,98;1701,44;2015,72;2001,72;2188,57;3020,96;2653,50;2540,90;2992,46;3181,89;3198,72;3497,86;3322,22;3594,83;3881,85;4040,34;5627,63;6529,29;4373,31;7810,11
31;6397,07;1679,15;1873,87;2465,14;3068,33;2449,76;4112,55;2454,36;3564,32;4480,11;3120,41;3471,69;3327,43;3414,52;3764,70;3830,11;3995,75;4549,12;4138,18;5464,85
32;1724,02;1192,11;1682,31;2806,04;1306,44;3313,35;2070,30;1529,03;2078,47;3537,48;2645,73;2393,64;2595,05;2194,07;2318,40;2427,03;3874,04;3278,97;2407,20;2539,58
33;1742,40;1302,08;1570,47;2723,13;1599,80;3286,89;2579,13;1387,30;5419,18;4291,20;3974,44;2495,28;2569,76;2407,45;4678,27;2892,96;8402,71;4496,36;2215,38;3524,85
34;2942,45;1583,37;1542,44;3468,58;3603,56;2731,06;2389,80;1512,97;3687,37;7343,65;3828,03;2414,52;2838,66;2683,07;3519,38;8084,62;7242,33;3573,47;3058,65;3429,29
35;3327,82;1357,88;1685,27;1577,85;6066,84;2848,10;5304,39;2054,14;2954,15;4427,82;6396,54;3113,95;3202,76;2659,07;3123,73;2955,62;4261,46;6266,65;2881,36;3435,88
36;1472,14;1411,42;1971,03;1936,85;4068,07;3262,02;7276,02;1870,30;3009,20;7272,26;9599,54;3586,31;3239,18;3432,21;5560,09;7044,47;5059,66;9643,23;2908,55;4168,67
37;1883,44;1667,27;2037,90;2804,66;1968,97;6597,76;3397,67;1906,16;3824,01;5582,23;5528,85;2661,87;3234,51;3478,69;3873,37;7514,26;4415,44;7757,39;3184,37;5529,50
38;2948,74;1713,53;2205,46;4683,00;2008,57;5556,41;3734,56;2042,67;6630,12;6176,43;5306,50;3165,86;3391,92;3615,17;3686,73;4459,50;6107,39;5193,59;3358,86;6067,57
39;2394,11;2023,06;2717,59;8160,04;6315,59;3258,32;6508,46;2789,16;8426,98;4470,67;4512,72;5931,77;4480,97;4766,40;6686,87;4716,88;6887,78;5494,72;4412,21;5896,78
40;2771,37;2593,92;3488,94;4224,16;5194,88;4745,90;7071,50;3840,80;5991,59;6682,98;5613,21;7708,66;6591,13;6657,23;8087,91;5849,81;8098,44;7854,82;6785,60;8367,04
41;3318,19;3823,95;4182,52;6745,74;6926,62;5087,34;6570,81;5898,75;8427,24;7390,94;7065,99;7792,85;8681,03;8831,69;11702,93;9172,31;10685,68;9365,81;9820,41;10519,03
42;3969,04;4227,42;4946,29;7761,43;6095,06;6129,14;6389,27;7271,26;7742,50;8949,20;8531,64;14273,69;10388,83;10551,55;10590,31;12324,14;13083,06;12002,35;12622,69;15835,04
43;7338,75;4367,48;4976,08;4866,05;5636,56;6154,91;6836,03;7354,05;8265,15;8601,05;9894,59;11576,24;9685,87;10297,42;10371,27;12794,54;12278,69;13038,06;12238,04;14290,09
44;8173,72;3708,80;4337,59;3850,27;4622,04;4874,58;5620,41;5835,14;7647,82;7015,57;8080,27;7268,41;8310,04;8802,49;8432,46;10472,68;10381,07;10382,96;10004,47;11726,86
45;2169,94;2705,75;3308,89;3040,59;3328,67;3788,81;4246,37;3933,58;4580,34;5078,47;5894,44;5061,25;6366,69;6163,18;5622,13;6651,47;7419,25;7737,50;7884,82;8752,50
46;1534,38;1897,84;2287,03;2215,85;2314,89;2548,08;2958,99;2952,63;3338,10;3620,40;3935,47;3607,07;4729,42;4032,44;4369,07;4650,31;4923,25;4984,08;5646,02;5690,80
47;1062,40;1252,92;1632,34;1528,77;1717,11;1703,10;1881,64;1892,15;2099,38;2131,19;2548,11;2376,78;3215,50;2781,31;2803,42;2912,54;3186,40;3136,17;3663,49;3450,38
48;978,63;1057,03;1202,57;1214,22;1320,77;1403,30;1454,75;1542,48;1601,02;1761,14;1850,81;1817,09;2659,50;1962,26;2125,21;2236,43;2273,02;2368,19;2471,84;2467,43
49;888,46;956,15;1211,88;1064,24;1200,23;1287,75;1414,50;1511,42;1521,54;1477,51;1560,32;1595,43;2251,38;1770,19;1918,26;1999,22;2066,76;1994,76;2053,28;2169,95
50;950,34;981,89;1157,31;1095,86;1240,22;1349,18;1300,78;1498,50;1501,81;1484,90;1649,42;1666,62;1867,59;1813,86;1887,52;2025,29;1994,09;2120,31;2110,74;2267,36
51;929,86;968,63;1094,48;1070,91;1114,59;1188,50;1292,93;1344,51;1562,40;1434,02;1588,76;1646,21;1795,28;1882,78;1773,90;1954,45;2017,34;2053,07;2142,42;2220,59
52;944,11;1034,11;1030,32;1104,07;1193,82;1298,20;1422,87;1455,18;1468,69;1571,60;1620,01;1714,07;1806,40;1927,29;1907,08;2031,62;2038,95;2042,70;2243,28;2220,51
53;1058,72;1058,69;1295,42;1314,33;1604,96;1781,21;1711,27;2109,90;1880,88;1939,22;2202,13;2055,84;2319,14;2471,73;2412,16;2532,24;2630,81;2775,01;2819,80;2856,68
54;1576,43;1643,65;2518,45;3323,98;2179,35;3276,94;2579,85;4570,21;4378,00;3220,00;5592,54;3184,88;3814,48;5095,18;4395,10;5197,71;5221,22;4610,51;4337,31;5167,41
55;1442,56;1679,70;1918,09;2960,96;2117,12;3994,11;2405,93;4047,35;3217,78;4736,33;4982,54;3050,96;3404,36;3990,10;10649,86;3756,68;7302,04;4135,54;4416,72;6072,11
56;1134,34;1558,60;3544,26;2280,79;1484,83;2678,05;1655,40;6036,36;2828,51;2687,16;2313,89;1980,83;2794,49;3910,39;3832,60;2472,51;7142,07;2735,75;2750,65;2842,67
57;1588,88;1451,44;2024,30;1957,15;1557,48;3313,31;1540,06;1997,43;5219,00;3702,57;2693,85;1892,25;2462,92;4250,84;4548,10;3739,58;4234,38;2814,20;2944,95;2943,40
58;1270,86;1394,79;2110,74;1782,54;2069,57;3329,02;1896,19;7752,32;3465,19;3929,69;7803,64;2301,79;2771,83;8614,07;4759,78;2973,04;3396,69;2864,28;2992,68;3441,39
59;1275,48;1417,73;1914,61;3802,40;1783,53;2818,87;1774,86;3657,27;4372,35;2723,60;8571,99;2307,11;3181,05;5945,39;3827,58;6390,63;3876,67;2845,01;3058,38;4007,49
60;1410,50;1557,22;7271,99;3278,69;2497,57;3517,65;1784,42;3059,83;7308,46;3369,28;4587,42;2264,62;3207,20;2829,29;4338,36;8621,32;3942,25;3319,36;3396,91;4680,81
61;1907,36;1890,90;6787,66;8209,76;2215,10;2517,02;1830,05;2312,88;3555,06;5428,12;3356,80;2653,01;3229,02;3003,18;5798,36;4359,88;3791,92;3946,58;3968,30;7582,00
62;1944,02;2013,55;2617,59;5630,59;3072,50;4564,66;2184,40;3060,69;2470,28;3732,54;3489,27;2814,64;3361,15;3887,24;6438,85;4105,64;4224,08;4131,48;4221,31;4111,57
63;1976,81;2329,51;3014,78;3488,17;3135,42;8731,04;2373,65;3424,05;2959,70;4348,37;4501,40;3561,79;4404,92;5023,70;5428,15;8384,58;5184,27;5150,40;5597,43;5362,42
64;2370,37;2754,08;3985,93;3697,45;3282,74;6986,82;3740,33;4530,06;4482,15;6972,83;6058,36;4681,55;6421,00;6425,84;7680,34;7360,77;7103,04;7595,20;7511,24;7562,06
65;3374,60;3716,09;5960,51;4780,04;6407,16;5449,12;5655,58;6929,82;8266,75;11243,32;9503,05;7500,29;8567,43;8788,63;10287,56;9367,63;12806,67;9674,58;9511,19;13103,30
66;4171,74;4313,66;5465,11;5245,69;6296,01;6251,49;6924,05;7694,45;10137,18;11725,85;11228,21;9414,28;11012,17;11215,16;13828,95;11969,87;14206,06;12719,62;12731,31;16399,72
67;3841,88;4225,56;5092,62;5362,97;8638,63;5832,07;6867,30;7129,37;8615,26;8292,01;10123,21;9824,88;10876,48;11738,12;12840,70;11124,47;12228,86;12277,51;13436,70;13039,81
68;3035,03;3667,66;3871,09;4427,18;9512,75;5022,95;5821,91;5760,94;6151,54;6674,63;7715,10;7273,49;8697,16;8639,14;9415,64;9075,69;9993,79;10302,85;10932,57;11384,87
69;2642,46;2869,93;2894,24;3140,26;3717,60;3558,88;4166,54;3977,60;4224,16;4694,10;5396,97;5271,32;6215,19;5414,87;6610,95;6561,69;7076,95;7525,19;8053,79;7474,95
70;1834,63;1831,39;1983,62;2175,40;2264,19;2722,71;2954,46;2910,28;2968,59;3221,47;3439,20;3784,82;4907,13;3954,79;4424,50;4530,19;4664,23;4893,60;5572,13;5324,98
71;1140,43;1287,32;1312,16;1482,17;1607,33;1852,33;1952,90;1809,22;2030,88;2082,20;2186,38;2502,65;3374,42;2679,59;2869,69;3068,18;2996,44;2941,49;3680,66;3449,34
72;914,51;1117,16;1137,79;1285,44;1311,25;1391,45;1414,09;1508,94;1664,32;1697,44;1856,75;1894,66;2731,51;1922,70;2150,23;2268,22;2240,22;2355,97;2550,44;2628,92
73;868,95;1051,19;997,90;1205,25;1101,88;1177,37;1272,15;1370,92;1388,59;1527,35;1678,85;1728,82;2272,01;1728,83;1796,71;1935,36;1961,75;2065,87;2264,65;2220,27
74;900,31;1009,87;1021,48;1131,21;1091,02;1279,89;1271,21;1407,47;1491,23;1525,60;1552,19;1711,15;1781,27;1827,79;1838,01;1957,93;2097,24;2125,05;2262,64;2283,99
75;852,85;1077,03;1115,71;1156,80;1097,47;1284,21;1345,45;1336,77;1496,98;1592,46;1556,19;1695,25;1760,54;1772,83;1882,58;1912,18;2044,19;2111,81;2168,46;2160,60
76;993,65;1017,47;1114,42;1239,69;1218,76;1222,00;1353,60;1369,46;1569,28;1643,11;1572,10;1690,82;1830,29;1861,44;1846,40;2032,57;2045,18;2181,27;2227,70;2237,12
77;1140,05;1181,69;1232,68;5023,53;1548,93;1485,43;1675,32;1739,98;1987,17;1917,39;2536,56;2083,97;2319,16;2353,04;2350,20;2519,11;2654,86;2723,65;3121,44;3060,52
78;1558,15;1694,42;2025,12;5265,36;3023,49;2302,59;2447,93;2854,48;2882,10;3074,81;5551,30;3260,95;3827,11;5111,50;3844,19;4161,42;4124,92;4536,31;4748,16;6159,99
79;1580,69;3607,72;2761,23;4138,18;3109,05;2070,67;2342,42;4524,15;2768,14;2835,86;4087,23;3040,25;3870,92;3410,99;4097,15;5783,13;4016,39;3915,52;4694,72;4507,92
80;1164,53;3311,67;1297,29;3872,08;1499,24;1481,18;1696,74;7763,22;3827,47;1890,23;2766,88;2029,00;3138,95;2499,45;2760,14;2902,04;2561,12;2195,85;4034,89;3002,89
81;1255,34;6940,69;2136,69;3625,10;1678,46;1454,31;1587,16;1977,39;7700,67;2119,27;2541,75;2369,90;3061,51;4637,50;5418,11;2452,70;2681,90;2320,50;6638,10;6052,75
82;1159,65;5581,96;2276,62;2418,36;1496,91;1597,24;1868,35;1927,03;5066,98;2402,35;3341,30;2271,90;4782,56;8415,97;4362,55;2595,51;2785,48;2770,32;5496,20;4933,91
83;1108,34;2974,05;4420,43;2716,49;2454,04;1674,04;1849,57;5202,45;3732,21;3413,01;8913,45;2343,29;9425,85;5418,59;4050,51;3594,87;3442,69;2912,69;4673,10;4275,46
84;1330,99;3464,98;1732,77;2942,66;1689,23;1745,97;1817,52;3979,91;2351,86;4311,66;6270,56;2675,26;6029,54;5973,95;4285,18;3008,97;3713,75;2802,12;8022,02;5808,51
85;1361,65;3536,00;2927,44;3059,11;1926,01;1729,09;1988,00;2133,11;2731,55;3571,04;7108,02;3124,40;3594,05;4631,12;3716,28;6141,45;3703,85;3106,82;5718,13;7510,38
86;1502,84;2162,94;3439,39;2991,12;5242,52;2062,97;2336,76;2464,00;3077,32;7041,87;6580,05;3313,47;6723,74;4679,55;5004,55;8933,59;3894,69;3888,91;4362,14;9354,63
87;1804,54;2561,64;5452,35;4305,71;7430,43;2656,34;3139,93;3747,17;5445,76;4635,85;5794,59;4347,75;6663,26;6178,07;8413,98;6319,30;5194,27;4532,02;5810,42;6759,76
88;2219,16;3096,11;3806,56;6475,87;5954,57;3510,55;4099,33;4712,59;4993,82;6198,14;6503,02;5623,92;8340,20;7126,80;11333,92;7260,47;7192,32;6487,07;8756,83;8320,34
89;2907,34;4427,72;9000,34;4145,73;5701,06;5341,81;5632,03;6173,29;7741,44;7350,97;8061,79;7055,67;8773,96;9032,56;11140,56;9102,37;9232,86;9870,15;12103,72;10512,26
90;3550,09;4347,81;8911,01;4901,76;6395,55;6495,38;7001,11;7329,41;9263,98;10248,94;11521,98;9239,04;11181,65;10810,70;12694,28;12977,65;11903,38;12970,56;14722,17;13604,62
91;3744,98;4270,61;5978,57;5767,17;8598,33;6560,22;6672,05;7169,74;8126,30;10493,82;11252,06;9459,31;9300,35;11120,83;11414,52;12231,01;12243,15;13466,40;13762,47;13957,13
92;2873,00;4043,05;4241,76;4670,51;5484,21;5383,69;5461,30;5760,40;6609,09;7525,28;7408,49;7903,81;8112,55;8679,70;8982,83;9535,86;10334,55;10928,26;11848,81;11581,02
93;2181,90;2628,43;2978,64;3409,36;3148,20;3750,94;3857,74;3810,65;4958,16;5075,72;5455,19;5661,54;6003,94;6423,93;6256,98;6496,82;7514,23;6886,15;8056,35;8029,45
