 ,1.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.1
8.0,18.1
9.0,54.9
10.0,95.4
11.0,139.4
12.0,147.3
13.0,167.6
14.0,144.2
15.0,150.1
16.0,150.5
17.0,123.6
18.0,78.2
19.0,36.3
20.0,10.8
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.1
32.0,19.8
33.0,65.3
34.0,99.6
35.0,150.4
36.0,181.0
37.0,158.5
38.0,173.9
39.0,188.3
40.0,170.0
41.0,127.8
42.0,93.3
43.0,50.7
44.0,15.1
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,22.3
57.0,78.4
58.0,136.1
59.0,180.0
60.0,189.5
61.0,198.0
62.0,222.0
63.0,172.1
64.0,192.0
65.0,141.2
66.0,91.7
67.0,57.8
68.0,18.4
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,17.2
81.0,63.8
82.0,117.4
83.0,164.4
84.0,192.0
85.0,188.7
86.0,206.0
87.0,178.5
88.0,173.5
89.0,157.8
90.0,106.4
91.0,54.0
92.0,16.7
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,11.7
105.0,42.3
106.0,101.3
107.0,148.0
108.0,176.7
109.0,179.4
110.0,166.4
111.0,158.9
112.0,134.0
113.0,120.5
114.0,71.2
115.0,44.7
116.0,14.0
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,16.2
129.0,61.4
130.0,111.2
131.0,145.3
132.0,177.6
133.0,191.3
