 ,1.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.1
8.0,15.0
9.0,52.3
10.0,96.7
11.0,156.6
12.0,179.9
13.0,177.3
14.0,164.0
15.0,114.0
16.0,112.0
17.0,87.1
18.0,53.6
19.0,25.4
20.0,7.9
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.1
32.0,13.6
33.0,58.5
34.0,94.9
35.0,134.1
36.0,172.5
37.0,178.1
38.0,172.0
39.0,192.8
40.0,150.5
41.0,108.0
42.0,71.0
43.0,40.0
44.0,7.1
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.1
56.0,13.3
57.0,40.5
58.0,70.9
59.0,66.0
60.0,72.7
61.0,82.0
62.0,82.9
63.0,126.2
64.0,137.3
65.0,121.9
66.0,81.3
67.0,53.4
68.0,14.6
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.1
80.0,20.2
81.0,73.0
82.0,128.0
83.0,164.9
84.0,177.7
85.0,162.8
86.0,191.0
87.0,200.0
88.0,167.9
89.0,136.9
90.0,83.8
91.0,51.6
92.0,14.5
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,10.2
105.0,33.0
106.0,57.4
107.0,83.0
108.0,91.5
109.0,100.5
110.0,98.5
111.0,98.4
112.0,71.6
113.0,54.9
114.0,48.2
115.0,20.5
116.0,6.2
117.0,0.0
118.0,0.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,8.8
129.0,43.9
130.0,69.1
131.0,128.3
132.0,181.8
133.0,182.3
