;Generator share;Renewable penetration;Curtailment share;Battery usage
Component;Diesel Genset 1;Solar PV;-;Battery bank
Scenario;1;1;1;1
 ;%;%;%;%
;;;;
Year 1;0,48;99,67;29,1;44,4
Year 2;1,18;99,13;23,63;45,36
Year 3;1,81;98,59;19,14;45,71
Year 4;2,56;97,92;15,69;47,11
Year 5;3,66;96,87;11,25;46,66
Year 6;0,7;99,48;23,61;48,79
Year 7;1,23;99,07;20,85;49,65
Year 8;1,99;98,43;17,39;49,87
Year 9;3,07;97,46;13,89;49,83
Year 10;3,77;96,75;9,99;50,27
Year 11;0,77;99,43;23,32;51,81
Year 12;1,59;98,77;19,18;51,81
Year 13;2,39;98,08;16,38;51,97
Year 14;2,44;98,01;14,91;52,48
Year 15;3,48;97,08;12,24;52,55
Year 16;0,86;99,36;22,07;53,62
Year 17;1,65;98,72;18,78;53,85
Year 18;2,36;98,13;17;53,76
Year 19;2,9;97,65;14,99;54,04
Year 20;3,26;97,29;13,14;54,18
