;Scenario 1;;;;;;;;;
Flow;Electric Demand;RES Production;Generator Production;Battery Discharge;Battery Charge;Lost Load;Curtailment;Battery SOC;Fuel Consumption;CO2 emission
Component;;Solar PV;Diesel Genset 1;;;;;;Diesel;Diesel
Unit;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Lt;kg
;;;;;;;;;;
YYYY-00-DD 00:00:SS;1276,7;0;0,2;1276,6;0,1;0;0;33703,9;0;0
YYYY-00-DD 01:00:SS;1149;0;0,2;1148,9;0,1;0;0;32507,2;0;0
YYYY-00-DD 02:00:SS;1277,9;0;0,2;1277,8;0,1;0;0;31176,3;0;0
YYYY-00-DD 03:00:SS;1246,7;0;0,2;1246,6;0,1;0;0;29877,8;0;0
YYYY-00-DD 04:00:SS;1293,1;0;0,2;1293;0,1;0;0;28531;0;0
YYYY-00-DD 05:00:SS;1544,6;0;0,2;1544,4;0,1;0;0;26922,3;0;0
YYYY-00-DD 06:00:SS;2405,4;8,5;0,1;2397,2;0,2;0;0,1;24425,4;0;0
YYYY-00-DD 07:00:SS;2162,5;1530,3;0,1;632,8;0,3;0;0,4;23766,5;0;0
YYYY-00-DD 08:00:SS;1612,3;4641,8;0,1;0,2;2303;0;726,7;25977,2;0;0
YYYY-00-DD 09:00:SS;1895,4;8066;0,1;0,2;5143,8;0;1027,1;30915;0;0
YYYY-00-DD 10:00:SS;6387,4;11786,2;0,1;0,3;4132,9;0;1266,3;34882,3;0;0
YYYY-00-DD 11:00:SS;7980,9;12454,1;0,1;0,3;3138,1;0;1335,6;37894,6;0;0
YYYY-00-DD 12:00:SS;3625,5;14170,5;0,1;0,2;9148,9;0;1396,4;46677,3;0;0
YYYY-00-DD 13:00:SS;5493,1;12192;0,1;0,3;5319,3;0;1380;51783,5;0;0
YYYY-00-DD 14:00:SS;4032;12690,9;0,1;0,2;7246,1;0;1413;58739,6;0;0
YYYY-00-DD 15:00:SS;3921,8;12724,7;0,1;0,2;7384,8;0;1418,4;65828,8;0;0
YYYY-00-DD 16:00:SS;4073,5;10450,3;0,1;0,2;5043,4;0;1333,7;70670,2;0;0
YYYY-00-DD 17:00:SS;6970,5;6611,8;0,1;359,4;0,3;0;0,6;70296;0;0
YYYY-00-DD 18:00:SS;6377,8;3069,1;0,1;3309,3;0,3;0;0,5;66849;0;0
