;Fixed costs;;;Lost load cost;Replacement cost;Fuel cost
Component;Solar PV;Battery bank;Diesel Genset 1;System;Battery bank;Diesel
Scenario;-;-;-;1;1;1
Unit;kUSD;kUSD;kUSD;kUSD;kUSD;kUSD
;;;;;;
Year 1;0,24;0,83;0;0;0,46;0
Year 2;0,24;0,83;0;0;0,51;0
Year 3;0,24;0,83;0;0;0,56;0
Year 4;0,24;0,83;0;0;0,61;0
Year 5;0,24;0,83;0;0;0,66;0
Year 6;0,29;1,11;0;0;0,7;0
Year 7;0,29;1,11;0;0;0,75;0
Year 8;0,29;1,11;0;0;0,8;0
Year 9;0,29;1,11;0;0;0,86;0
Year 10;0,29;1,11;0;0;0,92;0
Year 11;0,34;1,34;0;0;0,94;0
Year 12;0,34;1,34;0;0;1,01;0
Year 13;0,34;1,34;0;0;1,07;0
Year 14;0,34;1,34;0;0;1,1;0
Year 15;0,34;1,34;0;0;1,17;0
Year 16;0,43;1,61;0;0;1,19;0
Year 17;0,43;1,61;0;0;1,26;0
Year 18;0,43;1,61;0;0;1,31;0
Year 19;0,43;1,61;0;0;1,37;0
Year 20;0,43;1,61;0;0;1,42;0
