;Generators share;Renewables penetration;Curtailment share;Battery usage
 ;%;%;%;%
;;;;
Year 1;0;100;72,67;37,61
Year 2;0;100;70,39;39,15
Year 3;0;100;68,46;40,08
Year 4;0;100;66,88;41,82
Year 5;0;100;64,73;42,28
Year 6;0;100;68,57;42,72
Year 7;0;100;67,29;43,78
Year 8;0;100;65,62;44,74
Year 9;0;100;63,79;45,39
Year 10;0;100;61,84;46,36
Year 11;0;100;67,29;46,1
Year 12;0;100;65,29;46,52
Year 13;0;100;63,81;47,46
Year 14;0;100;63,14;47,98
Year 15;0;100;61,6;48,78
Year 16;0;100;67,95;47,74
Year 17;0;100;66,37;48,46
Year 18;0;100;65,4;49
Year 19;0;100;64,38;49,69
Year 20;0;100;63,46;50,05
