;Generators share;Renewables penetration;Curtailment share;Battery usage
 ;%;%;%;%
;;;;
Year 1;0,89;99,41;31,11;43,96
Year 2;1,36;99,02;25,67;45,24
Year 3;2,44;98,15;21,56;45,57
Year 4;3,45;97,3;18,42;46,35
Year 5;4,65;96,16;14,22;45,9
Year 6;1,24;99,14;27,2;47,92
Year 7;1,49;98,92;24,42;49,09
Year 8;2,79;97,9;21,44;48,99
Year 9;3,78;97,03;18,06;48,87
Year 10;4,89;95,99;14,63;48,96
Year 11;1,43;98,97;25,01;51,28
Year 12;2,04;98,45;20,85;51,22
Year 13;2,93;97,7;18,16;51,48
Year 14;3,72;97,05;17,25;51,33
Year 15;4,8;96,08;14,72;51,18
Year 16;1,96;98,52;21,29;52,95
Year 17;2,75;97,85;18;53,13
Year 18;3,38;97,29;16,18;53,04
Year 19;4,14;96,61;14,35;53,18
Year 20;4,98;95,84;12,88;52,89
