;Fixed costs;;;Lost load cost;Replacement cost;Fuel cost
Component;Solar PV;Battery bank;Diesel Genset 1;System;Battery bank;Diesel
Scenario;-;-;-;1;1;1
Unit;kUSD;kUSD;kUSD;kUSD;kUSD;kUSD
;;;;;;
Year 1;0,23;0,83;0;0;0,47;0
Year 2;0,23;0,83;0;0;0,53;0
Year 3;0,23;0,83;0;0;0,58;0
Year 4;0,23;0,83;0;0;0,63;0
Year 5;0,23;0,83;0;0;0,68;0
Year 6;0,3;1,11;0;0;0,71;0
Year 7;0,3;1,11;0;0;0,76;0
Year 8;0,3;1,11;0;0;0,81;0
Year 9;0,3;1,11;0;0;0,87;0
Year 10;0,3;1,11;0;0;0,93;0
Year 11;0,42;1,34;0;0;0,93;0
Year 12;0,42;1,34;0;0;1;0
Year 13;0,42;1,34;0;0;1,06;0
Year 14;0,42;1,34;0;0;1,09;0
Year 15;0,42;1,34;0;0;1,16;0
Year 16;0,48;1,61;0;0;1,19;0
Year 17;0,48;1,61;0;0;1,26;0
Year 18;0,48;1,61;0;0;1,31;0
Year 19;0,48;1,61;0;0;1,37;0
Year 20;0,48;1,61;0;0;1,42;0
