;Scenario 1;;;;;;;;;;;;
Flow;Electric Demand;RES Production;Generator Production;Generator Partial Load Production;Units of Generators in Partial Load;Units of Generators in Full Load;Battery Discharge;Battery Charge;Lost Load;Curtailment;Battery SOC;Fuel Consumption;CO2 emission
Component;;Solar PV;Diesel Genset 1;Diesel Genset 1;Diesel Genset 1;Diesel Genset 1;;;;;;Diesel;Diesel
Unit;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Lt;kg
;;;;;;;;;;;;;
YYYY-00-DD 00:00:SS;2322,4;0;0;0;0;0;2322,4;0;0;0;52950,3;0;0
YYYY-00-DD 01:00:SS;2021,1;0;0;0;0;0;2021,1;0;0;0;50844,9;0;0
YYYY-00-DD 02:00:SS;2067,2;0;0;0;0;0;2067,2;0;0;0;48691,6;0;0
YYYY-00-DD 03:00:SS;2148,2;0;0;0;0;0;2148,2;0;0;0;46453,8;0;0
YYYY-00-DD 04:00:SS;2229,4;0;0;0;0;0;2229,4;0;0;0;44131,5;0;0
YYYY-00-DD 05:00:SS;2824;0;0;0;0;0;2824;0;0;0;41189,9;0;0
YYYY-00-DD 06:00:SS;4913,9;34,4;0;0;0;0;4913,9;0;0;34,4;36071,2;0;0
YYYY-00-DD 07:00:SS;5375;5153,1;0;0;0;0;222;0;0;0;35840;0;0
YYYY-00-DD 08:00:SS;2665,4;17967,1;0;0;0;0;0;0;0;15301,8;35840;0;0
YYYY-00-DD 09:00:SS;3199,7;33220,3;0;0;0;0;0;0;0;30020,6;35840;0;0
YYYY-00-DD 10:00:SS;8761,2;53798,4;0;0;0;0;0;0;0;45037,2;35840;0;0
YYYY-00-DD 11:00:SS;9517,6;61802,8;0;0;0;0;0;0;0;52285,3;35840;0;0
YYYY-00-DD 12:00:SS;4983,8;60909,6;0;0;0;0;0;44800;0;11125,8;78848;0;0
YYYY-00-DD 13:00:SS;4201,8;56340,6;0;0;0;0;0;0;0;52138,7;78848;0;0
YYYY-00-DD 14:00:SS;4703,7;39163,6;0;0;0;0;0;0;0;34459,8;78848;0;0
YYYY-00-DD 15:00:SS;7310,1;38476,5;0;0;0;0;0;0;0;31166,4;78848;0;0
YYYY-00-DD 16:00:SS;10939,2;29922,3;0;0;0;0;0;18983,2;0;0;97071,8;0;0
YYYY-00-DD 17:00:SS;13697,3;18413,7;0;0;0;0;0;4716,5;0;0;101599,7;0;0
YYYY-00-DD 18:00:SS;12819,4;8725,9;0;0;0;0;4093,5;0;0;0;97335,6;0;0
YYYY-00-DD 19:00:SS;12735,9;2714;0;0;0;0;10022;0;0;0;86896,1;0;0
YYYY-00-DD 20:00:SS;10534,2;0;0;0;0;0;10534,2;0;0;0;75922,9;0;0
YYYY-00-DD 21:00:SS;7585;0;0;0;0;0;7585;0;0;0;68021,9;0;0
YYYY-00-DD 22:00:SS;4730,5;0;0;0;0;0;4730,5;0;0;0;63094,3;0;0
YYYY-00-DD 23:00:SS;3027,8;0;0;0;0;0;3027,8;0;0;0;59940,4;0;0
