;Fixed costs;;;Lost load cost;Replacement cost;Fuel cost
Component;Solar PV;Battery bank;Diesel Genset 1;System;Battery bank;Diesel
Scenario;-;-;-;1;1;1
Unit;kUSD;kUSD;kUSD;kUSD;kUSD;kUSD
;;;;;;
Year 1;0,2;1,39;0,05;0;0,19;1,08
Year 2;0,2;1,39;0,05;0;0,17;1,32
Year 3;0,2;1,39;0,05;0;0,17;1,53
Year 4;0,2;1,39;0,05;0;0,19;1,71
Year 5;0,2;1,39;0,05;0;0,22;1,96
Year 6;0,26;1,8;0,07;0;0,26;1,71
Year 7;0,26;1,8;0,07;0;0,26;1,9
Year 8;0,26;1,8;0,07;0;0,28;2,15
Year 9;0,26;1,8;0,07;0;0,29;2,42
Year 10;0,26;1,8;0,07;0;0,34;2,73
Year 11;0,33;2,23;0,08;0;0,35;2,36
Year 12;0,33;2,23;0,08;0;0,35;2,74
Year 13;0,33;2,23;0,08;0;0,36;3,04
Year 14;0,33;2,23;0,08;0;0,38;3,2
Year 15;0,33;2,23;0,08;0;0,41;3,53
Year 16;0,39;2,67;0,1;0;0,44;3,24
Year 17;0,39;2,67;0,1;0;0,46;3,67
Year 18;0,39;2,67;0,1;0;0,48;3,95
Year 19;0,39;2,67;0,1;0;0,5;4,26
Year 20;0,39;2,67;0,1;0;0,52;4,57
