;Generators share;Renewables penetration;Curtailment share;Battery usage
 ;%;%;%;%
;;;;
Year 1;43,28;57,25;0;15,54
Year 2;47,58;52,94;0;12,94
Year 3;50,78;49,74;0;11,82
Year 4;53,21;47,42;0;12,8
Year 5;56,05;44,54;0;13,75
Year 6;45,67;54,93;0;15,41
Year 7;47,74;52,86;0;15,07
Year 8;50,38;50,3;0;15,12
Year 9;52,85;47,82;0;15,27
Year 10;55,49;45,29;0;17
Year 11;45,97;54,68;0,01;16,85
Year 12;49,18;51,47;0,01;15,74
Year 13;51,3;49,39;0,01;15,85
Year 14;52,18;48,55;0,01;16,18
Year 15;54,11;46,66;0,01;16,93
Year 16;46,92;53,78;0,01;17,65
Year 17;49,53;51,21;0,01;17,48
Year 18;50,89;49,87;0,02;17,7
Year 19;52,33;48,47;0,02;17,97
Year 20;53,62;47,21;0,02;18,29
