;Scenario 1;;;;;;;;;;;;
Flow;Electric Demand;RES Production;Generator Production;Generator Partial Load Production;Units of Generators in Partial Load;Units of Generators in Full Load;Battery Discharge;Battery Charge;Lost Load;Curtailment;Battery SOC;Fuel Consumption;CO2 emission
Component;;Solar PV;Diesel Genset 1;Diesel Genset 1;Diesel Genset 1;Diesel Genset 1;;;;;;Diesel;Diesel
Unit;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Lt;kg
;;;;;;;;;;;;;
YYYY-00-DD 00:00:SS;992;0;0;0;0;0;992;0;0;0;52214,7;0;0
YYYY-00-DD 01:00:SS;891,2;0;0;0;0;0;891,2;0;0;0;51286,4;0;0
YYYY-00-DD 02:00:SS;1005,8;0;0;0;0;0;1005,8;0;0;0;50238,7;0;0
YYYY-00-DD 03:00:SS;980,7;0;0;0;0;0;980,7;0;0;0;49217,1;0;0
YYYY-00-DD 04:00:SS;983,3;0;0;0;0;0;983,3;0;0;0;48192,8;0;0
YYYY-00-DD 05:00:SS;1182,2;0;0;0;0;0;1182,2;0;0;0;46961,3;0;0
YYYY-00-DD 06:00:SS;1394,9;11,2;0;0;0;0;1383,7;0;0;0;45519,9;0;0
YYYY-00-DD 07:00:SS;2561,1;2037,3;0;0;0;0;523,8;0;0;0;44974,2;0;0
YYYY-00-DD 08:00:SS;1218,7;6190,3;0;0;0;0;0;0;0;4971,6;44974,2;0;0
YYYY-00-DD 09:00:SS;1412,2;10757,4;0;0;0;0;0;0;0;9345,2;44974,2;0;0
YYYY-00-DD 10:00:SS;1596,8;15705,2;0;0;0;0;0;0;0;14108,3;44974,2;0;0
YYYY-00-DD 11:00:SS;1468,2;16589,5;0;0;0;0;0;0;0;15121,3;44974,2;0;0
YYYY-00-DD 12:00:SS;5627,3;18884,3;0;0;0;0;0;0;0;13257;44974,2;0;0
YYYY-00-DD 13:00:SS;3992,2;16242,5;0;0;0;0;0;0;0;12250,3;44974,2;0;0
YYYY-00-DD 14:00:SS;1827,8;16902,9;0;0;0;0;0;0;0;15075,1;44974,2;0;0
YYYY-00-DD 15:00:SS;3402,4;16936,5;0;0;0;0;0;13534,1;0;0;57967;0;0
YYYY-00-DD 16:00:SS;5936,7;13981,3;0;0;0;0;0;0;0;8044,6;57967;0;0
YYYY-00-DD 17:00:SS;4321,7;8798,5;0;0;0;0;0;4476,8;0;0;62264,7;0;0
YYYY-00-DD 18:00:SS;4956;4085,8;0;0;0;0;870,2;0;0;0;61358,3;0;0
YYYY-00-DD 19:00:SS;3944,6;1220,1;0;0;0;0;2724,5;0;0;0;58520,3;0;0
YYYY-00-DD 20:00:SS;3076;0;0;0;0;0;3076;0;0;0;55316,1;0;0
YYYY-00-DD 21:00:SS;2150;0;0;0;0;0;2150;0;0;0;53076,6;0;0
YYYY-00-DD 22:00:SS;1685,6;0;0;0;0;0;1685,6;0;0;0;51320,7;0;0
YYYY-00-DD 23:00:SS;1148;0;0;0;0;0;1148;0;0;0;50124,9;0;0
