;Fixed costs;;;Lost load cost;Replacement cost;Fuel cost
Component;Solar PV;Battery bank;Diesel Genset 1;System;Battery bank;Diesel
Scenario;-;-;-;1;1;1
Unit;kUSD;kUSD;kUSD;kUSD;kUSD;kUSD
;;;;;;
Year 1;0,22;1,39;0,05;0;0,19;1,08
Year 2;0,22;1,39;0,05;0;0,18;1,35
Year 3;0,22;1,39;0,05;0;0,18;1,62
Year 4;0,22;1,39;0,05;0;0,21;1,86
Year 5;0,22;1,39;0,05;0;0,23;2,2
Year 6;0,29;1,8;0,07;0;0,26;1,98
Year 7;0,29;1,8;0,07;0;0,26;2,26
Year 8;0,29;1,8;0,07;0;0,28;2,63
Year 9;0,29;1,8;0,07;0;0,29;3,05
Year 10;0,29;1,8;0,07;0;0,34;3,54
Year 11;0,36;2,23;0,09;0;0,36;3,16
Year 12;0,36;2,23;0,09;0;0,35;3,77
Year 13;0,36;2,23;0,09;0;0,36;4,3
Year 14;0,36;2,23;0,09;0;0,38;4,67
Year 15;0,36;2,23;0,09;0;0,41;5,29
Year 16;0,43;2,67;0,1;0;0,45;5,01
Year 17;0,43;2,67;0,1;0;0,46;5,83
Year 18;0,43;2,67;0,1;0;0,47;6,46
Year 19;0,43;2,67;0,1;0;0,5;7,17
Year 20;0,43;2,67;0,1;0;0,51;7,91
