;Generator share;Renewable penetration;Curtailment share;Battery usage
Component;Diesel Genset 1;Solar PV;-;Battery bank
Scenario;1;1;1;1
 ;%;%;%;%
;;;;
Year 1;43,24;57,29;0;15,64
Year 2;47,6;52,95;0;13,57
Year 3;50,85;49,73;0;12,82
Year 4;53,13;47,47;0;14,02
Year 5;56,23;44,48;0;14,85
Year 6;45,69;54,91;0;15,65
Year 7;47,74;52,86;0;15,09
Year 8;50,34;50,32;0;15,29
Year 9;52,85;47,82;0;15,13
Year 10;55,5;45,29;0;16,61
Year 11;46,02;54,66;0,01;17,5
Year 12;49,17;51,48;0,01;15,73
Year 13;51,29;49,39;0,01;15,79
Year 14;52,15;48,57;0,01;16,2
Year 15;54,12;46,65;0,01;16,9
Year 16;46,94;53,77;0,01;18,06
Year 17;49,5;51,23;0,01;17,48
Year 18;50,87;49,88;0,01;17,48
Year 19;52,31;48,48;0,01;17,94
Year 20;53,58;47,23;0,01;17,94
