;Scenario 1;;;;;;;;;
Flow;Electric Demand;RES Production;Generator Production;Battery Discharge;Battery Charge;Lost Load;Curtailment;Battery SOC;Fuel Consumption;CO2 emission
Component;;Solar PV;Diesel Genset 1;;;;;;Diesel;Diesel
Unit;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Wh;Lt;kg
;;;;;;;;;;
YYYY-00-DD 00:00:SS;2320,9;0;2319,7;3,1;1,9;0;0;35601,9;0,7;1,9
YYYY-00-DD 01:00:SS;2016,8;0;2015,6;3,1;1,9;0;0;35600,5;0,6;1,7
YYYY-00-DD 02:00:SS;2057,4;0;2056,2;3,2;1,9;0;0;35599,1;0,7;1,7
YYYY-00-DD 03:00:SS;2136;0;2134,6;3,3;2;0;0;35597,5;0,7;1,8
YYYY-00-DD 04:00:SS;2223,2;0;2221,8;3,4;2;0;0;35595,9;0,7;1,9
YYYY-00-DD 05:00:SS;2841,3;0;2839,9;3,4;2,1;0;0;35594,4;0,9;2,4
YYYY-00-DD 06:00:SS;4914;5,7;4911,3;1,6;4,2;0;0,3;35596,8;1,6;4,1
YYYY-00-DD 07:00:SS;5371,3;868,5;5160,9;1,2;658,5;0;0,7;36227,7;1,7;4,3
YYYY-00-DD 08:00:SS;2663,2;3011;1575,6;1,1;1923,3;0;1,2;38072,9;0,5;1,3
YYYY-00-DD 09:00:SS;3182,9;5564,9;754;1,2;3136,1;0;1,2;41082,2;0,2;0,6
YYYY-00-DD 10:00:SS;8801,6;8993;1022,9;1,5;1214,6;0;1,3;42246,7;0,3;0,9
YYYY-00-DD 11:00:SS;9906;10341,4;848,6;1,6;1284,3;0;1,3;43477,9;0,3;0,7
YYYY-00-DD 12:00:SS;5598,1;10192,9;531;1,4;5126;0;1,3;48397,3;0,2;0,4
YYYY-00-DD 13:00:SS;4231,7;9433;455,3;1,4;5656,8;0;1,3;53826,4;0,1;0,4
YYYY-00-DD 14:00:SS;4728,7;6559,1;459,2;1,4;2289,7;0;1,2;56023;0,1;0,4
YYYY-00-DD 15:00:SS;7307,1;6444,8;1280,6;1,4;418,5;0;1,2;56423,3;0,4;1,1
YYYY-00-DD 16:00:SS;10931;5010,7;6046,5;1,5;126,4;0;1,2;56543,2;1,9;5,1
YYYY-00-DD 17:00:SS;13682,5;3079,6;6473,1;4132;1,2;0;1;52240,2;2,1;5,4
