;Generators share;Renewables penetration;Curtailment share;Battery usage
 ;%;%;%;%
;;;;
Year 1;0;100;64,77;39,02
Year 2;0;100;61,78;40,76
Year 3;0;100;59,26;41,8
Year 4;0;100;57,27;43,49
Year 5;0;100;54,42;44,08
Year 6;0;100;62,61;43,65
Year 7;0;100;61,1;44,75
Year 8;0;100;59,11;45,91
Year 9;0;100;56,93;46,46
Year 10;0;100;54,55;47,55
Year 11;0;100;61,43;47,1
Year 12;0;100;58,97;47,45
Year 13;0;100;57,21;48,47
Year 14;0;100;56,48;49,06
Year 15;0;100;54,68;49,89
Year 16;0;100;58,15;49,5
Year 17;0;100;56,02;50,2
Year 18;0;100;54,82;50,61
Year 19;0;100;53,5;51,41
Year 20;0;100;52,28;51,86
